DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1293732.52,186717.53
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,399407.62,No Medicare Payment Available
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1296950.07,110114.14
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,807448.06,51971.73
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,402925.5,No Medicare Payment Available
013 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W/O CC/MCC,242784.22,No Medicare Payment Available
014 - ALLOGENEIC BONE MARROW TRANSPLANT,117868.06,No Medicare Payment Available
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,265678.91,No Medicare Payment Available
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,723318.51,61713.73
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,605774.03,No Medicare Payment Available
022 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,486515.08,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,410626.28,34754.64
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,205999.25,24609.25
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,333422.81,27040.62
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,272193.01,18661.03
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,243094.24,15073.55
028 - SPINAL PROCEDURES W MCC,289184.32,No Medicare Payment Available
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,188128.44,17137.72
030 - SPINAL PROCEDURES W/O CC/MCC,147385.4,12698.8
031 - VENTRICULAR SHUNT PROCEDURES W MCC,351895.79,34011.25
032 - VENTRICULAR SHUNT PROCEDURES W CC,182210.86,12969.83
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,155820.27,11776.83
035 - CAROTID ARTERY STENT PROCEDURE W CC,213237.3,14227.11
