Procedure ID,Description,Amount
624,OBS PER HOUR            ,88.00
629,RM & BD PRIVATE         ,1840.00
634,PRIVATE RM W/TELE ADJ   ,2926.00
644,RM & BD PRIVATE ADJ     ,1840.00
652,RM & BD SEMI PVT        ,1840.00
655,RM & BD SEMI PVT ADJ    ,1840.00
670,INTERMEDIATE ICU        ,5568.00
671,INTERMEDIATE ICU ADJ    ,5568.00
678,OBS PER HOUR            ,88.00
683,RM & BD ISOLATION       ,1840.00
684,RM & BD PRIVATE         ,1840.00
685,PRIVATE RM W/TELE ADJ   ,2926.00
686,RM & BD ISOLATION ADJ   ,1840.00
687,RM & BD PRIVATE ADJ     ,1840.00
688,PRIVATE RM W/TELE       ,2926.00
691,RM & BD SEMI PRIVATE    ,1840.00
692,RM & BD SEMI PRIVATE ADJ,1840.00
719,INTERMEDIATE ICU        ,5568.00
722,OBS PER HOUR            ,88.00
735,RM & BD ISOLATION       ,2089.00
736,RM & BD PRIVATE         ,1840.00
737,PRIVATE RM W/TELE ADJ   ,2926.00
738,RM & BD ISOLATION ADJ   ,2089.00
739,RM & BD PRIVATE ADJ     ,1840.00
740,PRIVATE RM W/TELE       ,2926.00
745,RM & BD SEMI PRIVATE    ,1840.00
746,RM & BD SEMI PRIVATE ADJ,1840.00
762,INTERMEDIATE ICU        ,5568.00
766,OBS PER HOUR            ,88.00
782,RM & BD ISOLATION       ,1840.00
783,RM & BD PRIVATE         ,1840.00
790,RM & BD ISOLATION ADJ   ,1840.00
791,RM & BD PRIVATE ADJ     ,1840.00
797,RM & BD SEMI PRIVATE    ,1840.00
799,RM & BD SEMI PRIVATE ADJ,1840.00
853,SEMI-PVT RM W/ TELE     ,2926.00
859,INTERMEDIATE ICU        ,5568.00
862,INTERMEDIATE ICU ADJ    ,5568.00
1079,OBS PER HOUR            ,88.00
1099,RM & BD ISOLATION       ,1840.00
1100,RM & BD PRIVATE         ,1840.00
1118,PRIVATE RM W/TELE ADJ   ,2926.00
1120,RM & BD ISOLATION ADJ   ,1840.00
1121,RM & BD PRIVATE ADJ     ,1840.00
1130,PRIVATE RM W/TELE       ,2926.00
1134,RM & BD SEMI PRIVATE    ,1840.00
1135,RM & BD SEMI PRIVATE ADJ,1840.00
1137,SEMI-PVT RM W/ TELE     ,2926.00
1144,OBS PER HOUR            ,88.00
1149,RM & BD ISOLATION       ,1840.00
1151,RM & BD PRIVATE         ,1840.00
1159,PRIVATE RM W/TELE ADJ   ,2926.00
1161,RM & BD ISOLATION ADJ   ,1840.00
1162,RM & BD PRIVATE ADJ     ,1840.00
1173,PRIVATE RM W/TELE       ,2926.00
1174,RM & BD SEMI PRIVATE    ,1840.00
1185,RM & BD SEMI PRIVATE ADJ,1840.00
1186,SEMI-PVT RM W/ TELE ADJ ,2926.00
1187,SEMI-PVT RM W/ TELE     ,2926.00
1195,OBS PER HOUR            ,88.00
1252,RM & BD ISOLATION       ,1840.00
1253,RM & BD PRIVATE         ,1840.00
1254,PRIVATE RM W/TELE ADJ   ,2926.00
1255,RM & BD ISOLATION ADJ   ,1840.00
1273,RM & BD PRIVATE ADJ     ,1840.00
1274,PRIVATE RM W/TELE       ,2926.00
1285,RM & BD SEMI PRIVATE    ,1840.00
1288,RM & BD SEMI PRIVATE ADJ,1840.00
1294,INTERMEDIATE CCU        ,3777.00
1298,INTERMEDIATE CCU ADJ    ,3777.00
1537,OBS PER HOUR            ,88.00
1578,RM & BD SEMI PRIVATE    ,1843.00
1586,RM & BD SEMI PRIVATE ADJ,1843.00
1598,INTERMEDIATE ICU ADJ    ,5568.00
1599,INTERMEDIATE ICU        ,5568.00
1839,OBS PER HOUR            ,88.00
1858,RM & BD SEMI PRIVATE    ,1840.00
1859,RM & BD SEMI PRIVATE ADJ,1840.00
1878,INTERMEDIATE CCU ADJ    ,3777.00
1881,INTERMEDIATE CCU        ,3777.00
2376,OBS W/TELE PER HR       ,88.00
2384,INTERMEDIATE ICU        ,5568.00
2385,INTERMEDIATE ICU ADJ    ,5568.00
2386,INTERMEDIATE CCU        ,3777.00
2387,INTERMEDIATE CCU ADJ    ,3777.00
2527,RM & BD PRIVATE         ,1840.00
2532,RM & BD PRIVATE ADJ     ,2089.00
2542,RM & BD SEMI PRIVATE    ,1840.00
2543,RM & BD SEMI PRIVATE ADJ,1840.00
2549,SURGICAL ICU ADJ        ,7372.00
2551,SURGICAL ICU            ,7372.00
2561,INTERMEDIATE ICU ADJ    ,5568.00
2562,INTERMEDIATE ICU        ,5568.00
2568,INTERMEDIATE CCU ADJ    ,5568.00
2569,INTERMEDIATE CCU        ,5568.00
2619,INTERMEDIATE ICU ADJ    ,5568.00
2620,INTERMEDIATE ICU        ,5568.00
2630,OBS PER HOUR            ,88.00
2650,RM & BD SEMI PRIVATE    ,1840.00
2652,RM & BD SEMI PRIVATE ADJ,1840.00
2653,SEMI-PVT RM W/ TELE ADJ ,2926.00
2654,SEMI-PVT RM W/ TELE     ,2926.00
2665,MEDICAL ICU             ,7372.00
2666,MEDICAL ICU ADJ         ,7372.00
2668,INTERMEDIDATE ICU ADJ   ,5568.00
2669,INTERMEDIATE ICU        ,5568.00
2675,INTERMEDIATE CCU ADJ    ,3777.00
2677,INTERMEDIATE CCU        ,3777.00
2699,ICU ADJ                 ,7372.00
2701,ICU                     ,7372.00
2746,INTERMEDIATE CCU ADJ    ,5568.00
2749,INTERMEDIATE CCU        ,5568.00
2896,OBS PER HOUR            ,88.00
2899,DIRECT REFERRAL TO OBS  ,604.00
2900,RM & BD PRIVATE         ,1840.00
2903,RM & BD PRIVATE OB      ,1337.00
2906,RM & BD ISOLATION ADJ   ,1441.00
2907,RM & BD PRIVATE OB ADJ  ,1493.00
3088,AU EVO PO AND/OR CNS COM,424.00
3090,NURSERY R&B LV 1        ,814.00
3093,CIRCUMCISION            ,5342.00
3235,SHRT LATENCY SOMA UP LMB,1135.00
3236,SHRT LATENCY SOMA LW LMB,1135.00
3238,EEG NONINTRACRANIAL SURG,814.00
3241,ELECTRO STI BRAIN INT HR,1152.00
3242,ELECTRO STIM BRAIN AD ON,924.00
3312,CARDIOVERSION EXTERNAL  ,2446.00
3358,SPECIAL PROCEDURE       ,6214.00
3372,INJ BLOOD PATCH         ,7768.00
