hospital_name	hospital_id	hospital_url
Atlanticare Regional Medical Center	atlanticare-regional-medical-center	https://www.atlanticare.org/patients-and-visitors/for-patients/billing-and-insurance/hospital-charge-list
Aurora Health Care Metro Inc.	aurora-health-care-metro-inc.	https://www.aurorahealthcare.org/patients-visitors/billing-payment/health-care-costs#Auroras-Standard-Charges
Baptist Health System (San Antonio)	baptist-health-system-(san-antonio)	https://www.baptisthealthsystem.com/for-patients/insurance-billing/billing-insurance-questions
Baptist Hospital (Miami)	baptist-hospital-(miami)	https://baptisthealth.net/en/facilities/baptist-hospital-miami/pages/default.aspx
Baptist Medical Center (Jacksonville)	baptist-medical-center-(jacksonville)	https://www.baptistjax.com/patient-info/billing-and-insurance-information/patient-cost-estimate-request/gross-charges
Barnes Jewish Hospital	barnes-jewish-hospital	https://www.bjc.org/For-Patients-Billing-Visitors/Financial-Assistance-Resources/BJC-Hospital-Standard-Charges
Brigham and Womens Hospital	brigham-and-womens-hospital	https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
California Pacific Medical Center	california-pacific-medical-center	https://www.sutterhealth.org/cpmc/for-patients/health-care-costs-and-charges
California Pacific Medical Center R.K. Davies Medical Center	california-pacific-medical-center-r.k.-davies-medical-center	https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
Carolinas Medical Center	carolinas-medical-center	https://atriumhealth.org/for-patients-visitors/financial-assistance
Cedars-Sinai Medical Center	cedars-sinai-medical-center	https://www.cedars-sinai.org/billing-insurance.html?_ga=2.134300401.1845895740.1546880925-1879661893.1546880925
Central Dupage Hospital	central-dupage-hospital	https://www.nm.org/locations/central-dupage-hospital
Chippenham and Johnston-Willis Medical Center	chippenham-and-johnston-willis-medical-center	https://chippenhammed.com/about/legal/detail-price-list.dot
Cleveland Clinic Hospital	cleveland-clinic-hospital	https://my.clevelandclinic.org/patients/billing-insurance/patient-price-lists
Communityu Regional Medical Center	communityu-regional-medical-center	https://www.communitymedical.org/for-patients-families/billing-and-insurance/Hospital-Standard-Charges
Cooper University Hospital	cooper-university-hospital	https://www.cooperhealth.org/patients-visitors/financial-matters/chargemaster
Covenant Health System	covenant-health-system	https://www.covenanthealth.org/patients-and-visitors/for-patients/billing-and-payments/pricing/
Crozer Chester Medical Center	crozer-chester-medical-center	https://www.crozerkeystone.org/patients-visitors/patient-financial-resources/consumer-price-transparency/
Dallas County Hospital District	dallas-county-hospital-district	http://www.dallascohospital.org/price-transparency.cfm
Doctors Medical Center of Modesto	doctors-medical-center-of-modesto	https://www.dmc-modesto.com/for-patients/insurance-financial-support/billing-insurance-questions
Duke University Hospital	duke-university-hospital	https://www.dukehealth.org/paying-for-care/what-duke-charges-services
Florida Hospital	florida-hospital	https://www.adventhealth.com/pricelist
Geisinger Medical Center	geisinger-medical-center	https://www.geisinger.org/patient-care/patients-and-visitors/billing-and-insurance/tools-to-use/hospital-charge-list
Grady Memorial Hospital	grady-memorial-hospital	https://www.gradyhealth.org/billing-and-insurance/
Grossmont Hospital	grossmont-hospital	https://www.sharp.com/chargemaster/grossmont/
Hahnemann University Hospital	hahnemann-university-hospital	https://www.hahnemannhospital.com/SitePages/For-Patients-and-Visitors/Insurance%20and%20Financial%20Support.aspx
Henry Ford Hospital	henry-ford-hospital	https://www.henryford.com/visitors/billing/cost-of-care/hospital-standard-charges
Hospital of the University of Pennsylvania	hospital-of-the-university-of-pennsylvania	https://www.pennmedicine.org/for-patients-and-visitors/patient-information/insurance-and-billing/financial-transparency/financial-transparency-for-the-hospital-of-the-university-of-pennsylvania
Huntsville Hospital	huntsville-hospital	https://www.huntsvillehospital.org/price-transparency
Indiana University Health	indiana-university-health	https://cdn.iuhealth.org/resources/2019-Charge-CMS-Transparency.txt?mtime=20181221134951
Jackson Memorial	jackson-memorial	http://jacksonhealth.org/hb-221-hb-1175.asp#4
JFK Medical Center	jfk-medical-center	https://jfkmc.com/about/legal/detail-price-list.dot
Kennestone Hospital	kennestone-hospital	https://www.wellstar.org/about-us/policies-procedures/pages/wellstar-hospital-pricing-transparency.aspx
Las Palmas Medical Center	las-palmas-medical-center	https://laspalmasdelsolhealthcare.com/about/legal/detail-price-list.dot
Loma Linda University Medical Center	loma-linda-university-medical-center	https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Long Island Jewish Medical Center	long-island-jewish-medical-center	https://www.northwell.edu/billing-and-insurance/price-transparency
Lucile Packard Childrens Hospital	lucile-packard-childrens-hospital	https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Massachusetts General Hospital	massachusetts-general-hospital	https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
Medical City Dallas Hospital	medical-city-dallas-hospital	https://medicalcityhospital.com/patient-financial/?page_name=pricing
Medical University of South Carolina	medical-university-of-south-carolina	http://scpricepoint.org/ReportINP.aspx
Memorial Hermann Hospital System	memorial-hermann-hospital-system	https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
Memorial Hermann Texas Medical Center	memorial-hermann-texas-medical-center	https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
