Description, Amount 
17-HYDROXY PREGNENOLONE,$124.00 
17-HYDROXYPROGESTERONE,$154.00 
21 HYDROXYLASE AB,$69.00 
"2D TEE W/CONTRAST, INT/REPT","$1,720.00 "
"2D TTE W OR W/O FOL W/CON,CO","$1,316.00 "
"2D TTE W OR W/O FOL W/CON,FU","$1,316.00 "
3D RECON WITHOUT INDEPEN WS,$446.00 
"5-HIAA, PLASMA",$102.00 
"5-HIAA, URINE",$74.00 
"A1AT PROTEOTYPE S/Z, LC-MS/MS",$102.00 
AB ELUTION RBC,$162.00 
AB SCREEN LUMINEX SA CLASS II,$555.00 
abacavir 300 mg tablet, 25.28 
abacavir 600 mg-lamivudine 300 mg tablet, 120.52 
abatacept (with maltose) 250 mg intravenous solution," 3,138.75 "
"ABSCESS, FISTULA/SINUS TRACT S",$83.00 
acarbose 25 mg tablet, 2.25 
"ACE, CSF",$129.00 
ACETAMINOPHEN,$115.00 
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intravenous solution", 120.50 
acetaminophen 120 mg rectal suppository, 2.00 
acetaminophen 120 mg-codeine 12 mg/5 mL (5 mL) oral solution, 2.86 
acetaminophen 120 mg-codeine 12 mg/5 mL oral solution, 46.12 
acetaminophen 160 mg/5 mL (5 mL) oral solution, 9.88 
"acetaminophen 160 mg/5 mL (5 mL) oral solution,acetaminophen 160 mg/5 mL (5 mL) oral suspension,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP", 9.88 
acetaminophen 300 mg-codeine 30 mg tablet, 2.00 
acetaminophen 325 mg tablet, 2.00 
acetaminophen 500 mg tablet, 2.00 
acetaminophen 650 mg rectal suppository, 2.00 
acetaminophen 650 mg/20.3 mL oral solution, 6.09 
acetaZOLAMIDE 125 mg tablet, 5.45 
acetaZOLAMIDE 250 mg tablet, 10.38 
acetaZOLAMIDE 500 mg solution for injection, 122.25 
"acetaZOLAMIDE ER 500 mg capsule,extended release", 10.72 
acetic acid (bulk) 5 % liquid, 92.75 
ACETYLCHOL RECEPT MODULAT. AB,$27.00 
acetylcholine chloride 1 % (10 mg/mL) intraocular kit, 70.64 
ACETYLCHOLINE RECEPTOR BLOCKING AB,$37.00 
ACETYLCHOLINE RECEPTOR MODULATING AB,$50.00 
acetylcysteine 100 mg/mL (10 %) solution, 7.83 
acetylcysteine 200 mg/mL (20 %) intravenous solution, 56.40 
acetylcysteine 200 mg/mL (20 %) solution, 6.66 
ACH RECEPTOR (MUSCLE) BINDING AB,$27.00 
ACHR GANGLIONIC NEURONAL AB,$145.00 
"ACID FAST STAIN, EACH",$31.00 
ACNE SURGERY,$153.00 
ACROMIOCLAVIC JOINT BILATERAL,$124.00 
ACTH,$219.00 
activated charcoal 25 gram/120 mL oral suspension, 52.50 
activated charcoal-sorbitol 25 gram/120 mL oral suspension, 57.90 
ACTIVATED COAGULATION TIME-ISTAT,$25.00 
ACUTE MED/SURG PRIVATE ROOM,$400.00 
ACUTE/MED SURGE SEMI-PRIVATE ROOM,$350.00 
acyclovir 200 mg capsule, 2.22 
acyclovir 200 mg/5 mL oral suspension, 15.01 
acyclovir 400 mg tablet, 4.72 
acyclovir 800 mg tablet, 2.66 
acyclovir sodium 50 mg/mL intravenous solution, 51.71 
acyclovir sodium 500 mg intravenous solution, 13.50 
"ACYLCARNITINE, QUANTITATIVE",$141.00 
"ACYLGLYCINES, QUANT",$102.00 
ADALIMUMAB CONCENTRATION,$242.00 
ADAMTS13 ACTIVITY,$128.00 
"ADAPTOR,EXTENSION, PACING/NEUROSTIM LEAD"," 5,921.95 "
"ADD'L FROZ SECT OR SMEAR, EACH",$61.00 
adenosine (diagnostic) 3 mg/mL intravenous solution, 324.95 
adenosine 3 mg/mL intravenous solution, 23.40 
"ADENOSINE DEAMINASE, FLD",$40.00 
"ADENOVIRUS AG, EIA",$66.00 
ADH ANTIDIURETIC,$193.00 
ADHESION BARRIER, 743.23 
ado-trastuzumab emtansine 100 mg intravenous solution," 8,860.25 "
ado-trastuzumab emtansine 160 mg intravenous solution," 14,159.00 "
"ADSORPTION TECHNIQUE, EACH",$83.00 
"AEROBIC ORG ID DEFINITIVE, EA",$47.00 
AEROBIKA DEVICE,$113.00 
AEROSOL /IPPB/MDI TREATMENT,$78.19 
AEROSOL TREATMENT,$76.00 
"AFP, MATERNAL SCREEN",$131.00 
AGA DELIVERY SYSTEM,"$2,755.00 "
AGA SEPTAL OCCLUDER,"$14,202.00 "
AGA SIZING BALLOON,$697.00 
A-GRAM + NON-SEL AORTIC ARCH,"$5,153.00 "
"A-GRAM, ABD, S&I","$5,410.00 "
