Description, Amount 
17-HYDROXY PREGNENOLONE,$161.00 
17-HYDROXYPROGESTERONE,$260.00 
3D RECON WITHOUT INDEPEN WS,$70.59 
"5-HIAA, PLASMA",$406.00 
"5-HIAA, URINE",$118.00 
AB ELUTION RBC,$134.00 
AB SCREEN LUMINEX SA CLASS II,$424.00 
AB SCREEN PRA LUMINEX CLASS I,$424.00 
AB SCREEN PRA LUMINEX CLASS II,$424.00 
abacavir 300 mg tablet, 35.56 
ACAPELLA DEVICE DH OR DM,$160.00 
acarbose 25 mg tablet, 3.19 
acebutolol 200 mg capsule, 3.70 
ACETAMINOPHEN,$156.00 
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intravenous solution", 187.70 
acetaminophen 120 mg rectal suppository, 2.04 
acetaminophen 120 mg-codeine 12 mg/5 mL (5 mL) oral solution, 3.60 
acetaminophen 120 mg-codeine 12 mg/5 mL oral solution, 23.54 
acetaminophen 160 mg/5 mL (5 mL) oral solution, 13.83 
"acetaminophen 160 mg/5 mL (5 mL) oral solution,acetaminophen 160 mg/5 mL (5 mL) oral suspension,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP", 10.47 
acetaminophen 160 mg/5 mL (5 mL) oral suspension, 7.11 
acetaminophen 300 mg-codeine 30 mg tablet, 3.33 
acetaminophen 300 mg-codeine 30 mg/12.5 mL (12.5 mL) oral solution, 6.13 
acetaminophen 325 mg rectal suppository, 2.64 
acetaminophen 325 mg tablet, 2.00 
acetaminophen 500 mg tablet, 2.00 
acetaminophen 650 mg rectal suppository, 2.47 
acetaZOLAMIDE 250 mg tablet, 12.38 
acetylcholine chloride 1 % (10 mg/mL) intraocular kit, 98.90 
ACETYLCHOLINE RECEPTOR BLOCKING AB,$50.00 
acetylcysteine 100 mg/mL (10 %) solution, 12.14 
acetylcysteine 200 mg/mL (20 %) intravenous solution, 808.60 
acetylcysteine 200 mg/mL (20 %) solution, 33.07 
ACH RECEPTOR (MUSCLE) BINDING AB,$89.00 
ACHR GANGLIONIC NEURONAL AB,$145.00 
"ACID FAST STAIN, EACH",$53.00 
ACTH,$325.00 
activated charcoal 50 gram/240 mL oral suspension, 141.96 
activated charcoal-sorbitol 50 gram/240 mL oral suspension, 56.28 
ACUTE MED/SURG PRIVATE ROOM,"$1,050.00 "
acyclovir 200 mg capsule, 2.70 
acyclovir 5 % topical cream," 3,345.30 "
acyclovir sodium 50 mg/mL intravenous solution, 75.00 
