Px Code,Procedure Name,Total Price
11000000,HC PRIVATE GENERAL HUP 1,6210.00
11000004,HC PRIVATE GENERAL HUP 2,6624.00
11000005,HC PRIVATE GENERAL HUP 3,7671.00
11200001,HC PRIVATE OB HUP 1,5894.00
11200002,HC PRIVATE OB HUP 2,6369.00
12000000,HC SEMI-PRIVATE GENERAL HUP 1,8430.00
12000004,HC SEMIPRIVATE GENERAL HUP 2,5894.00
12000006,HC SEMIPRIVATE GENERAL HUP 4,6045.00
12000007,HC SEMIPRIVATE GENERAL HUP 5,6210.00
12000009,HC SEMIPRIVATE GENERAL HUP 7,6369.00
12000011,HC SEMIPRIVATE GENERAL HUP 9,6624.00
12000012,HCSEMIPRIVATE GENERAL HUP 10,6798.00
12000013,HC SEMIPRIVATE GENERAL HUP 11,7671.00
12200000,HC SEMIPRIVATE OB HUP 1,5894.00
12200001,HC SEMIPRIVATE OB HUP 2,6045.00
14800000,HC PRIVATE REHAB HUP 1,5842.00
17100002,HC NEWBORN LEVEL 1 ROUTINE HUP 1,6106.00
17300000,HC NEWBORN LEVEL III SICK BABY HUP 2,9882.00
17300001,HC NEWBORN LEVEL III SICK BABY HUP 1,8913.00
17400000,HC NEWBORN LEVEL IV ICU HUP 1,11028.00
17400001,HC NEWBORN LEVEL IV ICU HUP 2,12301.00
20000001,HC INTENSIVE CARE GENERAL HUP 1,6624.00
20100001,HC INTENSIVE CARE SURGICAL HUP 2,6624.00
20100003,HC INTENSIVE CARE SURGICAL HUP 4,6798.00
20100004,HC INTENSIVE CARE SURGICAL HUP 5,7671.00
20100006,HC INTENSIVE CARE SURGICAL HUP 7,7873.00
20100007,HC INTENSIVE CARE SURGICAL HUP 8,10747.00
20200000,HC INTENSIVE CARE MEDICAL HUP 1,10677.00
20600000,HC INTENSIVE CARE INTERMEDIATE ICU HUP 2,6798.00
20600002,HC INTENSIVE CARE INTERMEDIATE ICU HUP 1,6624.00
21000001,HC CORONARY CARE GENERAL HUP 1,10677.00
21400000,HC CORONARY CARE INTERMEDIATE ICU HUP 1,6624.00
21400002,HC CORONARY CARE INTERMEDIATE ICU HUP 2,6798.00
22000000,HC 10 DAY FOOD RECORD,150.00
22000001,HC 24 HOUR RECALL,70.00
22000002,HC 3 DAY FOOD RECORD,70.00
22000003,HC 7 DAY FOOD RECORD,130.00
22000004,HC ACCELEROMETRY DATA ANALYSIS,20.00
22000005,HC ACCELEROMETRY DATA MANAGEMENT,20.00
22000006,HC ACCELEROMETRY DEVICE EXCHANGE,20.00
22000007,HC ACCELEROMETRY DEVICE SETUP,20.00
22000008,HC ADVANCED SUPPLY USAGE,25.00
22000009,HC ANTHROPOMETRIC MEASURES,15.00
22000010,HC BASIC SUPPLY USAGE,10.00
22000011,HC BIA,15.00
22000012,HC CAROTID,20.00
22000013,"HC CAROTID, FEMORAL, BRACHIAL, RADIAL",40.00
22000014,HC ECHO (EXERCISE),60.00
22000015,HC ECHO 2D (RESTING),130.00
22000016,HC ECHO 2D W/CONTRAST (RESTING),315.00
22000017,HC ECHO 3D (RESTING),150.00
22000018,HC ECHO 3D W/CONTRAST (RESTING),335.00
22000019,HC ECHO INTERPRETATION,75.00
22000020,HC EKG,50.00
22000021,HC EKG INTERPRETATION,10.00
22000022,HC EMU/CPU CONSULTING,60.00
22000023,HC EQUIPMENT USAGE,30.00
22000024,HC FUNCTIONAL TESTING,40.00
22000025,HC H&P,70.00
22000026,HC HRV,70.00
22000027,HC HX,35.00
22000029,HC KINETIC MEALS (20 SMALL),150.00
22000030,HC MEAL ANALYSIS (LONG),40.00
22000031,HC MEAL ANALYSIS (SHORT),25.00
22000032,HC MODERATE SUPPLY USAGE,15.00
22000033,HC NEUROLOGICAL EXAM,35.00
22000034,HC NURSING ACUITY,70.00
22000035,HC NUTRITION CONSULTATION,60.00
22000036,HC NUTRITION EDUCATION(30 MIN),30.00
22000037,HC ORAL FAT TOLERANCE,10.00
22000038,HC PHONE COACHING,20.00
22000039,HC PHYSICAL,35.00
22000040,HC POLAR HEART DATA ANALYSIS,20.00
22000041,HC POLAR HEART DATA MANAGEMENT,20.00
22000042,HC POLAR HEART DEVICE EXCHANGE,20.00
22000043,HC POLAR HEART DEVICE SETUP,20.00
22000044,HC QUANTITATION BY SONOGRAPHER,75.00
22000045,HC QUESTIONNAIRE ADMIN (LONG),60.00
22000046,HC QUESTIONNAIRE ADMIN (SHORT),30.00
22000047,HC RESTING ENERGY EXPENDITURE,120.00
22000048,HC SAFETY MONITORING,70.00
22000049,HC SAMPLE PROCESSING LEVEL 0,15.00
22000050,HC SAMPLE PROCESSING LEVEL 1,30.00
22000051,HC SAMPLE PROCESSING LEVEL 2,50.00
22000052,HC SAMPLE PROCESSING LEVEL 3,90.00
22000053,HC SAMPLE PROCESSING LEVEL 4,150.00
22000054,HC STANDARD MEAL,11.00
22000055,HC STANDARD SNACK,3.00
22000056,HC STRESS ECG INTERPRETATION,50.00
22000057,HC SUPINE BIKE TESTING,120.00
22000058,HC SURVEY ADMINISTRATION,20.00
22000059,HC TISSUE BIOPSY,150.00
22000060,HC TONOMETRY (EXERCISE),60.00
22000061,HC TONOMETRY (RESTING),70.00
22000062,HC TREADMILL TESTING,120.00
22000068,HC UTILIZATION (NO SERVICES),25.00
22000069,HC VASCULAR DIFFUSION,275.00
22000070,HC VASCULAR ULTRASOUND,130.00
22000071,HC VO2,55.00
22000072,HC VO2 INTERPRETATION,75.00
22000073,HC WEIGHED MEAL,16.00
22000074,HC WEIGHED SNACK,5.00
22000075,HC 10 DAY FOOD RECORD,190.00
22000076,HC 24 HOUR RECALL,90.00
22000077,HC 3 DAY FOOD RECORD,90.00
22000078,HC 7 DAY FOOD RECORD,165.00
22000079,HC ACCELEROMETRY DATA ANALYSIS,25.00
22000080,HC ACCELEROMETRY DATA MANAGEMENT,25.00
22000081,HC ACCELEROMETRY DEVICE EXCHANGE,25.00
22000082,HC ACCELEROMETRY DEVICE SETUP,25.00
22000083,HC ADVANCED SUPPLY USAGE,30.00
22000084,HC ANTHROPOMETRIC MEASURES,20.00
22000085,HC BASIC SUPPLY USAGE,12.50
22000086,HC BIA,20.00
22000087,HC CAROTID,25.00
22000088,"HC CAROTID, FEMORAL, BRACHIAL, RADIAL",50.00
22000089,HC ECHO (EXERCISE),75.00
22000090,HC ECHO 2D (RESTING),165.00
22000091,HC ECHO 2D W/CONTRAST (RESTING),395.00
22000092,HC ECHO 3D (RESTING),190.00
22000093,HC ECHO 3D W/CONTRAST (RESTING),420.00
22000094,HC ECHO INTERPRETATION,95.00
22000095,HC EKG,65.00
22000096,HC EKG INTERPRETATION,12.50
22000097,HC EMU/CPU CONSULTING,75.00
22000098,HC EQUIPMENT USAGE,40.00
22000099,HC FUNCTIONAL TESTING,50.00
22000100,HC H&P,90.00
22000101,HC HRV,90.00
22000102,HC HX,45.00
22000103,HC INPATIENT UTILIZATION,1384.43
22000104,HC KINETIC MEALS (20 SMALL),190.00
22000105,HC MEAL ANALYSIS (LONG),50.00
22000106,HC MEAL ANALYSIS (SHORT),30.00
22000107,HC MODERATE SUPPLY USAGE,20.00
22000108,HC NEUROLOGICAL EXAM,45.00
22000109,HC NURSING ACUITY,90.00
22000110,HC NUTRITION CONSULTATION,75.00
22000111,HC NUTRITION EDUCATION(30 MIN),40.00
22000112,HC ORAL FAT TOLERANCE,12.50
22000113,HC PHONE COACHING,25.00
22000114,HC PHYSICAL,45.00
22000115,HC POLAR HEART DATA ANALYSIS,25.00
22000116,HC POLAR HEART DATA MANAGEMENT,25.00
22000117,HC POLAR HEART DEVICE EXCHANGE,25.00
22000118,HC POLAR HEART DEVICE SETUP,25.00
22000119,HC QUANTITATION BY SONOGRAPHER,95.00
22000120,HC QUESTIONNAIRE ADMIN (LONG),75.00
22000121,HC QUESTIONNAIRE ADMIN (SHORT),40.00
22000122,HC RESTING ENERGY EXPENDITURE,150.00
22000123,HC SAFETY MONITORING,90.00
22000124,HC SAMPLE PROCESSING LEVEL 0,20.00
22000125,HC SAMPLE PROCESSING LEVEL 1,40.00
22000126,HC SAMPLE PROCESSING LEVEL 2,65.00
22000127,HC SAMPLE PROCESSING LEVEL 3,110.00
22000128,HC SAMPLE PROCESSING LEVEL 4,190.00
22000129,HC STANDARD MEAL,15.00
22000130,HC STANDARD SNACK,5.00
22000131,HC STRESS ECG INTERPRETATION,65.00
22000132,HC SUPINE BIKE TESTING,150.00
22000133,HC SURVEY ADMINISTRATION,25.00
22000134,HC TISSUE BIOPSY,190.00
22000135,HC TONOMETRY (EXERCISE),75.00
22000136,HC TONOMETRY (RESTING),90.00
22000137,HC TREADMILL TESTING,150.00
22000138,HC UTILIZATION LEVEL 0,50.00
22000139,HC UTILIZATION LEVEL 1,75.00
22000140,HC UTILIZATION LEVEL 2,125.00
22000141,HC UTILIZATION LEVEL 3,250.00
22000142,HC UTILIZATION LEVEL 4,275.00
22000144,HC VASCULAR DIFFUSION,350.00
22000145,HC VASCULAR ULTRASOUND,165.00
22000146,HC VO2,70.00
22000147,HC VO2 INTERPRETATION,95.00
22000148,HC WEIGHED MEAL,20.00
22000149,HC WEIGHED SNACK,8.00
25000002,HC HEPATITIS VACCINE (IM),100.00
25000003,HC RABIES SHOT (IM),256.00
25000006,HC LOCM 300-399MG/ML IODIN PER ML,8.00
25000011,HC INJECTION DIPYRIDAMOLE 10MG,623.00
25000013,"HC GADOFOSVESET TRISOD,INJ 1ML",780.00
25000014,HC GADOXETATE DISODIUM INJ PER ML,311.00
25000015,HC TC-99M PENTETAT DX UP TO 75MCI,239.00
25000020,HC ALTEPLASE INJ 1 MG,236.00
25000022,HC MAPS ADMIN PNEUMOCOCCAL VAC,56.00
25000023,HC ADMIN HEPATITIS B VACC,134.00
25000024,HC ADMIN INFLUENZA VIRUS,342.00
25000047,HC MAPS HEPATITIS VACCINE (IM),172.00
25000048,HC MAPS RABIES SHOT (IM),410.00
25000051,HC MAPS PNEUMOCOCCAL VACC 23 VAL IM,301.00
25000055,"HC INJECTION, GADOTERIDOL, (PROHANCE MULT), PER ML",22.00
25000064,"HC MAPS RH IG,HUMAN,FULL-DOSE;IM",145.00
25000065,HC MAPS HEPA VACCINE ADULT IM,195.00
25000067,HC MAPS HEPATITIS A&B VAC ADIT DOS,95.00
25000068,HC MAPS HIB VACCINE PRP-OMP IM,45.00
25000069,HC MAPS 4VHPV VACCINE 3 DOSE IM,230.00
