Generic Name,National Drug Code,Unit Price
abacavir 20 mg/mL oral solution,49702022248,2818.56
abacavir 300 mg tablet,378410591,200.88
abacavir 300 mg tablet,49702022118,223.48
abacavir 300 mg tablet,51079020401,200.88
abacavir 300 mg tablet,51079020406,200.88
abacavir 300 mg tablet,65862007360,200.92
abacavir 300 mg tablet,68084002111,200.8
abacavir 300 mg-lamivudine 150 mg-zidovudine 300 mg tablet,49702021718,643.88
abacavir 300 mg-lamivudine 150 mg-zidovudine 300 mg tablet,68180028607,579.48
abacavir 600 mg-dolutegravir 50 mg-lamivudine 300 mg tablet,49702023113,1795.32
abacavir 600 mg-lamivudine 300 mg tablet,49702020613,1033.36
abatacept (with maltose) 250 mg intravenous solution,3218710,12555
abciximab 10 mg/5 mL intravenous solution,2714001,14856
abobotulinumtoxinA 300 unit intramuscular solution,15054053006,7074
acebutolol 200 mg capsule,65162066910,20
acetaminophen 1 000 mg/100 mL (10 mg/mL) intravenous solution,43825010201,964
acetaminophen 120 mg rectal suppository,713011806,20
acetaminophen 120 mg rectal suppository,713011812,20
acetaminophen 120 mg rectal suppository,713011850,20
acetaminophen 120 mg rectal suppository,45802073200,20
acetaminophen 120 mg rectal suppository,45802073233,20
acetaminophen 160 mg/5 mL oral elixir,121065711,20
acetaminophen 160 mg/5 mL oral elixir,121065721,20
acetaminophen 160 mg/5 mL oral elixir,536012285,160.84
acetaminophen 160 mg/5 mL oral elixir,904630820,56.64
acetaminophen 160 mg/5 mL oral elixir,66689005501,50.96
acetaminophen 160 mg/5 mL oral elixir,99999012205,20
acetaminophen 160 mg/5 mL oral elixir,99999630805,20
acetaminophen 160 mg/5 mL oral suspension,904630820,56.64
acetaminophen 160 mg/5 mL oral suspension,904653620,20
acetaminophen 325 mg rectal suppository,713016401,20
acetaminophen 325 mg rectal suppository,713016406,20
acetaminophen 325 mg rectal suppository,713016412,20
acetaminophen 325 mg tablet,904198261,20
acetaminophen 325 mg tablet,50580050110,20
