Procedure Description,Unit Price
HC O/R SUPPLIES/VASCULAR,3306
HC ABSCESS LOCALIZATION SPECT,2292
HC ADRENAL CORTEX AND/OR MEDULLA,1951
HC AIRWAY INHALE TX,358
HC APPY PATELLAR TENDON BEAR CAST,387
HC BAKRI TAMPONADE BALLOON,1997
HC BONE IMAGING MULTI AREAS,1771
HC BONE MARROW IMAGE WHOLE BODY,1405
HC BONE MARROW IMAGING; MULTIPLE,1728
HC BONE MARROW SMEAR INTERPRETATION,1488
HC CORDOCENTESIS (INTRAUTERINE),521
HC DNA CLASS II DR HIGH RES,540
HC EX UPPER EXTREMITY INFANT 2 VI,562
HC HEMOFILTER CHG 1ST 24HRS,39
HC HERPES SIMPLEX VIRUS 1 & 2 (HSV) PCR,388
HC HILEY TRACH TUBE,249
HC INJ RP LOC BY NON IMG PROBE IV,701
HC INSORB/20 SUBCU SKIN STAPLER,208
HC INTRA-ARTERIAL RPHARM RX,819
HC INTRACAVITRY RADIOACTIVE COLLO,1620
HC INTRAVAS RADIOPHAR THER PARTI,819
HC LIVER IMAG W/VASCULAR FLOW,1002
HC LIVER IMAGING SPECT W/VAS FLOW,2121
HC MESH INTERCEED 3INX4IN,1154
HC MI PLANAR; QUAL/QUAN,2129
HC MI PLANAR; SPECT (3D),2190
HC MOBIUS RETRACTOR 12CM-21CM,497
HC MR ANGIO SPINAL CANAL W + W/O CO,4893
HC MUGA STUDY,2406
HC NM AORTIC FLOW STUDY,1060
HC NM SCINTIMAMMOGRAPHY,1999
HC NM TUM LOC WHL BDY REQ 2+ DAYS,2182
HC PERITONEAL-VENOUS SHUNT PATENC,1713
HC PLT HPA BEADCHIP,526
HC POWER MODULE COMBO VAD REP,36679
HC RADIONUCLIDE LOCALIZATION OF T,1999
HC RMV CERCLAGE SUTURE UNDER ANES,495
HC RP THER INTERST RAAD COLL ADM,864
HC SALIVARY GLAND CALCULUS,319
HC SERAFILM ADHESION BARRIER,1012
HC SPLEEN IMAG ONLY W/W/O VASC FL,1276
HC SURGICAL MESH,697
HC TRANWARMER GEL HEAT PAD,106
HC X-RAY FEMUR 2 VIEWS,554
HC XRAY GI- BARIUM ENEMA W/W/O KUB,1112
HC 12 LEAD EKG; GLOBAL,91
HC 12 LEAD EKG; TRACING ONLY,537
HC 14 3 3 ETA PROTEIN,163
HC 14-3-3 PROTEIN,247
HC 17-HYDROXYPREGNENOLONE,314
HC 17-KETOSTEROIDS  TOTAL,179
HC 17-OHCS,246
HC 22 GAUGE MD TECH NEEDLE,90
HC 3-D RADIOTHERAPY PLAN,15547
HC 5-HIAA QUANT,175
HC A-2-MACROGLOBULIN,145
HC AB ID RBC EA PANEL EA TECHN,216
