Procedure ID,Description,Amount
27244,TUBE NG 60IN 12FR CRFL  ,1305.00
27783,MESH MTRX PLS 7X5CM     ,8510.00
36190,GUIDE BIOPSY KIT        ,1283.00
39037,LINEAR STAPLER 60MM     ,127.00
42545,PLATE STD TI 4HL GEMN LT,4820.00
70087,CT LOWER EXTRM W/CON    ,8583.00
70088,CT NECK W/CONTRAST      ,8180.00
70276,AMNIOCENTESIS           ,748.00
70279,BX LIVER                ,1814.00
70315,US PREGNANCY FLW UP     ,1047.00
70317,USG RADIOELEMENT APP    ,3001.00
70436,PET MYOCARD MULTI R/S   ,14442.00
70437,PET MYOCARD SGL R/S     ,14442.00
70439,PET TUMOR WHOLE BODY    ,14161.00
70440,PET TUMOR WHOLE BODY    ,14893.00
70441,CT CHEST W&W/O CONT     ,12744.00
70442,CT HEAD/BRAIN W/O CONT  ,7118.00
70443,CT MAXIFAC W/O CNT      ,6912.00
70445,CTA CHEST               ,8290.00
70447,BX PANCREAS             ,7245.00
70448,INJ CIST/CERV C1-C2     ,1956.00
70449,SP PERC DRAIN           ,6378.00
70450,MRA NECK W/CONTRAST     ,8535.00
70452,MRI BRAIN W/CONTRAST    ,9915.00
70453,MRI C-SPINE W&W/O CONT  ,11664.00
70455,MRI T-SPINE W&W/O CONT  ,11533.00
70457,NM ABSCESS LCL W BODY   ,6914.00
70459,NM BRAIN < 4 STATIC V FL,3114.00
70460,NM CISTERNOGRAM         ,4780.00
70461,NM GI PROTEIN LOSS      ,1719.00
70464,NM MYOCARD IMAGE        ,5199.00
70467,NM SALIVARY GLND FUNCT  ,3453.00
70468,NM THYROID METS LTD     ,3294.00
70859,QUICK CROSS 518-087     ,188.00
70886,SCREW LOKN 4.2X38       ,1452.00
80423,NATRIURETIC PEPTIDE     ,489.00
85910,PIN HLF APX ORTH 180X6MM,956.00
87568,CATH BLN EUPH 2.75X6MM  ,1029.00
88345,STENT BILNTNL .03 PRB35-,5803.00
91558,BASEPLATE TIB 8 TRIATHLO,13090.00
94232,JOINT TOE 50MM FLXBLE   ,7057.00
100237,CORR REV CODE 622       ,59.00
100240,BONE MARROW ASPIRATION  ,425.00
101749,CVV HEMODIALYSIS DAILY  ,7448.00
101750,HEMODIALYSIS MULT EVAL  ,4927.00
101753,HEMOPERFUSION           ,7886.00
101756,PERITONEL DIAL MULT EVAL,5745.00
101757,PERITONEL DIAL ONE EVAL ,4809.00
101760,PLASMA PHERESIS TREATMNT,5928.00
101780,OP VISIT LEVEL 1 EST    ,230.00
101781,OP VISIT LEVEL 2 EST    ,367.00
101782,OP VISIT LEVEL 3 EST    ,505.00
101783,OP VISIT LEVEL 4 EST    ,644.00
101791,DOP ART 1-2 LEVELS BIL  ,469.00
101793,OP VISIT LEVEL 3 NP     ,460.00
101796,OP VISIT LEVEL 1 NP     ,184.00
101797,OP VISIT LEVEL 5 NP     ,735.00
101798,OP VISIT LEVEL 4 NP     ,598.00
101799,OP VISIT LEVEL 2 NP     ,322.00
101879,OR LEVEL 1 ADD 30 MIN   ,7497.00
101881,OR LEVEL 1 FIRST 30 MIN ,9174.00
101882,OR LEVEL 2 ADD 30 MIN   ,9530.00
101883,OR LEVEL 2 FIRST 60 MIN ,16999.00
101884,OR LEVEL 3 ADD 30 MIN   ,11351.00
101885,OR LEVEL 3 FIRST 60 MIN ,19391.00
101886,OR LEVEL 4 FIRST 60 MIN ,19440.00
101887,OR LEVEL 4 ADD 30 MIN   ,12843.00
101888,OR LEVEL 5 FIRST 60 MIN ,22516.00
101889,OR LEVEL 5 ADD 30 MIN   ,12738.00
101906,SURGERY 0-30 MINS       ,9086.00
101948,OR LEVEL 5 ADD 30 MIN   ,14803.00
101949,OR LEVEL 5 FIRST 60 MIN ,31064.00
101954,PACU ADD 30 MIN         ,1163.00
101956,PACU FIRST 30 MIN       ,2016.00
101969,RECOVERY MAX            ,6720.00
101975,ANES ADD 30 MIN         ,2571.00
101978,ANES FIRST 30 MIN       ,3439.00
101994,COMPLEX CYTOMETROGRAM   ,1035.00
101995,COMPLEX UROFLOWMETRY    ,795.00
101998,ELECTROMYOGRAPHY        ,497.00
102007,ESWL BIL                ,23514.00
102010,ESWL UNI                ,12933.00
102013,URETRHAL PRESSURE PROFLE,809.00
102015,ANORECTAL MANOMETRY     ,3695.00
102016,ANOSCOPY MUL W/HBF/BC/ST,4890.00
102017,ANOSCOPY OTHER          ,4295.00
102020,ANOSCOPY SGL W/HBF OR BC,4295.00
102021,ANOSCOPY SGL W/SN TECH  ,4295.00
102022,ANOSCOPY W/BIOP         ,4295.00
102023,ANOSCOPY W/CNTL BLD     ,4890.00
102024,ANOSCOPY W/DIL          ,4295.00
102025,ANOSCOPY W/REM FB       ,4295.00
102026,BIL ENDO DX             ,5656.00
102027,BIL ENDO INTRAOP        ,5656.00
102030,BIL ENDO W/BIOP         ,5656.00
102031,BIL ENDO W/DILATE       ,5656.00
102032,BIL ENDO W/DILATE W/ST  ,5656.00
102033,BIOPSY LIVER            ,4380.00
102034,BONE MARROW BIOPSY      ,425.00
102035,BRON W/CATH PL RADEL AP ,5958.00
102037,BRON W/DES TUMR/REL/STNT,5958.00
102038,BRONC DX W/WO CELL WASH ,5897.00
102039,BRONC TRACH DIL STENT PL,6309.00
102040,BRONC TRACH DIL/CR      ,6016.00
102041,BRONC W/BRONC ALV LAV   ,5897.00
102042,BRONC W/BRUSH           ,5897.00
102043,BRONC W/BX              ,5897.00
102044,BRONC W/EXT TUMOR       ,5970.00
102045,BRONC W/REM FB          ,6047.00
102046,BRONC W/THER ASP TB INI ,5970.00
102047,BRONC W/THER ASP TB SUB ,5970.00
102048,BRONC W/TSB LUNG BX     ,5897.00
102049,BRONC/TSB ND ASP BX     ,5900.00
102051,CHANGE GI TUBE          ,1058.00
102052,THORACOSTOMY TUBE       ,2272.00
102053,COL W/BIOPSY            ,7912.00
102054,COL W/CNTRL BLD         ,7579.00
102057,COLON W/HBF OR BC       ,8361.00
102059,COLON W/SNARE TECH      ,8361.00
102061,COLONOSCOPY DX          ,7644.00
102062,COLONOSCOPY OTHER       ,7459.00
102063,COLONOSCOPY STOMA DX    ,3651.00
102064,COLONOSCOPY STOMA OTHER ,4698.00
102065,COLONOSCOPY STOMA W/BIOP,3976.00
102066,COLONOSCOPY STOMA W/CNBL,4698.00
102067,COLONOSCOPY STOMA W/RMFB,4055.00
102071,COLONOSCOPY W/REM FB    ,7060.00
102073,DIL ESOP GD WIRE        ,4448.00
102074,DIL ESOP RETRO          ,4854.00
102075,DIL ESOP UNG SND/BOUG   ,4312.00
102076,DIL ESOP W/BALLOON      ,4843.00
102077,EGD W/STENT PLACEMENT   ,4451.00
102078,EGD W/US NDLASP         ,2860.00
102079,ENDO EVAL SI BIOP       ,2775.00
102080,ENDO EVAL SI DX         ,2811.00
102081,ERCP DX                 ,6871.00
102082,ERCP W/ABABLATION       ,7021.00
102083,ERCP W/BIOPSY           ,7242.00
102084,ERCP W/CHG STENT/TU/FB  ,7307.00
102085,ERCP W/DILATE BALLOON   ,7882.00
102086,ERCP W/INS DRAIN TUBE   ,7311.00
102087,ERCP W/LITHOTRIPSY      ,7647.00
102089,ERCP W/REM STONE        ,7307.00
