DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1056967.3,93094.35
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,667195.6,53843.6
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,603269.47,No Medicare Payment Available
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,624845.44,21015.61
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,515158.58,54664.81
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,307497.65,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,364812.45,29637.77
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,178805.95,No Medicare Payment Available
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,549665.07,28084.58
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,294935.15,17115.07
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,177520.24,No Medicare Payment Available
028 - SPINAL PROCEDURES W MCC,310757.98,31604.01
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,309640.83,18339.51
030 - SPINAL PROCEDURES W/O CC/MCC,261371,12207.05
031 - VENTRICULAR SHUNT PROCEDURES W MCC,489433.19,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,273278.56,No Medicare Payment Available
037 - EXTRACRANIAL PROCEDURES W MCC,333491.26,18993.23
038 - EXTRACRANIAL PROCEDURES W CC,191984.7,No Medicare Payment Available
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,124603.69,7232.66
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,276728.51,12160.73
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,161900,10585.02
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,235146.32,No Medicare Payment Available
052 - SPINAL DISORDERS & INJURIES W CC/MCC,162397.1,No Medicare Payment Available
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,119316.4,15006.76
054 - NERVOUS SYSTEM NEOPLASMS W MCC,200886.69,10701.39
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,120366.67,3563.43
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,147006.01,18912.47
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,121268.5,18754.48
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,142667.73,14742.8
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,77096.37,6590.32
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,53504.55,8859.52
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,236498.07,25708.48
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,155983.68,10380.55
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,129774.2,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,152508.3,10603.78
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,95419.67,6730.76
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,71023.77,5210.37
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,80351.6,4818.34
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,73610.98,4541.94
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,138705.99,20401.49
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,97130.87,5452.59
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,133578.6,5255.1
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,92169.68,12756.13
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,76530.93,7466.73
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,113236.31,8098.68
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,72805.63,5456.43
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,36193.37,No Medicare Payment Available
080 - NONTRAUMATIC STUPOR & COMA W MCC,101576.28,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,21294.22,No Medicare Payment Available
