Procedure ID,Description,Amount
9682,TENDRIL ST MODEL 1788   ,3240.00
27244,TUBE FD 60 IN           ,1029.00
27783,GFT ST TIS 7X5CM GNTRX +,8510.00
42545,PLATE STD TI 4HL GEMN LT,4820.00
70087,CT LOWER EXTRM W/CON    ,8583.00
70088,CT NECK W/CONTRAST      ,8180.00
70276,AMNIOCENTESIS           ,748.00
70279,BX LIVER                ,1814.00
70315,US PREGNANCY FLW UP     ,1047.00
70317,USG RADIOELEMENT APP    ,3001.00
70436,PET MYOCARD MULTI R/S   ,14442.00
70437,PET MYOCARD SGL R/S     ,14442.00
70439,PET TUMOR WHOLE BODY    ,14161.00
70440,PET TUMOR WHOLE BODY    ,14893.00
70441,CT CHEST W&W/O CONT     ,12744.00
70442,CT HEAD/BRAIN W/O CONT  ,7118.00
70443,CT MAXIFAC W/O CNT      ,6912.00
70445,CTA CHEST               ,8290.00
70447,BX PANCREAS             ,7245.00
70448,INJ CIST/CERV C1-C2     ,1956.00
70449,SP PERC DRAIN           ,6378.00
70450,MRA NECK W/CONTRAST     ,8417.00
70452,MRI BRAIN W/CONTRAST    ,9777.00
70453,MRI C-SPINE W&W/O CONT  ,11502.00
70455,MRI T-SPINE W&W/O CONT  ,11373.00
70457,NM ABSCESS LCL W BODY   ,6914.00
70459,NM BRAIN < 4 STATIC V FL,3114.00
70460,NM CISTERNOGRAM         ,4780.00
70461,NM GI PROTEIN LOSS      ,1719.00
70464,NM MYOCARD IMAGE        ,5199.00
70467,NM SALIVARY GLND FUNCT  ,3453.00
70468,NM THYROID METS LTD     ,3294.00
80423,NATRIURETIC PEPTIDE     ,489.00
85910,PIN HLF APX ORTH 180X6MM,956.00
87568,CATH BLN EUPH 2.75X6MM  ,1029.00
100240,BONE MARROW ASPIRATION  ,425.00
101749,CVV HEMODIALYSIS DAILY  ,7448.00
101750,HEMODIALYSIS MULT EVAL  ,4927.00
101752,HEMODIALYSIS ONE EVAL   ,2640.00
101753,HEMOPERFUSION           ,7886.00
101756,PERITONEL DIAL MULT EVAL,5745.00
101757,PERITONEL DIAL ONE EVAL ,4809.00
101760,PLASMA PHERESIS TREATMNT,5928.00
101780,OP VISIT LEVEL 1 EST    ,230.00
101781,OP VISIT LEVEL 2 EST    ,367.00
101782,OP VISIT LEVEL 3 EST    ,505.00
101783,OP VISIT LEVEL 4 EST    ,644.00
101791,DOP ART 1-2 LEVELS BIL  ,469.00
101793,OP VISIT LEVEL 3 NP     ,460.00
101796,OP VISIT LEVEL 1 NP     ,184.00
101797,OP VISIT LEVEL 5 NP     ,735.00
101798,OP VISIT LEVEL 4 NP     ,598.00
101799,OP VISIT LEVEL 2 NP     ,322.00
101879,OR LEVEL 1 ADD 30 MIN   ,7497.00
