Charge,Unit Price
1.5 MM GUIDE WIRE,$131.00 
1.8 DRILL BIT,$336.00 
1000 CC SUCTION BOT. - STOCK,$13.00 
1000 ML WATER,$6.00 
10F DUAL PORT,$526.00 
10FR SHEATH 4CM,$56.00 
1200 SUCTION BOTTLES CRASH/CART,$9.00 
15MM ENDOBUTTON CL,$718.20 
17-HYDROXYPREGNENO ASSOC CHG. 84143,$70.00 
180CM AMPLATZ OR GLIDEWIRE ADVANTAGE,$870.00 
180CM ANGLED TAPERED GLIDEWIRE,$277.90 
18G BEVEL TIP ATTACHMENT,$34.45 
2.1 FISSURE CROSS CUT BURR,$220.00 
2.2 NITINOL STONE BASKET,$616.00 
2.5 ROTH NET -  NONSTOCK,$312.00 
2.9 OSTEORAPTER SUTURE ANCHOR,$698.25 
2000 ML WATER W/BAG - STOCK,$14.00 
20MM ENDOBUTTON CL,$718.20 
2500 CC SUCTION BOT. - STOCK,$26.00 
25MM ENDOBUTTON CL,$718.20 
3.8 DISPOSABLE AWL FOR FOOTPRINT,$141.75 
30 DEG KELMAN - STOCK,$297.00 
30MM ENDOBUTTON CL,$718.20 
36 FR ANGLED CATHETER,$56.58 
"3D RENDERING OF CT, MRI, US",$570.00 
4.0 DISSECTOR,"$1,475.00 "
4.0 DISSECTOR CURVED,"$1,650.00 "
4.5 ANCHOR FOOTPRINT,$926.25 
4.5MM ENDOBUTTON DRILL,$351.41 
4.8FR VARIABLE LENGTH URET STENT,$324.90 
45 DEGREE ACCUPASS LEFT,$337.55 
45 DEGREE ACCUPASS RIGHT,$337.55 
5.0 CORKSCREW ANCHOR,$768.00 
5.5 TWIN FLEX ULTRA PACK,$926.25 
5FR NON TAPERED ANGLED GLIDE CATH,$339.50 
5FR STD MICRO INTRO KIT,$140.00 
6.0MM ROUND BURR,$311.43 
6.5 CORKSCREW ANCHOR,$695.00 
6.6F LOW PROFILE PORT,$796.00 
6FR VARIABLE LENGTH URET STENT,$308.66 
7 FR GROSHONG CATHETER,"$1,524.75 "
70 DEGREE ACCUPASS,$354.43 
750 ML SW W/NEB ADAPTERS,$6.00 
750 ML WATER NO ADAPTERS-STOCK,$12.00 
7FR SHEATH 4CM,$63.21 
8.0 X 72MM CANNULA GREEN,$87.50 
8.25 CANNULA,$90.00 
8FR GROSHONG CATH KIT,$681.15 
9.5 FR GROSHONG DBL CATHETER,$950.00 
9.5FR GROSHONG CATH KIT,"$1,184.00 "
9.6 SINGLE PORT,$597.93 
A & D OINTMENT 5GM PACKET,$2.00 
A & P REPAIR,"$2,700.00 "
ABD FLAT/DECUBITUS,$410.00 
ABD FLAT/UPRIGHT,$410.00 
ABD FLAT/UPRIGHT W/CHEST,$636.00 
ABD PAD - NONSTOCK,$2.00 
ABDOMINAL HYSTERECTOMY,"$2,407.00 "
ABDUCTION PILLOW MED - STOCK,$72.00 
ABELCET SDV  : 100MG/20ML,$520.00 
ABG KIT,$28.00 
ABI/PVR OF LOWER/UPPER EXTREMITIES,$475.00 
ABI/PVR STRESS LOWER EXTREMITIES,$474.00 
ABILIFY TAB  2MG,$79.00 
ABILIFY TAB 10MG,$84.00 
ABLATION,"$1,800.00 "
ABORTED RENAL DIALYSIS,$80.00 
ABSOLUTE CD4 ASSOC CHG-86361,$560.00 
ABSOLUTE CD4/CD8 ASSOC CHG-86360,$141.00 
AC JOINTS,$597.00 
AC RESECTION SHOULDER,"$2,812.00 "
ACCOLATE TAB 20MG,$10.00 
ACCU -TEMP  STOCK,$37.54 
ACCUCATH 18GA,$147.00 
ACCUCATH 20GA,$147.00 
ACCUHIST DROPS 30ML,$160.00 
ACCUHIST-DM DROPS 30ML,$110.00 
ACCUPRIL TAB  10MG,$8.00 
ACCUSISE ENDOPYLOTOMY   KIT,"$4,450.00 "
ACCUSIZE KIT,"$3,347.00 "
ACE BANDAGE - 2  - NONSTOCK,$2.00 
ACE BANDAGE - 3  - STOCK,$3.00 
ACE BANDAGE - 4  - STOCK,$4.00 
ACE BANDAGE - 6  - STOCK,$5.00 
ACEON TAB  4MG,$13.00 
ACETADOTE SDV: 6 GM/30ML,$399.00 
ACETAMINOPHEN,$136.00 
ACETYLCHOLINE RECEPTOR ANTIBODIES,$110.00 
"ACETYLCHOLINESTERASE, AMNIOTIC FLUID",$155.00 
"ACETYLCHOLINESTERASE, RBC",$129.00 
ACHILLES TENDON/RUPTURED,"$2,547.00 "
ACID PHOS PROSTATIC,$70.00 
ACL GRAFT KNIFE 18FR. KIT,"$5,558.00 "
ACL SUPPLIES,"$2,992.50 "
ACLOVATE CRM 0.05% 15GM,$100.00 
ACM W/FEM NOZZEL,$326.00 
ACMI STONE GRASPING FORCEPS,$152.00 
ACTH (NOT SAME AS STIMULATION TEST),$262.00 
ACTHREL SDV 100MCG,"$1,124.95 "
ACTIGALL CAP  300MG,$22.00 
ACTIVASE 10 MG,"$1,537.95 "
ACTIVASE CATHFLO 2MG (TPA),$224.00 
ACTIVATED PROTEIN C RESISTANCE,$168.00 
ACTONEL TAB  5MG,$21.00 
ACTONEL TAB 35MG,$123.00 
ACTOS TAB  15MG,$27.00 
ACULAR OPH SOLN 0.5% 5ML,$260.00 
"ACYCLOVIR, SERUM",$306.00 
"ACYLCARNITINES, QUANT, PLASMA",$165.00 
"ACYLGLYCINES, QUANT, RANDOM URINE",$285.00 
ADAMTS13 ACTIVITY & INHIBITOR PROFILE,$378.00 
ADAPTER 3 WAY,$137.38 
ADAPTER CHECK FLO DISP.,$39.00 
ADAPTER COMPAT,$62.00 
ADAPTER ET TUBE YG-111T,$77.00 
ADAPTER FEMALE LL MULTI TUBING,$24.00 
ADAPTER KANGAROO - NONSTOCK,$4.00 
ADAPTER MALE LL LIGHT HOUSE,$31.06 
ADAPTER SWIVEL - STOCK,$74.00 
ADAPTIC GAUZE - NONSTOCK,$5.00 
ADAPTOR 02 SAMPLING - STOCK,$13.00 
ADCIRCA TAB 20MG,$147.75 
ADD CYSTO FLURO IN OR,$751.00 
ADD. FLURO ROOM TIME,$751.00 
ADENOCARD SDV 6MG/2ML,$203.00 
ADENOCARD SYRINGE 6MG/2ML (AMBU ONLY),$203.00 
ADENOIDECTOMY,"$6,800.00 "
ADENOscan:XRAY 90MG/30ML VIAL,$695.00 
"ADENOSINE DEAMINASE, PLEURAL FLUID",$231.00 
ADENOVIRUS ANTIBODY,$169.00 
ADEPT,$581.00 
ADHESIVE PAD,$22.24 
"ADJACENT TISSUE TRANSFER FOREHEAD, CHIN","$4,500.00 "
ADL TRAINING,$90.00 
ADL TRAINING OT,$90.00 
ADMINISTRATION HEPITITIS B VACCINE,$108.00 
ADMINISTRATION INFLUENZA VACCINE,$108.00 
ADMINISTRATION PNEUMONIA VACCINE,$108.00 
ADMINISTRATION VACCINE,$63.00 
ADMINISTRATION VACCINE EACH ADD DOSE,$63.00 
ADRENALIN TOP SOLN 1-1000 30ML,$128.00 
ADULT AMBU BAGS PROVIDER - STOCK,$69.00 
ADULT DISP AMBU BAG,$46.00 
ADULT VAR,$303.00 
ADVAIR DISKUS 100/50,$423.00 
ADVAIR DISKUS 250/50,$232.00 
ADVAIR DISKUS 500/50,$326.00 
ADVAIR HFA INHALER 115/21 8GM,$274.30 
ADVINCULA DELINEATOR  3.0 - NONSTOCK,$299.25 
ADVINCULA DELINEATOR 3.5 - NONSTOCK,$315.00 
ADVINCULA DELINEATOR 4.0 - NONSTOCK,$315.00 
AERO VENT,$34.00 
AEROBIC ISOLATE REFLEX CHARGE,$175.00 
AEROBIC ORGANISM REFER FOR ID,$175.00 
AEROBID INHALER 7GM,$190.00 
AEROCHAMBER,$31.00 
AEROSAL DRAINAGE BAG,$9.00 
AEROSOL MASK ADULT - STOCK,$8.00 
AEROSOL TUBING - STOCK,$3.00 
AFB COMPLEX BY RAPID PCR,$337.00 
AFB CULTURE CONC. AND SMEAR -1356 SPUTUM,$76.00 
AFB CULTURE DIRECT AND SMEAR -1358,$76.00 
"AFB CULTURE, BLOOD -1360",$76.00 
AFB SMEAR,$39.00 
AFRIN DROP 0.025% 20ML,$26.00 
AFRIN SPRY 0.05% 15ML,$11.00 
AGGRENOX CAPSULE,$16.00 
AGRYLIN CAP 0.5MG,$31.00 
"AGXT MUTATION ANALYSIS (G170R), BLOOD",$783.00 
AIRFIT N10 SMALL,$78.00 
AIRFIT N10 STANDARD,$78.00 
