Charge,Unit Price
#2 FIBERLOOP,$113.00 
#3 FEMORAL REV. UPCHARGE,$437.00 
+ 1.5 HEAD,"$3,861.00 "
+4 FEM HEAD,$877.00 
"0.9 % SODIUM CHLORIDE 1,000 ML BAG",$50.00 
0.9 % SODIUM CHLORIDE 100 ML BAG,$76.00 
0.9 % SODIUM CHLORIDE 250 ML BAG,$12.50 
0.9 % SODIUM CHLORIDE 50 ML BAG,$10.00 
0.9 % SODIUM CHLORIDE 500 ML BAG,$25.00 
1.9FR ESCAPE BASKET,$394.00 
11 MM TI CONN TF NAIL,"$2,530.00 "
11 MM TI HELICAL BLADE,$805.00 
12 FT DRAIN FOR CYCLER,$13.00 
13MM SCREW,$592.00 
150ML SAMPLE BAG FOR CYCL,$34.25 
22GA TOUHY NEEDLE,$42.00 
4 PRONG TUBE FOR CYCLER,$73.00 
40MM SPIRAL BLADE,$868.00 
5 HOLE CLAMP,$941.00 
5.0 LOCKING SCREW W STARD,$207.00 
5MM HALF BLOCK,"$1,599.00 "
5MM SEAL,$49.00 
6.5MM SPIRALOK ANCHOR,$435.00 
7.3 LOCKING SCREW,$422.00 
8 HOLE LCP PLATE,"$2,295.00 "
8FR SUCTION COAGULATOR,$102.00 
A/S IMMOBOLIZER UNI.,$158.00 
"AA 3%/ELECTROLYTE-TPN SOLN/GLY 1,000 ML BOT",$0.00 
ABATACEPT/MALTOSE 250 MG SDV,"$5,231.25 "
ABDOM BINDER,$136.00 
ABDUCTION PILLOW,$201.00 
ABG WITH DIR O2 SAT,$283.00 
ABTHERA OPEN ABDOMEN DRES,$594.00 
ACARBOSE 50 MG TAB,$5.30 
ACCESSORY KIT 3 ARM,$509.00 
ACCESSORY KIT 4 ARM,$662.00 
ACCUPASS 70 DEGREE SUT SH,$178.00 
ACEBUTOLOL HCL 200 MG CAP,$4.00 
ACET SHELL,$956.00 
ACETAMIN./CODEINE LIQUID 5 ML UDC,$6.20 
"ACETAMINOPHEN 1,000 MG/100 ML PIGGYBACK",$200.75 
ACETAMINOPHEN 120 MG/SUPP,$4.00 
ACETAMINOPHEN 325 MG/SUPP,$4.00 
ACETAMINOPHEN 650 MG SUPP,$4.00 
ACETAMINOPHEN ARTHRITIS ER 650 MG TAB,$2.00 
ACETAMINOPHEN SOLN 650 MG/20.3 ML UDC,$10.15 
ACETAMINOPHEN SUSP 160 MG/5 ML UDC,$4.15 
ACETAMINOPHEN TAB 325 MG,$2.00 
ACETAMINOPHEN TAB 500 MG,$2.00 
ACETAMINOPHEN/CODEINE 300/30 (#3) TAB,$4.00 
ACETAMINOPHEN/CODEINE 300/60 (#4) TAB,$4.00 
