Category,MSDRG,MSDRG Description,Average Case
Surgical,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$360,150.73 "
Surgical,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$377,411.45 "
Surgical,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC ","$83,393.38 "
Surgical,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC ", 
Surgical,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC", 
Cardiovascular Services,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC, 
Cardiovascular Services,21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC, 
Neurosciences,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR, 
Neurosciences,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC, 
Neurosciences,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC, 
Neurosciences,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC, 
Neurosciences,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC, 
Neurosciences,28,SPINAL PROCEDURES W MCC , 
Neurosciences,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS, 
Neurosciences,30,SPINAL PROCEDURES W/O CC/MCC , 
Neurosciences,31,VENTRICULAR SHUNT PROCEDURES W MCC, 
Neurosciences,32,VENTRICULAR SHUNT PROCEDURES W CC, 
Neurosciences,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC, 
Cardiovascular Services,34,CAROTID ARTERY STENT PROCEDURE W MCC, 
Cardiovascular Services,35,CAROTID ARTERY STENT PROCEDURE W CC, 
Cardiovascular Services,36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC, 
Cardiovascular Services,37,EXTRACRANIAL PROCEDURES W MCC, 
Cardiovascular Services,38,EXTRACRANIAL PROCEDURES W CC, 
Cardiovascular Services,39,EXTRACRANIAL PROCEDURES W/O CC/MCC, 
Neurosciences,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC, 
Neurosciences,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM, 
Neurosciences,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC, 
Neurosciences,52,SPINAL DISORDERS & INJURIES W CC/MCC, 
Neurosciences,53,SPINAL DISORDERS & INJURIES W/O CC/MCC, 
Oncology,54,NERVOUS SYSTEM NEOPLASMS W MCC, 
Oncology,55,NERVOUS SYSTEM NEOPLASMS W/O MCC, 
Neurosciences,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$17,736.10 "
Neurosciences,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$16,837.16 "
Neurosciences,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC, 
Neurosciences,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC, 
Neurosciences,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC, 
Neurosciences,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC", 
Neurosciences,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC", 
Neurosciences,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$27,148.59 "
Neurosciences,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$20,508.21 "
Neurosciences,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$18,443.53 "
Neurosciences,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC, 
Neurosciences,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$22,746.95 "
Neurosciences,69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$15,483.00 "
Neurosciences,70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$54,617.40 "
Neurosciences,71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$26,200.15 "
Neurosciences,72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$50,583.30 "
Neurosciences,73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$43,607.88 "
Neurosciences,74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$17,695.28 "
Neurosciences,75,VIRAL MENINGITIS W CC/MCC, 
Neurosciences,76,VIRAL MENINGITIS W/O CC/MCC, 
Neurosciences,77,HYPERTENSIVE ENCEPHALOPATHY W MCC, 
Neurosciences,78,HYPERTENSIVE ENCEPHALOPATHY W CC, 
Neurosciences,79,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC, 
Neurosciences,80,NONTRAUMATIC STUPOR & COMA W MCC,"$34,671.98 "
Neurosciences,81,NONTRAUMATIC STUPOR & COMA W/O MCC, 
Neurosciences,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC", 
Neurosciences,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC", 
Neurosciences,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC", 
Neurosciences,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$17,699.34 "
Neurosciences,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC", 
Neurosciences,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC", 
Neurosciences,88,CONCUSSION W MCC, 
Neurosciences,89,CONCUSSION W CC,"$7,930.67 "
Neurosciences,90,CONCUSSION W/O CC/MCC, 
Neurosciences,91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$14,234.43 "
Neurosciences,92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$14,685.79 "
Neurosciences,93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$14,054.74 "
Neurosciences,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC, 
Neurosciences,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"$10,103.03 "
Neurosciences,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC, 
Neurosciences,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC, 
Neurosciences,98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC, 
Neurosciences,99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC, 
Neurosciences,100,SEIZURES W MCC,"$22,247.59 "
Neurosciences,101,SEIZURES W/O MCC,"$14,892.99 "
Neurosciences,102,HEADACHES W MCC,"$34,669.75 "
Neurosciences,103,HEADACHES W/O MCC,"$11,798.93 "
Surgical,113,ORBITAL PROCEDURES W CC/MCC, 
Surgical,114,ORBITAL PROCEDURES W/O CC/MCC, 
Surgical,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT, 
Surgical,116,INTRAOCULAR PROCEDURES W CC/MCC, 
Surgical,117,INTRAOCULAR PROCEDURES W/O CC/MCC, 
Surgical,121,ACUTE MAJOR EYE INFECTIONS W CC/MCC, 
Surgical,122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC, 
Surgical,123,NEUROLOGICAL EYE DISORDERS,"$10,199.43 "
Surgical,124,OTHER DISORDERS OF THE EYE W MCC, 
Surgical,125,OTHER DISORDERS OF THE EYE W/O MCC,"$11,394.37 "
Surgical,129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE, 
Surgical,130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC, 
Surgical,131,CRANIAL/FACIAL PROCEDURES W CC/MCC, 
Surgical,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC, 
Surgical,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","$28,116.64 "
Surgical,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","$13,038.37 "
Surgical,135,SINUS & MASTOID PROCEDURES W CC/MCC, 
Surgical,137,MOUTH PROCEDURES W CC/MCC, 
Surgical,138,MOUTH PROCEDURES W/O CC/MCC, 
Surgical,139,SALIVARY GLAND PROCEDURES,"$13,059.18 "
Oncology,146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC", 
Oncology,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC", 
Oncology,148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC", 
Surgical,149,DYSEQUILIBRIUM,"$9,618.78 "
Surgical,151,EPISTAXIS W/O MCC,"$5,634.64 "
Surgical,152,OTITIS MEDIA & URI W MCC,"$7,570.83 "
Surgical,153,OTITIS MEDIA & URI W/O MCC,"$4,558.67 "
Surgical,154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$29,144.91 "
Surgical,155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$9,173.72 "
Surgical,156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$4,043.23 "
Medical,157,DENTAL & ORAL DISEASES W MCC,"$20,615.48 "
Medical,158,DENTAL & ORAL DISEASES W CC,"$11,240.86 "
Medical,159,DENTAL & ORAL DISEASES W/O CC/MCC,"$9,430.43 "
Cardiovascular Services,163,MAJOR CHEST PROCEDURES W MCC, 
Cardiovascular Services,164,MAJOR CHEST PROCEDURES W CC, 
Cardiovascular Services,165,MAJOR CHEST PROCEDURES W/O CC/MCC, 
Cardiovascular Services,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$78,181.84 "
Cardiovascular Services,167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$39,256.17 "
Cardiovascular Services,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC, 
Medical,175,PULMONARY EMBOLISM W MCC,"$27,226.60 "
Medical,176,PULMONARY EMBOLISM W/O MCC,"$14,758.43 "
Medical,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$32,243.46 "
Medical,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$20,882.80 "
Medical,179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$31,584.30 "
Oncology,180,RESPIRATORY NEOPLASMS W MCC,"$24,173.97 "
Oncology,181,RESPIRATORY NEOPLASMS W CC,"$40,556.77 "
Oncology,182,RESPIRATORY NEOPLASMS W/O CC/MCC, 
Cardiovascular Services,183,MAJOR CHEST TRAUMA W MCC, 
Cardiovascular Services,184,MAJOR CHEST TRAUMA W CC,"$16,790.16 "
Cardiovascular Services,185,MAJOR CHEST TRAUMA W/O CC/MCC, 
Medical,186,PLEURAL EFFUSION W MCC,"$34,260.08 "
Medical,187,PLEURAL EFFUSION W CC,"$48,329.55 "
Medical,188,PLEURAL EFFUSION W/O CC/MCC, 
Medical,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$20,604.81 "
Medical,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$16,746.59 "
Medical,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$13,128.78 "
Medical,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$13,731.11 "
Medical,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$20,331.88 "
Medical,194,SIMPLE PNEUMONIA & PLEURISY W CC,"$13,384.26 "
Medical,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$8,797.42 "
Medical,196,INTERSTITIAL LUNG DISEASE W MCC,"$30,556.43 "
Medical,197,INTERSTITIAL LUNG DISEASE W CC,"$10,703.31 "
Medical,198,INTERSTITIAL LUNG DISEASE W/O CC/MCC, 
Medical,199,PNEUMOTHORAX W MCC,"$26,819.39 "
Medical,200,PNEUMOTHORAX W CC,"$22,687.33 "
Medical,201,PNEUMOTHORAX W/O CC/MCC, 
Medical,202,BRONCHITIS & ASTHMA W CC/MCC,"$11,297.42 "
Medical,203,BRONCHITIS & ASTHMA W/O CC/MCC,"$8,017.60 "
Medical,204,RESPIRATORY SIGNS & SYMPTOMS,"$8,746.06 "
Medical,205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$24,270.88 "
Medical,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$8,273.05 "
Medical,207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"$87,304.67 "
