Charge,Unit Price
(PHA) RHOGAM 300MCG,$863.00 
(PHA) RHOPHYLAC,$863.00 
(SYMMETREL) 100 MG/10ML ORAL SYR CUP,$7.37 
10/40MG AMLODIPINE-ATORVASTATIN TABLET,$33.31 
1-METHYLFOLATE 7.5 MG TAB,$12.12 
23HR OBS 1ST HR,$218.00 
23HR OBS DIRECT ADMIT,$882.50 
23HR OBS EA ADD'L HR,$34.00 
A&D OINTMENT 2 OZ.,$8.28 
ABACAVIR 300MG TABLET,$45.42 
"ABBI,COVER EQUIPMENT",$165.00 
ABILIFY 10MG TABLET,$70.31 
ABILIFY 15MG TABLET,$67.27 
ABILIFY 20MG TABLET,$95.13 
ABILIFY 2MG TABLET,$79.78 
ABILIFY 5MG TABLET,$70.31 
ABILIFY DISCMELT 15MG TABLET,$131.45 
"ABLATION CARTRIDGE CO2, NOVASURE",$86.00 
"ABLATION DEVICE, DISP, NOVASURE","$9,247.50 "
ABRAXANE PER 1MG,$70.22 
ABTHERA WOUND VAC/DAILY,$443.00 
ACARBOSE 50MG,$5.30 
"ACCESSORY KIT, PENILE ULTREX 700","$3,969.50 "
"ACCESSORY KIT, SPHINCTER 800","$4,991.00 "
ACCUPRIL 10 MG,$5.02 
ACEBUTOLOL 200MG,$4.62 
ACEBUTOLOL 400MG,$4.62 
ACETAMINOPHEN 125MG SUPP,$11.70 
ACETAMINOPHEN 325 MG.,$0.60 
ACETAMINOPHEN 325 MG. TAB,$0.60 
ACETAMINOPHEN 325MG SUPP,$11.70 
ACETAMINOPHEN 500MG TAB,$0.60 
ACETAMINOPHEN 600MG SUPP,$11.70 
ACETAMINOPHEN 650MG/20ML,$4.62 
ACETAMINOPHEN 80 MG PR SUPPOSITORY,$11.70 
ACETAMINOPHEN CHEWABLE,$0.60 
ACETAMINOPHEN ER 650 MG TALBET,$4.62 
ACETAMINOPHEN LIQ. 5 ML,$4.62 
ACETAMINOPHEN LIQUID 10 ML.,$4.62 
ACETAMINOPHEN W CODEINE 30MG TAB,$5.03 
ACETAMINOPHEN W CODEINE 60MG,$5.03 
ACETAMINOPHEN WITH CODEINE 5ML,$8.77 
ACETAMINOPHEN WITH CODEINE LIQUID 12.5ML,$4.62 
ACETAMINOPHEN(OFIRMEV)10MG INJ,$7.44 
ACETASOL HC 2%-1% OTIC DROPS,"$1,406.51 "
ACETAZOLAMIDE 250 MG,$4.62 
ACETAZOLAMIDE 500 MG,$140.82 
ACETAZOLAMIDE SEQUELS 500MG CAP,$11.87 
