Service Area|Px Code|Procedure Description|Default Rev Code|CPT(R)/HCPCS Code|Default Mod|Fee Schedule Group Name|Unit Price
WS SERVICE AREA|80080450|HC MR-STAPH DNA AMP PROBE|LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306]|87641||WS HB DEFAULT|371.00
WS SERVICE AREA|80080441|HC IADNA HUMAN PAPILLOMAVIRUS TYPES 16 & 18 ONLY|LABORATORY - CHEMISTRY [0301]|87625||WS HB DEFAULT|300.00
WS SERVICE AREA|80080443|HC DRUG SCREENING PROPOXYPHENE|LABORATORY - CHEMISTRY [0301]|80367||WS HB DEFAULT|248.00
WS SERVICE AREA|80080445|HC DRUG SCREENING FENTANYL|LABORATORY - CHEMISTRY [0301]|80354||WS HB DEFAULT|248.00
WS SERVICE AREA|80080451|HC DRUG SCREENING METHADONE|LABORATORY - CHEMISTRY [0301]|80358||WS HB DEFAULT|173.00
WS SERVICE AREA|80080452|HC OPIOIDS & OPIATE ANALOGS 3/4|LABORATORY - CHEMISTRY [0301]|80363||WS HB DEFAULT|248.00
WS SERVICE AREA|271110052|HC DRESSING SM PICC CVC CHG+ SCR|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|40.00
WS SERVICE AREA|271110053|HC DRESSING LG PICC CVC CHG+ SCR|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|41.00
WS SERVICE AREA|27237433|HC CATH SWAN GANZ VIP OXY 7.5FR|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|1,144.00
WS SERVICE AREA|27112722|HC TRANSDUCER PRESSURE DISP|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|30.00
WS SERVICE AREA|271108957|HC MASK AF421 EE LEAK|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|81.00
WS SERVICE AREA|271108956|HC MASK LAF421 EE LEEK NA|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|81.00
WS SERVICE AREA|271108958|HC MASK S AF421 EE LEAK I NA|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|81.00
WS SERVICE AREA|27164539|HC AIRWAY ESOPH 7MM LMA FST CUFF|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|294.00
WS SERVICE AREA|27164541|HC AIRWAY ESOPH 8MM LMA FST CUFF|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|294.00
WS SERVICE AREA|272110037|HC DRESSING AG 2X3 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|30.00
WS SERVICE AREA|272110038|HC DRESSING AG 3X4 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|49.00
WS SERVICE AREA|272110039|HC DRESSING AG 4X5 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|69.00
WS SERVICE AREA|272110040|HC DRESSING AG 4X7 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|108.00
WS SERVICE AREA|272110041|HC DRESSING AG 8X12 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|299.00
WS SERVICE AREA|272110042|HC DRESSING AG 8X20 MEPITEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|501.00
WS SERVICE AREA|93091418|HC IP ONLY-TMVR INITIAL|OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360]|||WS HB DEFAULT|49,418.00
WS SERVICE AREA|93091419|HC IP ONLY- TMVR ADDL|OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360]|||WS HB DEFAULT|12,354.00
WS SERVICE AREA|272110447|HC CATHETER 12FR 25CM DRAIN AP|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1729||WS HB DEFAULT|307.00
WS SERVICE AREA|272110448|HC CATHETER 14FR 25CM DRAIN AP|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1729||WS HB DEFAULT|307.00
WS SERVICE AREA|272110449|HC CATHETER 16FR 25CM DRAIN AP|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1729||WS HB DEFAULT|307.00
WS SERVICE AREA|278110328|HC ALLODERM LG RTU THIN 164SQCM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|Q4116||WS HB DEFAULT|20,979.00
WS SERVICE AREA|27896299|HC TISSUE FLEXHD 6X16CM HD THK|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|Q4128||WS HB DEFAULT|8,847.00
WS SERVICE AREA|278110416|HC SURGIMEND 3X3CM PER .5 SQCM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|C9358||WS HB DEFAULT|829.00
