Service Area|Px Code|Procedure Description|Alternate CPT/HCPCS Code|Alternate Identification|Alternate Code by Location|Alternate Code by Department|Fee Schedule Group Name|Unit Price
WS SERVICE AREA|80080443|HC DRUG SCREENING PROPOXYPHENE|G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056|20201,20202,20501,20502,21201,21202,21203,21204,21401,21501,21601,22301,23201,23202,23203,23501,24101,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|||WS HB DEFAULT|248.00
WS SERVICE AREA|80080445|HC DRUG SCREENING FENTANYL|G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056|20201,20202,20501,20502,21201,21202,21203,21204,21401,21501,21601,22301,23201,23202,23203,23501,24101,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|||WS HB DEFAULT|248.00
WS SERVICE AREA|80080451|HC DRUG SCREENING METHADONE|G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056|20201,20202,20501,20502,21201,21202,21203,21204,21401,21501,21601,22301,23201,23202,23203,23501,24101,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|||WS HB DEFAULT|173.00
WS SERVICE AREA|80080452|HC OPIOIDS & OPIATE ANALOGS 3/4|G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056,G6056|20201,20202,20501,20502,21201,21202,21203,21204,21401,21501,21601,22301,23201,23202,23203,23501,24101,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|||WS HB DEFAULT|248.00
WS SERVICE AREA|93492928|HC ROBOTIC ASST STENT DES LD/LAD ARTERY OR BRANCH|92928,92928|24101,24102|,|,|WS HB DEFAULT|12,192.00
WS SERVICE AREA|93592928|HC ROBOTIC ASST STENT DES LC/LCX ARTERY OR BRANCH|92928,92928|24101,24102|,|,|WS HB DEFAULT|12,192.00
WS SERVICE AREA|93692928|HC ROBOTIC ASST STENT DES RC/RCA ARTERY OR BRANCH|92928,92928|24101,24102|,|,|WS HB DEFAULT|12,192.00
WS SERVICE AREA|93792928|HC ROBOTIC ASST STENT DES LM ARTERY|92928,92928|24101,24102|,|,|WS HB DEFAULT|12,192.00
WS SERVICE AREA|93892928|HC ROBOTIC ASST STENT DES RAMUS ARTERY|92928,92928|24101,24102|,|,|WS HB DEFAULT|12,192.00
WS SERVICE AREA|93092929|HC ROBOTIC ASST STENT DES LD/LAD ADDITIONAL BRANCH|92929,92929|24101,24102|,|,|WS HB DEFAULT|6,101.00
