MEDICATION,CHARGE
SODIUM CHLORIDE 0.9 % INJECTION,$61.43
SODIUM CHLORIDE 0.9 % IV,$100.00
0.9% NACL with 20 meq KCl IV,$100.00
ABACAVIR 150 mg TAB,$37.77
ABACAVIR 20 MG/ML ORAL SOLN,$490.80
ABACAVIR 20 MG/ML ORAL SOLN,$420.98
abacavir 20mg/ml oral solution,$490.80
abacavir 20mg/ml oral solution,$420.98
ABACAVIR 300 MG TAB,$36.44
ABACAVIR 300 MG TAB,$33.77
ABACAVIR 300 MG TAB,$35.92
ABATACEPT INJ PER 10 MG,"$3,452.52"
ABCIXIMAB INJ PER 10MG,"$6,193.09"
ACAMPROSATE 333 MG DR TAB,$10.66
ACAMPROSATE 333 MG DR TAB,$12.62
ACARBOSE 100 MG TAB,$10.03
ACARBOSE 25 MG TAB,$13.89
ACARBOSE 50 MG TAB,$9.89
ACARBOSE 50 MG TAB,$9.26
ACEBUTOLOL 200 MG CAP,$8.81
ACEBUTOLOL 200 MG CAP,$9.65
ACETAMINOPHEN PER 10 MG INJ,$158.06
ACETAMINOPHEN PER 10 MG INJ,$158.06
ACETAMINOPHEN 120 MG SUPPOSITORY,$8.56
ACETAMINOPHEN 120 MG SUPPOSITORY,$8.56
ACETAMINOPHEN 160 MG/5 ML  SUSP,$20.40
ACETAMINOPHEN 160 MG/5 ML  SUSP,$20.26
ACETAMINOPHEN 32 MG/ML SOLN,$12.35
ACETAMINOPHEN 32 MG/ML SOLN,$13.51
ACETAMINOPHEN 32 MG/ML SOLN,$9.72
ACETAMINOPHEN 32 MG/ML SOLN,$11.64
acetaminophen 32 mg/ml oral soln,$9.72
acetaminophen 32 mg/ml oral soln,$13.51
acetaminophen 32 mg/ml oral soln,$12.35
acetaminophen 32 mg/ml oral soln,$11.26
acetaminophen 32 mg/ml oral soln,$11.64
ACETAMINOPHEN 325 MG SUPPOSITORY,$9.75
ACETAMINOPHEN 325 MG SUPPOSITORY,$10.80
ACETAMINOPHEN 325 MG SUPPOSITORY,$9.75
ACETAMINOPHEN 325 MG TAB,$2.00
ACETAMINOPHEN 325 MG TAB,$2.00
ACETAMINOPHEN 325 MG TAB,$2.00
ACETAMINOPHEN 325 MG TAB,$2.00
ACETAMINOPHEN 325 MG TAB,$2.00
ACETAMINOPHEN 325MG/10.15ML SOLN,$11.64
ACETAMINOPHEN 325MG/10.15ML SOLN,$11.26
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 500 MG TAB,$2.00
ACETAMINOPHEN 650 MG SUPPOSITORY,$10.24
ACETAMINOPHEN 650 MG SUPPOSITORY,$9.19
ACETAMINOPHEN 650 MG SUPPOSITORY,$9.82
ACETAMINOPHEN 650 MG SUPPOSITORY,$9.82
ACETAMINOPHEN 80 MG CHEWABLE TAB,$2.00
ACETAMINOPHEN 80 MG CHEWABLE TAB,$2.00
ACETAMINOPHEN 80 MG RECTAL SUPP,$10.80
FIORICET 325 MG-40 MG-50 MG TAB,$8.39
FIORICET 325 MG-40 MG-50 MG TAB,$8.42
FIORICET 325 MG-40 MG-50 MG TAB,$11.08
FIORICET 325 MG-40 MG-50 MG TAB,$10.31
acetazolamide inj per 500mg,$108.75
acetazolamide inj per 500mg,$108.75
ACETAZOLAMIDE 125 MG TAB,$17.67
