Service Area,Description,Revenue Code,Charge Patient Pay
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.018 80CM GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],203
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.018 GLIDEWIRE GOLD,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],423
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.018 X 300 STEELCORE WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],307
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.018/180CM HI WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],130
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.035 180 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],90
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.035 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],161
WAKE FOREST BAPTIST MEDICAL CENTER High Point,.038 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,042.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"0.014"" X 300 CM ASAHI MIRACLEBROS 4.5 PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"0.014"" X 300CM ASAHI MIRACLEBROS 12 PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"0.014IN X 190 CM ASAHI FIELDER XT PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"0.016"" x 180cm, 25cm tip, Fathom Steerable Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],934
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"0.035INX260CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COATED, SPR STIFF",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],104
WAKE FOREST BAPTIST MEDICAL CENTER High Point,014 FATHOM PRE SHAPED GUIDEWIR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],776
WAKE FOREST BAPTIST MEDICAL CENTER High Point,035 150 B.S. BENTSON WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],95
WAKE FOREST BAPTIST MEDICAL CENTER High Point,035 X 145 AMPLATZ SUPER STIFF,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],80
WAKE FOREST BAPTIST MEDICAL CENTER High Point,035/150 ANGLE GLIDEWIRE TEURMO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],107
WAKE FOREST BAPTIST MEDICAL CENTER High Point,035/150 STIFF ANGLE GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],107
