Service Area,Description,Revenue Code,Charge Patient Pay
WAKE FOREST BAPTIST MEDICAL CENTER Davie,"#10 BURN NET, BOX",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],115
WAKE FOREST BAPTIST MEDICAL CENTER Davie,(30 MIN) DIAB ED,OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING [0942],116
WAKE FOREST BAPTIST MEDICAL CENTER Davie,(ACHE) ACETYCHOLINESTERAS AMNI,LABORATORY - CHEMISTRY [0301],11
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.010in x 200cm X-pedion Hydrophilic Guidewire,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],369.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.014 175EX SUPPORT WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],153
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.014 SOFT J TIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],833.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.014 TRANSEND SOFT TIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],814.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.014X300 HI TORQUE WINN 40,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],251
WAKE FOREST BAPTIST MEDICAL CENTER Davie,".016in x 180cm, 25cm tip, Fathom Steerable Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],416.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018  200CM FLEX-T GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],198
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 145 FLEX T WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],155
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 180CM STRAIGHT GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],89
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 80CM GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],123
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 GLIDEWIRE GOLD,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],237
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 GLIDEWIRE GT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],352.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 INTERMEDIATE GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],139
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 STANDARD GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],139
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 X 180 90/60DEG ANGLE GLID,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],383.00
WAKE FOREST BAPTIST MEDICAL CENTER Davie,.018 X 180 90DEG ANGLE GLIDEWI,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],383.00
