"The University of Texas MD Anderson Cancer Center
Supply Charge List",,,,
The supply list below contains ranges of specific supplies.  Actual patient supply pricing is dependent on supply type and varies by patient.                                                                        All pricing is subject to change. Pricing as of December 2018.,,,,
,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
List ID,CPT Code,Supply Category,Description,Unit Charge
1,A4206,Needles,"Syringe with needle, sterile, 1 cc or less, each",$34
2,A4209,Needles,"Syringe with needle, sterile 5 cc or greater, each ",$25-$41
3,A4210,Needles,"Needle-free injection device, each",$3
4,A4211,Other Supplies,Supplies for self-administered injections,$3-$78
5,A4212,Needles,Non-coring needle or stylet with or without catheter,$24-$138
6,A4213,Needles,"Syringe, sterile, 20 cc or greater, each ",$27-$40
7,A4215,Needles,"Needle, sterile, any size, each ",$3-$839
8,A4221,Catheter,"Supplies for maintenance of non-insulin drug infusion catheter, per week ",$22
9,A4222,Other Supplies,"Infusion supplies for external drug infusion pump, per cassette or bag",$18-$22
10,A4253,Blood Glucose Supplies,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",$37-$178
11,A4256,Other Supplies,"Normal, low and high calibrator solution / chips ",$21
12,A4258,Other Supplies,"Spring-powered device for lancet, each ",$69-$99
13,A4259,Other Supplies,"Lancets, per box of 100 ",$36-$40
14,A4270,Disposables,"Disposable endoscope sheath, each",$319
15,A4301,Implantables/ Stents/ Pacemakers,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.) ",$105-$270
16,A4310,Skin Substitutes,Insertion tray without drainage bag and without catheter (accessories only) ,$9-$25
17,A4311,Catheter,"Incontinence insertion tray, without drainage bag, with catheter",$7-$235
18,A4314,Catheter,"Incontinence insertion tray, with drainage bag, with catheter",$38-$80
19,A4315,Skin Substitutes,"Insertion tray with drainage bag with indwelling catheter, foley type, 2-way, all silicone ",$25-$327
20,A4322,Other Supplies,"Irrigation syringe, bulb or piston, each ",$3
21,A4326,Catheter,"Male external catheter with integral collection chamber, any type, each ",$3-$13
22,A4330,Other Supplies,"Perianal fecal collection pouch with adhesive, each ",$12-$525
23,A4331,Tubing,"Extension Drainage Tubing, any type, any length, each",$3-$38
24,A4333,Catheter,"Urinary catheter anchoring device, each",$3-$12
25,A4335,Other Supplies,Incontinence supply; miscellaneous,$3-$338
26,A4338,Catheter,"Indwelling catheter, foley type, two-way latex with coating, each ",$13-$88
27,A4340,Catheter,"Indwelling catheter, specialty type, each",$5-$1944
28,A4344,Catheter,"Indwelling catheter, foley type, 2-way, silicone, each",$13-$115
29,A4346,Catheter,"Indwelling catheter, foley type, 3-way for continuous irrigation, each",$18-$222
30,A4351,Catheter,"Intermittent urinary catheter; straight tip, with or without coating, each ",$3-$65
31,A4352,Catheter,"Intermittent urinary catheter; coude (curved) tip, with or without coating, each ",$14
32,A4353,Catheter,"Urinary catheter, Intermittent, with insertion supplies",$136
33,A4356,Other Supplies,"External urethral clamp or compression device (not to be used for catheter clamp), each ",$65-$68
34,A4357,Other Supplies,"Bedside drainage bag, each",$3-$338
35,A4358,Catheter,"Urinary drainage bag, leg or abdomen, each ",$3-$62
36,A4362,Dressings/Foams,"Skin barrier; solid, 4 x 4 or equivalent; each ",$3
37,A4363,Other Supplies,"Ostomy clamp, any type, replacement only, each",$3
38,A4364,Ostomy Supplies,"Ostomy Supplies- adhesive, liquid or equal",$65-$75
39,A4367,Ostomy Supplies,"Ostomy belt, each ",$9-$35
40,A4369,Ostomy Supplies,"Ostomy skin barrier, liquid, per oz ",$24
41,A4385,Ostomy Supplies,"Ostomy skin barrier, solid 4 x 4 or equivalent, each",$9
42,A4388,Ostomy Supplies,"Ostomy pouch, drainable, with extended wear barrier attached, each ",$45
43,A4389,Ostomy Supplies,"Ostomy pouch, drainable, with barrier attached, with built-in convexity, each",$15
44,A4391,Ostomy Supplies,"Ostomy pouch, urinary, with extended wear barrier attached, each",$15
45,A4393,Ostomy Supplies,"Ostomy pouch, urinary, each ",$8-$65
46,A4397,Other Supplies,"Irrigation supply; sleeve, each ",$3-$8
47,A4400,Other Supplies,Ostomy irrigation set ,$33
48,A4407,Ostomy Supplies,"Ostomy skin barrier, with flange, with built-in convexity, 4 x 4 inches or smaller, each",$11-$63
49,A4409,Ostomy Supplies,"Ostomy skin barrier, with flange, without built-in convexity, 4 x 4 inches or smaller, each ",$3-$41
50,A4414,Ostomy Supplies,"Ostomy skin barrier, with flange, without built-in convexity, 4 x 4 inches or smaller, each",$3-$38
51,A4415,Ostomy Supplies,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each",$43
52,A4416,Ostomy Supplies,"Ostomy pouch, closed, with barrier attached, with filter, each",$3
53,A4421,Ostomy Supplies,"Ostomy supplies, miscellaneous",$3-$51
54,A4425,Ostomy Supplies,"Ostomy pouch, drainable with filter, each",$53
55,A4432,Ostomy Supplies,"Ostomy pouch, urinary, for use on barrier with non-locking flange, with faucet-type tap with valve, each ",$36
56,A4450,Other Supplies,"Tape, non-waterproof, per 18 sq in",$3-$53
57,A4452,Other Supplies,"Tape, waterproof, per 18 sq in",$18
58,A4461,Dressings/Foams,"Surgical dressing holder, non-reusable, each ",$3-$7
59,A4463,Dressings/Foams,"Surgical dressing holder, reusable, each",$32-$141
60,A4465,Orthotic and Prosthetic Devices,Non-elastic binder for extremity,$23-$24
61,A4481,Tracheostomy Supplies,"Tracheostoma filter, any type, any size, each ",$131
62,A4490,Compression Stockings and Boots,"Surgical stockings above knee length, each",$9-$19
63,A4495,Compression Stockings and Boots,"Surgical stockings thigh length, each",$11-$107
64,A4500,Compression Stockings and Boots,"Surgical stockings below knee length, each",$9
65,A4520,Other Supplies,"Incontinence garment, any type, each",$3-$22
66,A4550,Skin Substitutes,Surgical trays,$14-$4425
67,A4554,Disposables,"Disposable underpads, all sizes ",$3-$31
68,A4556,Other Supplies,"Electrodes, (e.g., apnea monitor), per pair ",$31
69,A4562,Other Supplies,"Pessary, non rubber, any type",$97-$138
70,A4565,Orthotic and Prosthetic Devices,Slings ,$35-$60
71,A4570,Orthotic and Prosthetic Devices,Splint ,$16-$131
72,A4615,Other Supplies,"Cannula, nasal",$3-$52
73,A4623,Tracheostomy Supplies,"Tracheostomy, inner cannula",$11-$34
74,A4624,Catheter,"Tracheal suction catheter, each",$3-$12
75,A4625,Tracheostomy Supplies,Tracheostomy care kit for new tracheostomy,$7
76,A4637,Other Supplies,"Replacement, tip, cane, crutch, walker, each",$17-$38
77,A4648,Radiology Supplies,"Tissue Market, implantable, any type, each",$50-$1900
78,A4649,Skin Substitutes,Surgical supplies,$3-$13425
79,A5061,Ostomy Supplies,"Ostomy pouch, drainable,with barrier attached, each",$3-$29
80,A5062,Ostomy Supplies,"Ostomy pouch, drainable; without barrier attached (1 piece), each ",$41
81,A5063,Ostomy Supplies,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",$24
82,A5071,Ostomy Supplies,"Ostomy pouch, urinary; with barrier attached (1 piece), each",$3-$138
83,A5072,Ostomy Supplies,"Ostomy pouch, urinary; without barrier attached (1 piece), each ",$16
84,A5093,Ostomy Supplies,Ostomy accessory; convex insert  ,$13-$15
85,A5102,Other Supplies,"Bedside drainage bottle with or without tubing, rigid or expandable, each",$288
86,A5120,Dressings/Foams,"Skin barrier, wipes or swabs, each",$35-$59
87,A5126,Dressings/Foams,"Disk or foam pad, adhesive or non-adhesive",$38
88,A6022,Dressings/Foams,"Wound Care Collagen dressing, sterile, size 16 sq in to 48 sq in, each ",$36-$65
89,A6025,Wound Care Supplies,"Gel sheet for dermal or epidermal application, each ",$56-$120
90,A6154,Wound Care Supplies,"Wound Care pouch, each",$23-$485
91,A6196,Dressings/Foams,"Wound Care Alginate or other fiber gelling dressing, sterile, pad size 16 sq in or less, each  ",$8-$384
92,A6197,Dressings/Foams,"Wound Care Alginate or other fiber gelling dressing, sterile, pad size 16 sq in to 48 sq in, each ",$26-$139
93,A6198,Dressings/Foams,"Wound Care Alginate or other fiber gelling dressing, sterile, pad size more than 48 sq in, each ",$19-$38
94,A6199,Dressings/Foams,"Wound Care Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches",$16-$32
95,A6203,Dressings/Foams,Composite Dressings,$3-$15
96,A6204,Dressings/Foams,"Wound Care Composite dressing, sterile, pad size 16 sq in  to 48 sq in, with any size adhesive, each ",$3-$18
97,A6205,Dressings/Foams,"Wound Care Composite dressing, sterile, pad size more than 48 sq in, with adhesive, each",$3-$53
98,A6206,Wound Care Supplies,"Wound Care Contact layer, sterile, 16 sq in or less, each",$17-$138
99,A6207,Wound Care Supplies,"Contact layer, sterile, 16 sq in to 48 sq in, each",$32-$137
100,A6208,Wound Care Supplies,"Wound Care Contact layer, sterile, more than 48 sq in, each ",$61-$192
101,A6209,Dressings/Foams,Foam Dressings,$9-$46
102,A6210,Dressings/Foams,"Wound Care Foam Dressing, sterile, pad size 16 sq in to 48 sq in, without adhesive, each ",$18-$71
103,A6211,Dressings/Foams,"Wound Care Foam Dressing, wound cover without adhesive borders, pad size more than 48 sq in, each dressing",$46-$90
104,A6212,Dressings/Foams,"Wound Care Foam Dressing, wound cover with adhesive borders, pad size less than 16 sq in, each dressing",$10-$138
105,A6213,Dressings/Foams,"Wound Care Foam Dressing, wound cover, pad more than 16 sq in to 48 sq in, with adhesive borders, each",$15-$24
106,A6214,Dressings/Foams,"Wound Care Foam Dressing, wound cover with adhesive borders, pad size more than 48 sq in, each dressing",$22-$38
107,A6216,Wound Care Supplies,"Wound Care Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each",$3-$13
108,A6223,Dressings/Foams,Wound Care Gauze Dressings,$3
109,A6229,Wound Care Supplies,"Wound Care Gauze, impregnated, water or normal saline, sterile, pad size 16 sq to 48 sq in, without adhesive, each ",$42
