"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
List ID,Revenue Code Description,CPT Code,Procedure Name,Unit Charge
1,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,BLANK,HC PRIVATE ROOM,"$1,856"
2,INTENSIVE CARE UNIT - GENERAL CLASSIFICATION,BLANK,HC RECOVERY ROOM - OVERNIGHT,"$5,323"
3,INTENSIVE CARE UNIT - MEDICAL,BLANK,HC INTENSIVE CARE,"$5,323"
4,INTENSIVE CARE UNIT - PEDIATRIC,BLANK,HC INTENSIVE CARE PEDI,"$5,259"
5,INTENSIVE CARE UNIT - INTERMEDIATE ICU,BLANK,HC INTERMEDIATE CARE,"$2,406"
6,IV THERAPY - GENERAL CLASSIFICATION,96360,Hydration infusion into a vein 31 minutes to 1 hour,$605
7,IV THERAPY - GENERAL CLASSIFICATION,96361,Hydration infusion into a vein,$82
8,IV THERAPY - GENERAL CLASSIFICATION,96365,"Infusion into a vein for therapy, prevention, or diagnosis up to 1 hour",$605
9,IV THERAPY - GENERAL CLASSIFICATION,96366,"Infusion into a vein for therapy, prevention, or diagnosis",$82
10,IV THERAPY - GENERAL CLASSIFICATION,96367,Infusion into a vein for therapy prevention or diagnosis additional sequential infusion up to 1 hour,$325
11,IV THERAPY - GENERAL CLASSIFICATION,96368,"Infusion into a vein for therapy, prevention, or diagnosis, concurrent with another infusion",$598
12,IV THERAPY - GENERAL CLASSIFICATION,96372,"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",$203
13,IV THERAPY - GENERAL CLASSIFICATION,96374,"Injection of drug or substance into a vein for therapy, diagnosis, or prevention",$269
14,IV THERAPY - GENERAL CLASSIFICATION,96375,"Injection of different drug or substance into a vein for therapy, diagnosis, or prevention",$269
15,IV THERAPY - GENERAL CLASSIFICATION,96376,"Injection of drug or substance into a vein for therapy, diagnosis, or prevention, in a facility",$269
16,IV THERAPY - GENERAL CLASSIFICATION,96377,Application of on-body injector for injection under skin,$224
17,IV THERAPY - GENERAL CLASSIFICATION,C8957,"Prolonged iv inf, req pump",$609
18,LABORATORY - GENERAL CLASSIFICATION,36415,Insertion of needle into vein for collection of blood sample,$45
19,LABORATORY - GENERAL CLASSIFICATION,80061,"Blood test, lipids (cholesterol and triglycerides)",$224
20,LABORATORY - GENERAL CLASSIFICATION,80150,Amikacin (antibiotic) level,$257
21,LABORATORY - GENERAL CLASSIFICATION,80156,Carbamazepine level,$178
22,LABORATORY - GENERAL CLASSIFICATION,80158,Cyclosporine level,$86
23,LABORATORY - GENERAL CLASSIFICATION,80162,Digoxin level,$57
24,LABORATORY - GENERAL CLASSIFICATION,80164,Valproic acid level,$106
25,LABORATORY - GENERAL CLASSIFICATION,80165,Valproic acid level,$27
26,LABORATORY - GENERAL CLASSIFICATION,80170,Gentamicin (antibiotic) level,$82
27,LABORATORY - GENERAL CLASSIFICATION,80171,Gabapentin level,$50
28,LABORATORY - GENERAL CLASSIFICATION,80175,Lamotrigine level,$46
