"The University of Texas MD Anderson Cancer Center
Pharmacy Charge List",,,,
The pharmacy list below reflects the average charge per date of service from May 2018 to October 2018 is are subject to change.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
List ID,IP/OP,Revenue Code,Revenue Code Description,Average Charges per Date of Service
1,IP,250,PHARMACY - GENERAL CLASSIFICATION,$81
2,,251,PHARMACY - GENERIC DRUGS,$112
3,,252,PHARMACY - NON-GENERIC DRUGS,$426
4,,258,PHARMACY - IV SOLUTIONS,$89
5,,637,PHARMACY - EXTENSION OF 025X - SELF-ADMINISTRABLE DRUGS,$313
6,OP,250,PHARMACY - GENERAL CLASSIFICATION,$10
7,,251,PHARMACY - GENERIC DRUGS,$16
8,,252,PHARMACY - NON-GENERIC DRUGS,$704
9,,258,PHARMACY - IV SOLUTIONS,$111
10,,637,PHARMACY - EXTENSION OF 025X - SELF-ADMINISTRABLE DRUGS,$290
11,0636,, PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING ,
12,IP/OP,HCPCS Code,HCPCS Code Description,Average Charges per Date of Service
13,IP,C9024,DAUNORUBICIN-CYTARABINE LIPOSOMAL INJECTION 2.2 MG-5 MG/ML,"$45,585"
