UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 12/28/2018,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
(CR) CRISTA 7F 1-3-1 20 POLE ,EACH,"2,435.00"
(CS) AUTO ID D-CURVE ,EACH,"1,370.00"
(CS) AUTO ID F-CURVE ,EACH,"1,370.00"
(CS) ORTH 7F D CURVE ORTH 115C ,EACH,"2,050.00"
(HALO) 7F 2-8-2 SPACING CATH ,EACH,"2,390.00"
(HALO) XP TRICUSPID W/ AUTO ID ,EACH,"3,610.00"
(RA) 6F HEX 250MM FIXED CORE ,EACH,490.00
(RV) 6F QUAD DR CATHETER ,EACH,870.00
.004 X130CM SPARTA/CORE 14 WIR ,EACH,250.00
.014X150CM ASAHI EXT WIRE ,EACH,280.00
.014X180CM RUNTHROUGH NS WIRE ,EACH,315.00
.014X182CM MAILMAN WIRE ,EACH,250.00
.014X182CM PT GRAPHIX WIRE ,EACH,250.00
.014X185CM IQ GUIDE WIRE ,EACH,250.00
.014X185CM IQ MARKER GUIDE WIR ,EACH,250.00
.014X300CM (2.25MM-3.5MM) FILT ,EACH,"3,845.00"
.014X300CM IQ GUIDE WIRE ,EACH,250.00
.014X300CM IQ MARKER WIRE ,EACH,330.00
.014X300CM PT GRAPHIX WIRE ,EACH,250.00
.014X300CM PT2 GUIDE WIRE ,EACH,330.00
.014X300CM SPARTA/CORE 14 WIRE ,EACH,250.00
.015 X15CM STR WIRE ,EACH,40.00
.018 SOFT INTERLOCK EMBOLIZATION COIL ,EACH,"1,025.00"
.018 TRANSIT CATHETER ,EACH,"1,225.00"
.018 X 260CM ANGLED WIRE ,EACH,230.00
.018 X 260CM JAG GUIDE WIRE ,EACH,355.00
.018 X 260CM PLATINUM PLUS WIR ,EACH,315.00
.018 X 300CM THRUWAY WIRE ,EACH,335.00
.018 X 4CMX 2MM TORNADO EMB CO ,EACH,240.00
.018 X 60CM COPE NT WIRE ,EACH,105.00
.018 X145CM J WIRE ,EACH,50.00
.018 X150CM ANG SHAPE TIP WIRE ,EACH,180.00
.018 X150CM ANGLED WIRE ,EACH,170.00
.018 X180CM ANGLED WIRE ,EACH,175.00
.018 X180CM STR GLIDEWIRE ,EACH,175.00
.018 X5CMX 2MM TORNADO EMB COI ,EACH,240.00
.018X180CM DBL ANG WIRE GT ,EACH,540.00
.018X300CM STEEL/CORE 18 LT WI ,EACH,250.00
.018X300CM STEEL/CORE 18 WIRE ,EACH,250.00
.018X3MMX10CM AZUR HYDOCOIL ,EACH,"2,075.00"
.018X3MMX5CM AZUR HYDOCOIL ,EACH,"1,955.00"
.018X40CM WIRE ,EACH,105.00
.021 X 260CM J WIRE ,EACH,70.00
.021 X 80CM J WIRE ,EACH,90.00
.021 X145CM STR WIRE ,EACH,40.00
.025 X 260CM J EXCH WIRE (AES) ,EACH,90.00
.025 X145CM STR WIRE ,EACH,40.00
.025 X150CM ANGLED GLIDEWIRE ,EACH,135.00
.025X145CM 5MM RAD TIP DEFL WI ,EACH,155.00
.025X80CM 5MM RADIUS TIP DEFL ,EACH,155.00
.032 X145 3 BH WIRE ,EACH,40.00
.032 X180CM J WIRE (AES) ,EACH,80.00
.035 X 260CM AMPLATZ SS STR WI ,EACH,145.00
.035 X 260CM ANGLED GLIDEWIRE ,EACH,155.00
.035 X 260CM J EXCH WIRE ,EACH,50.00
.035 X 260CM J EXCH WIRE (AES) ,EACH,90.00
.035 X 300CM AMPL GUIDE WIRE ,EACH,150.00
.035 X 300CM AMPL NOODLE WIRE ,EACH,150.00
.035 X135CM QUICK CROSS CATH ,EACH,500.00
.035 X145CM 10MM RAD TIP DEFL ,EACH,180.00
.035 X145CM ST SUPER STIFF WIR ,EACH,100.00
.035 X175CM WHOLEY HTF WIRE ,EACH,310.00
.035 X180CM ANGLED GLIDEWIRE ,EACH,135.00
.035X145CM 5MM RADIUS TIP DEFL ,EACH,155.00
.035X150CM ANG GLIDEWIRE ,EACH,90.00
.035X260CM AMPLATZ SS STRAI ,EACH,145.00
.035X260CM STR EXCH WIRE (AES- ,EACH,240.00
.035X300CM LUNDERQ XTRA STIFF ,EACH,270.00
.035X300CM SUPRACORE 35 WIRE ,EACH,250.00
.038X 260CM J EXCH WIRE ,EACH,105.00
.038X 260CM J EXCH WIRE (AES) ,EACH,105.00
.038X 3CMX 3MM EMB COIL ,EACH,230.00
.038X 3CMX 4MM EMB COIL ,EACH,220.00
.038X 4CMX 3MM EMB COIL ,EACH,145.00
