MS-DRG Code,MS-DRG Description,Average of Total Charge Amount,
795,NORMAL NEWBORN," $5,850 ",
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," $16,870 ",
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," $95,300 ",
794,NEONATE W OTHER SIGNIFICANT PROBLEMS," $10,510 ",
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)," $72,090 ",
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC," $68,510 ",
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES," $27,110 ",
885,PSYCHOSES," $30,390 ",
101,SEIZURES W/O MCC," $30,010 ",
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," $42,300 ",
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC," $95,720 ",
765,CESAREAN SECTION W CC/MCC," $54,440 ",
603,CELLULITIS W/O MCC," $26,360 ",
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC," $279,970 ",
766,CESAREAN SECTION W/O CC/MCC," $37,950 ",
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC," $54,540 ",
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC," $99,680 ",
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"," $31,550 ",
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," $36,670 ",
203,BRONCHITIS & ASTHMA W/O CC/MCC," $19,920 ",
812,RED BLOOD CELL DISORDERS W/O MCC," $32,960 ",
552,MEDICAL BACK PROBLEMS W/O MCC," $39,560 ",
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"," $56,460 ",
683,RENAL FAILURE W CC," $40,010 ",
378,G.I. HEMORRHAGE W CC," $51,950 ",
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," $108,630 ",
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC," $190,600 ",
189,PULMONARY EDEMA & RESPIRATORY FAILURE," $67,820 ",
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC," $67,620 ",
202,BRONCHITIS & ASTHMA W CC/MCC," $38,820 ",
793,FULL TERM NEONATE W MAJOR PROBLEMS," $73,740 ",
292,HEART FAILURE & SHOCK W CC," $54,230 ",
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC"," $116,060 ",
682,RENAL FAILURE W MCC," $69,520 ",
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC," $110,040 ",
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."," $741,000 ",
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," $57,630 ",
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC," $34,070 ",
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," $40,890 ",
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC," $29,230 ",
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," $118,370 ",
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC"," $58,000 ",
638,DIABETES W CC," $36,260 ",
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC," $28,430 ",
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C," $30,000 ",
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC"," $61,890 ",
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC"," $73,340 ",
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"," $37,140 ",
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," $114,920 ",
300,PERIPHERAL VASCULAR DISORDERS W CC," $42,420 ",
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," $24,980 ",
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS," $152,760 ",
164,MAJOR CHEST PROCEDURES W CC," $106,580 ",
639,DIABETES W/O CC/MCC," $22,620 ",
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"," $90,810 ",
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC," $35,510 ",
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"," $62,430 ",
194,SIMPLE PNEUMONIA & PLEURISY W CC," $29,880 ",
