Category,Charge Code,Charge Description,CPT/HCPCS Code," Inpatient 
Price "," Outpatient 
Price "
Other,761000875,HC FINE NEEDLE ASPIRATION,10021,$485.00 ,$485.00 
Other,761000638,HC FNA W/IMAGE,10022,$907.60 ,$907.60 
Other,761000963,HC GUIDE CATHET FLUID DRAINAGE,10030,"$1,508.15 ","$1,508.15 "
Other,761001115,HC PERQ DEV SOFT TISS 1ST IMAG,10035,"$2,472.17 ","$2,472.17 "
Other,761000002,HC ACNE SURGERY OF SKIN ABSCESS,10040,$278.85 ,$278.85 
Other,761000782,HC DRAIN SKIN ABSCESS SIMPLE,10060,"$1,133.83 ","$1,133.83 "
Other,761000783,HC DRAIN SKIN ABSCESS COMPLIC,10061,"$1,432.20 ","$1,432.20 "
Other,761000784,HC DRAIN PILONIDAL CYST SIMPL,10080,$819.72 ,$819.72 
Other,450000004,HC DRAIN PILONIDAL CYST COMPLIC,10081,"$2,343.60 ","$2,343.60 "
Other,761000785,HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPL,10120,$473.06 ,$473.06 
Other,761000786,HC DRAINAGE OF HEMATOMA/FLUID,10140,"$5,530.25 ","$5,530.25 "
Other,761000787,HC PUNCTURE DRAINAGE OF LESION,10160,$894.04 ,$894.04 
Other,761000639,HC I&D POSTOP WOUND INFECT,10180,"$2,332.75 ","$2,332.75 "
Other,761000788,"HC DEBRIDE, INFECTED SKIN, UP TO 10% BSA",11000,$987.35 ,$987.35 
Other,761000789,"HC DEBRIDE, SKIN, SUB-Q TISSUE,=<20 SQ CM",11042,"$1,433.83 ","$1,433.83 "
Other,761000790,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",11043,"$1,848.84 ","$1,848.84 "
Other,761000006,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ",11044,"$4,233.13 ","$4,233.13 "
Other,761000793,"HC TRIM HYPERKERATOTIC SKIN LESION, ONE",11055,$247.92 ,$247.92 
Other,761000008,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,2-4",11056,$271.79 ,$271.79 
Other,761000009,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,>4",11057,$329.30 ,$329.30 
Other,761000794,HC BIOPSY OF SKIN LESION,11100,$791.51 ,$791.51 
Other,761000010,"HC BIOPSY, EA ADDED LESION",11101,$436.71 ,$436.71 
Other,761000643,HC RMV SKIN TAGS UP TO 15,11200,"$1,021.53 ","$1,021.53 "
Other,761000011,"HC RMVL OF SKIN TAGS, EA ADD 10",11201,$232.73 ,$232.73 
Other,761000012,"HC SHAV SKIN LES <5MM TRUNK,ARM,LEG",11300,$487.17 ,$487.17 
Other,761000013,"HC SHAV SKIN LES 6-10MM TRUNK,ARM,LEG",11301,$729.12 ,$729.12 
Other,761000014,"HC SHAV SKIN LES 11-20MM TRUNK,ARM,LEG",11302,$801.82 ,$801.82 
Other,761000015,"HC SHAV SKIN LES >21MM TRUNK,ARM,LEG",11303,$881.56 ,$881.56 
Other,761000016,HC SHAV SKIN LES <5MM REMAINDR BODY,11305,$226.77 ,$226.77 
Other,761000017,HC SHAV SKIN LES 6-10MM REMAINDR BODY,11306,$226.77 ,$226.77 
Other,761000018,HC SHAV SKIN LES 11-20MM REMAINDR BODY,11307,$329.30 ,$329.30 
Other,761000020,"HC SHAV SKIN LES <5MM FACE,FACIAL",11310,$699.83 ,$699.83 
Other,761000021,"HC SHAV SKIN LES 6-10MM FACE,FACIAL",11311,$977.04 ,$977.04 
Other,761000022,"HC SHAV SKIN LES 11-20MM FACE,FACIAL",11312,"$1,168.00 ","$1,168.00 "
Other,761000024,"HC EXC SKIN BENIG <5MM TRUNK,ARM,LEG",11400,"$2,096.22 ","$2,096.22 "
Other,761000025,"HC EXC SKIN BENIG 0.6-1CM TRUNK,ARM,LEG",11401,"$2,727.15 ","$2,727.15 "
Other,761000026,"HC EXC SKIN BENIG 1.1-2CM TRUNK,ARM,LEG",11402,"$2,990.80 ","$2,990.80 "
Other,761000027,"HC EXC SKIN BENIG 2.1-3CM TRUNK,ARM,LEG",11403,"$3,859.35 ","$3,859.35 "
Other,761000028,"HC EXC SKIN BENIG 3.1-4CM TRUNK,ARM,LEG",11404,"$4,245.06 ","$4,245.06 "
Other,761000029,"HC EXC SKIN BENIG >4CM TRUNK,ARM,LEG",11406,"$6,402.59 ","$6,402.59 "
