Internal ID,Master Charge Description of Service,NS Charge Per Unit
80000139,HB CONTRAST MEDIA,$175.00
80000140,HB CONTRAST MEDIA HIGH DOSE,$338.00
80000141,HB NON IONIC CONTRAST 50 ML(GEN SUPPLY),$137.00
80000143,HB SINOGRAFIN 1 VIAL (GEN SUPPLY),$176.00
80000144,HB ENTERAL FEEDING LEVEL 1,$7.00
80000145,HB ORAL SUPPLEMENT-PER CAN/CARTON,$2.00
80000146,HB ENTERAL FEEDING LEVEL 2,$15.00
80000147,HB BENEPROTEIN PER PACKAGE,$2.00
80000148,HB MIGHTY SHAKE PER CARTON,$1.00
80000149,HB ENTERAL FEEDING PRODUCT PER CAN,$8.00
80000151,HB HEPARIN IV FLUSH EACH,$8.00
80000153,HB RESOURCE FRUIT BEVERAGE,$2.00
80000158,HB JEJUNAL FEEDING TUBE,$371.00
80000159,HB SCLERONEEDLE,$137.00
80000160,HB PEG/J FEEDING TUBE KIT,$445.00
80000161,"HB CATH, GOLD PROBE ELECTHEMOSTAS",$539.00
80000162,HB SNARE,$53.00
80000166,HB LITHOTRIPTOR,"$1,513.00"
80000169,HB APC PROBE & FILTER,$888.00
80000170,HB GOLD PROBE-INJECTABLE,$819.00
80000171,HB BIOPSY FORCEPS-REGULAR,$53.00
80000172,HB BIOPSY FORCEPS/MULTI-BITE,$200.00
80000173,HB BIOPSY FORCEPS-HOT,$103.00
80000174,HB SPOT TATTOOING SUPPLIES W/NEEDLE,$686.00
80000175,HB CO2 CANNULA,$38.00
80000176,HB EMERGENCY MEDICAL SUPPLIES II,$34.00
80000177,HB EMERGENCY MEDICAL SUPPLIES I,$145.00
80000178,HB PROCEDURE TRAY,$207.00
80000179,HB SNARE KIT,$445.00
80000180,HB TEMPORARY PACING WIRE,$351.00
80000182,HB SYVEK PATCHES,$195.00
80000183,HB WRENCH KIT,$160.00
80000184,HB STYLET,$148.00
80000185,HB CERVICAL RIPENING/AMNIO INFUSION SUPPLY KIT,$165.00
80000186,HB INTRAUTERINE PRESSURE MONITOR,$224.00
80000187,HB PERSONAL FIT FLANGE/CONNECTOR2,$21.00
80000188,HB BREAST PUMP MANUAL,$38.00
80000189,HB SINGLE TO DOUBLE PUMPING SETUP,$49.00
80000190,HB VACUUM ASSIST DELIVERY SUPPLIES,$226.00
80000191,HB BLOOD PRESSURE TRANSDUCER,$51.00
80000192,HB TRACH CARE SUPPLIES,$54.00
80000195,HB SNS SUPPLEMENTAL NSG SYST,$75.00
80000202,HB TITANIUM ADAPTOR,$681.00
80000203,HB CAPD CHARGE-INPT PER EXCHANGE,$166.00
80000207,HB PERFUSIONIST SUPPLIES,"$3,372.00"
80000208,HB INTRA-AORTIC BALLOON,"$1,341.00"
80000210,HB HEMOCONCENTRATOR,$300.00
80000211,HB HDR CATHETER,$778.00
80000212,HB INFLATOR,$137.00
80000213,HB MICROPUNCTURE KIT,$92.00
80000214,HB FEMOSTOP,$410.00
80000216,"HB ANGIO TRAY, BIOPSY",$109.00
80000217,"HB ANGIO TRAY, VENOUS",$243.00
80000218,"HB ANGIO TRAY, VASCULAR",$286.00
80000219,HB ANGIOPLASTY ACCESSORY KIT,$189.00
80000221,HB GASTRIC TUBE,$632.00
80000222,HB CATHETER LEVEL 5,"$8,171.00"
80000223,HB WIRE LEVEL 4,"$1,097.00"
80000225,HB OXYGEN THERAPY/DAY,$160.00
80000232,"HB CATH,DIALYSIS,TEMP (QUINTON)",$154.00
80000233,HB ELEC.BREAST PUMP RENTAL -DAILY,$59.00
80000234,HB INTERCRANIAL PRESSURE MONITOR,$337.00
80000235,HB IA BALLOON PUMP INSERT,"$3,254.00"
80000237,HB EVD INSERTION,$180.00
80000238,HB MONITORING KIT,$439.00
80000239,HB COMFORT SLING,$45.00
80000240,HB CARDIAC OUTPUT KIT,$117.00
80000241,HB LONG LEG CAST-PLASTIC,$480.00
80000242,HB LONG LEG & HEEL-PLASTIC,$183.00
80000243,HB SHORT ARM CAST-PLASTIC,$127.00
80000244,HB SHORT LEG CAST-PLASTIC,$257.00
80000245,HB SHORT LEG WALKING CAST-PLASTIC,$119.00
80000246,HB LEG ABDUCTOR PILLOWS,$113.00
80000247,HB NURSE DRAW CENTRAL LINE,$101.00
80000248,"HB HIP SPICA, PLASTER, ADULT",$624.00
80000249,HB HIP SPICA-CHILD,$237.00
80000250,"HB HIP SPICA,YOUTH",$270.00
80000251,HB INFANT CAST,$21.00
80000252,"HB LONG ARM PLASTER CAST, ADULT",$95.00
80000253,HB LONG LEG WALKING CAST,$181.00
80000254,HB SHORT LEG WALKING CAST,$119.00
80000255,HB DRESSING CHANGE,$26.00
80000256,HB BUCKS BOOT,$361.00
80000257,HB CAST SHOE,$80.00
80000258,HB CPM DEVICE-PER DAY,$70.00
80000259,HB CPM DEVICE-PATIENT KIT,$70.00
80000260,"HB PELVIC TRACTION FRAME,FOOTBOARD",$35.00
80000261,HB ABDUCTION CUSH W/COVER&STRAPS,$122.00
80000262,"HB FRACTURE FRAME,TRACTION LEVEL3",$90.00
80000263,HB SHOULDER ABDUCTION IMMOBILIZER,$101.00
