MS-DRG,MS-DRG DESCRIPTION, Total            (All Payor) Discharges , Total                 (All Payor) Charges , Average Charge Per Discharge 
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,25,"$28,221,707 ","$1,128,868 "
2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,2,"$1,038,592 ","$519,296 "
3,ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W MAJ O.R.,187,"$122,433,999 ","$654,727 "
4,TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W/O MAJ O.R.,96,"$35,920,552 ","$374,172 "
5,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,45,"$29,832,813 ","$662,951 "
6,LIVER TRANSPLANT W/O MCC,34,"$11,700,834 ","$344,142 "
8,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,8,"$3,348,735 ","$418,592 "
10,PANCREAS TRANSPLANT,1,"$345,903 ","$345,903 "
11,TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W MCC,27,"$8,427,889 ","$312,144 "
12,TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W CC,41,"$8,931,551 ","$217,843 "
13,TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC,24,"$3,470,622 ","$144,609 "
14,ALLOGENEIC BONE MARROW TRANSPLANT,33,"$23,038,971 ","$698,151 "
16,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,65,"$20,349,594 ","$313,071 "
20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,49,"$21,050,490 ","$429,602 "
21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,5,"$1,205,166 ","$241,033 "
22,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,7,"$1,527,963 ","$218,280 "
23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,146,"$33,575,803 ","$229,971 "
24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,73,"$11,891,081 ","$162,892 "
25,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,318,"$62,642,043 ","$196,988 "
26,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,177,"$26,799,396 ","$151,409 "
27,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,261,"$32,225,766 ","$123,470 "
28,SPINAL PROCEDURES W MCC,42,"$10,262,312 ","$244,341 "
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,104,"$16,836,964 ","$161,894 "
30,SPINAL PROCEDURES W/O CC/MCC,41,"$4,479,746 ","$109,262 "
31,VENTRICULAR SHUNT PROCEDURES W MCC,21,"$3,639,216 ","$173,296 "
32,VENTRICULAR SHUNT PROCEDURES W CC,36,"$4,370,178 ","$121,394 "
33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,37,"$2,938,707 ","$79,425 "
