Procedure Description,Unit Price
HC 3d render w/intrp postproces,105
HC 4vhpv vaccine 3 dose im,290
HC 5% dextrose/water,30
HC 9vhpv vaccine 3 dose im,300
HC ABO COMMON ALLELES,95
HC ABOBOTULINUMTOXINA,20
HC ACNE SURGERY,182
HC Acoustic immitance testing,79
HC Acoustic refl threshold tst,39
HC ADENOVIRUS VACCINE TYPE 4,120
HC ADJ TISS XFER ANY AREA 30.1-60 SQCM,2927
HC ADJ TISS XFER ANY AREA EA ADD 30.0 SQCM,2927
HC ADJ TISS XFER HEAD FAC HAND <10 SQCM,1694
HC ADJ TISS XFER HEAD FAC HAND 10.1-30 SQCM,1694
HC ADJ TISS XFER LID NOS EAR <10 SQCM,1694
HC ADJ TISS XFER LID NOS EAR 10.1-30 SQCM,1694
HC ADJ TISS XFER SCALP EXTREM <10 SQCM,1694
HC ADJ TISS XFER SCALP EXTREM 10.1-30 SQCM,1694
HC ADMIN HEPATITIS B VACCINE,55
HC ADMIN INFLUENZA VIRUS VAC,55
HC ADMIN PNEUMOCOCCAL VACCINE,55
HC Adrenalin epinephrine inject,0.5
HC Afluria vacc  3 yrs & >  im,30
HC AIRWAY INHALATION TREATMENT,50
HC Albuterol comp con,10
HC Albuterol comp unit,1
HC ALBUTEROL IPRATROP NON-COMP,20
HC Albuterol non-comp con,20
HC Albuterol non-comp unit,30
HC Allergen specific ige,15
HC Allergy patch tests,14
HC Alteplase recombinant,50
HC Ambulatory bp monitoring,205
HC Aminolevulinic acid hcl top,610
HC Aminophyllin 250 mg inj,20
HC Amniocentesis diagnostic,294
HC Amniocentesis therapeutic,298
HC Amphotericin b,35
HC Ampicillin 500 mg inj,10
HC Ampicillin sodium per 1.5 gm,5
HC Anal pressure record,185
HC Anal/urinary muscle study,147
HC ANALYZE NEUROSTIM BRAIN  FIRST 1H,124
HC ANALYZE NEUROSTIM NO REPROG,113
HC ANALYZE NEUROSTIM SIMPLE/PROG,124
HC ANALYZE SP INF PUMP W/REPROG,43
HC ANALYZE SPINE INFUS PUMP,283
HC ANL SP INF PMP W/MDREPRG&FIL,283
HC ANTIBODY ABSORPTION,95
HC Antigen therapy services,5
HC Antigen therapy services,5
HC Antigen therapy services,6
HC Apheresis plasma,244
HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION,40
HC Application of finger splint,49
HC APPLICATION OF PASTE BOOT,43
HC APPLY MULTLAY COMPRS LWR LEG,191
HC Apply neurostimulator,548
HC ARC-ANTIGEN SCREENING 11-20,115
HC ASPIRATE/INJ GANGLION CYST,45
HC Assay of calcium,16
HC Assay of cpk in blood,30
HC Assay of haptoglobin quant,16
HC Assay of ige,26
HC Assay of tobramycin,9
HC Assay of urine creatinine,16
HC ASSAY PH BODY FLUID NOS,8
HC Assay test for blood fecal,45
HC Assess hlth/behave init,33
HC Atropine sulfate injection,5
HC Audiometry air & bone,60
HC AUTO BLD TYPE (SEED ACCT),500
HC Azacitidine injection,15
HC BACLOFEN 10 MG INJECTION,580
HC BACLOFEN INTRATHECAL TRIAL,160
HC Basic vestibular evaluation,205
HC BCG LIVE INTRAVESICAL VAC,300
HC BEHAV CHNG SMOKING > 10 MIN,3
HC BEHAV CHNG SMOKING 3-10 MIN,3
HC Behavior counsel obesity 15m,25
HC BENRALIZUMAB 1MG INJ,210
HC Betamethasone acet&sod phosp,15
HC Bevacizumab injection,150
HC Biofeedback peri/uro/rectal,104
HC BIOLOGIC UNCLASSIFED,0.01
HC Biopsy eyelid & lid margin,289
HC Biopsy nail unit,619
HC BIOPSY OF CERVIX,622
HC BIOPSY OF CERVIX W/SCOPE,290
HC Biopsy of external ear,497
HC Biopsy of external ear canal,1229
HC Biopsy of floor of mouth,1456
HC Biopsy of lip,193
HC Biopsy of mouth lesion,497
HC Biopsy of penis,1456
HC Biopsy of prostate,1831
HC Biopsy of salivary gland,157
HC Biopsy of salivary gland,2375
HC Biopsy of throat,2375
HC Biopsy of thyroid,619
HC Biopsy of tongue,497
HC BIOPSY OF UTERUS LINING,174
HC BIOPSY OF VAGINA,622
HC BIOPSY OF VULVA/PERINEUM,622
HC BIOPSY OF VULVA/PERINEUM,29
HC Biopsy roof of mouth,1229
HC BIOPSY SKIN ADD-ON,21
HC BIOPSY SKIN LESION,336
HC Bleomycin sulfate injection,400
HC Blood gases any combination,21
HC Blood gases w/o2 saturation,60
HC BLOOD TYPE,65
HC Bone biopsy trocar/needle,162
HC Bone biopsy trocar/needle,257
HC BONE MARROW ASPIRATION,1456
HC BONE MARROW BIOPSY,1456
HC Bortezomib injection,100
HC BREATH HYDROGEN/METHANE TEST,225
HC BREATHING CAPACITY TEST,147
HC Brief alcohol misuse counsel,25
HC Bx breast percut w/o image,189
HC BX DONE W/COLPOSCOPY ADD-ON,19
HC Bx of cervix w/scope leep,2455
HC BX/CURETT OF CERVIX W/SCOPE,290
HC CA SCREEN;PELVIC/BREAST EXAM,43
HC Caloric vstblr test w/rec,85
HC Caloric vstblr test w/rec,45
HC Canalith repositioning proc,70
HC CAPILLARY BLOOD DRAW,10
HC Cardiovascular stress test,450
HC Cardiovascular stress test,70
HC Cardiovascular stress test,190
HC CARE OF MISCARRIAGE,2455
HC Catheter for hysterography,365
HC Cauterization of cervix,314
HC Cbt 1st hour,100
