Description,Typical Charges,Average Insured Patient Responsibility
Acute  Subacute Endocarditis W Cc,"$65,624 ",$0 
Acute  Subacute Endocarditis W Mcc,"$114,021 ","$1,737 "
Acute Adjustment Reaction  Psychosocial Dysfunction,"$34,534 ",$546 
Acute Leukemia W/O Major O.R. Procedure W Cc,"$100,750 ",$0 
Acute Leukemia W/O Major O.R. Procedure W Mcc,"$274,843 ",$277 
Acute Leukemia W/O Major O.R. Procedure W/O Cc/Mcc,"$122,509 ",$96 
Acute Major Eye Infections W Cc/Mcc,"$68,602 ",$217 
Acute Major Eye Infections W/O Cc/Mcc,"$13,089 ",$619 
"Acute Myocardial Infarction, Discharged Alive W Cc","$40,581 ",$614 
"Acute Myocardial Infarction, Discharged Alive W Mcc","$90,936 ",$135 
"Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc","$39,217 ",$845 
"Acute Myocardial Infarction, Expired W Cc","$39,171 ",$440 
"Acute Myocardial Infarction, Expired W Mcc","$116,362 ",$557 
Adrenal  Pituitary Procedures W Cc/Mcc,"$172,140 ","$1,010 "
Adrenal  Pituitary Procedures W/O Cc/Mcc,"$103,739 ",$787 
Aftercare W Cc/Mcc,"$37,425 ",$517 
"Aftercare, Musculoskeletal System  Connective Tissue W Cc","$44,110 ",$524 
"Aftercare, Musculoskeletal System  Connective Tissue W Mcc","$46,736 ",$0 
"Aftercare, Musculoskeletal System  Connective Tissue W/O Cc/Mcc","$26,461 ",$0 
Aicd Generator Procedures,"$138,998 ",$218 
Aicd Lead Procedures,"$103,925 ",$117 
Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc,"$46,337 ",$278 
Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc,"$31,928 ",$460 
"Alcohol/Drug Abuse Or Dependence, Left Ama","$39,992 ",$0 
Allergic Reactions W Mcc,"$80,674 ","$4,949 "
Allergic Reactions W/O Mcc,"$33,382 ","$1,509 "
"Amputat Of Lower Limb For Endocrine,Nutrit, Metabol Dis W Cc","$109,350 ",$125 
"Amputat Of Lower Limb For Endocrine,Nutrit, Metabol Dis W Mcc","$123,072 ",$0 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W Cc,"$170,256 ",$314 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W Mcc,"$312,635 ",$149 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W/O Cc/Mcc,"$86,839 ",$13 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W Cc,"$107,210 ",$184 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W Mcc,"$204,417 ",$0 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W/O Cc/Mcc,"$88,893 ",$910 
Anal  Stomal Procedures W Cc,"$107,131 ",$734 
Anal  Stomal Procedures W Mcc,"$297,675 ",$0 
Anal  Stomal Procedures W/O Cc/Mcc,"$104,166 ",$120 
Angina Pectoris,"$38,128 ",$672 
Aortic And Heart Assist Procedures Except Pulsation Balloon W Mcc,"$348,288 ",$152 
Aortic And Heart Assist Procedures Except Pulsation Balloon W/O Mcc,"$156,716 ",$168 
Appendectomy W Complicated Principal Diag W Cc,"$97,120 ",$640 
Appendectomy W Complicated Principal Diag W Mcc,"$106,544 ",
Appendectomy W Complicated Principal Diag W/O Cc/Mcc,"$68,664 ","$1,221 "
Appendectomy W/O Complicated Principal Diag W Cc,"$69,700 ","$1,761 "
Appendectomy W/O Complicated Principal Diag W Mcc,"$253,393 ",$0 
Appendectomy W/O Complicated Principal Diag W/O Cc/Mcc,"$52,821 ","$1,536 "
Atherosclerosis W Mcc,"$90,700 ",$327 
Atherosclerosis W/O Mcc,"$27,014 ",$560 
Back  Neck Proc Exc Spinal Fusion W Cc,"$120,083 ",$587 
Back  Neck Proc Exc Spinal Fusion W Mcc Or Disc Device/Neurostim,"$167,888 ","$5,050 "
Back  Neck Proc Exc Spinal Fusion W/O Cc/Mcc,"$75,246 ","$1,194 "
Bacterial  Tuberculous Infections Of Nervous System W Cc,"$69,889 ",$972 
Bacterial  Tuberculous Infections Of Nervous System W Mcc,"$145,002 ",$0 
Bacterial  Tuberculous Infections Of Nervous System W/O Cc/Mcc,"$83,953 ",$243 
Behavioral  Developmental Disorders,"$63,110 ",$0 
Benign Prostatic Hypertrophy W/O Mcc,"$10,071 ",$0 
Bilateral Or Multiple Major Joint Procs Of Lower Extremity W Mcc,"$111,696 ",$181 
Bilateral Or Multiple Major Joint Procs Of Lower Extremity W/O Mcc,"$120,292 ","$1,210 "
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Cc,"$156,091 ",$50 
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Mcc,"$134,018 ",$484 
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W/O Cc/Mcc,"$113,476 ",$828 
Biopsies Of Musculoskeletal System  Connective Tissue W Cc,"$137,710 ",$515 
Biopsies Of Musculoskeletal System  Connective Tissue W Mcc,"$119,755 ",$0 
Biopsies Of Musculoskeletal System  Connective Tissue W/O Cc/Mcc,"$87,860 ",$500 
Bone Diseases  Arthropathies W Mcc,"$87,206 ","$2,055 "
Bone Diseases  Arthropathies W/O Mcc,"$32,332 ",$691 
"Breast Biopsy, Local Excision  Other Breast Procedures W Cc/Mcc","$49,232 ",$0 
"Breast Biopsy, Local Excision  Other Breast Procedures W/O Cc/Mcc","$112,366 ","$1,004 "
Bronchitis  Asthma W Cc/Mcc,"$34,610 ",$841 
Bronchitis  Asthma W/O Cc/Mcc,"$16,068 ","$1,110 "
"Cardiac Arrest, Unexplained W Mcc","$64,944 ",$386 
Cardiac Arrhythmia  Conduction Disorders W Cc,"$30,790 ",$477 
Cardiac Arrhythmia  Conduction Disorders W Mcc,"$57,916 ",$358 
Cardiac Arrhythmia  Conduction Disorders W/O Cc/Mcc,"$22,127 ",$538 
Cardiac Congenital  Valvular Disorders W Mcc,"$113,323 ",$157 
Cardiac Congenital  Valvular Disorders W/O Mcc,"$53,536 ",$231 
Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W Mcc,"$253,162 ",$0 
Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W/O Mcc,"$175,652 ",$223 
Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W Mcc,"$174,065 ",$542 
Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W/O Mcc,"$149,090 ",$899 
Cardiac Defibrillator Implant W/O Cardiac Cath W Mcc,"$220,121 ",$240 
Cardiac Defibrillator Implant W/O Cardiac Cath W/O Mcc,"$139,232 ",$524 
Cardiac Pacemaker Device Replacement W Mcc,"$75,489 ",$0 
Cardiac Pacemaker Device Replacement W/O Mcc,"$58,812 ",$670 
Cardiac Pacemaker Revision Except Device Replacement W Cc,"$85,400 ",$327 
Cardiac Pacemaker Revision Except Device Replacement W Mcc,"$155,797 ",($46)
Cardiac Pacemaker Revision Except Device Replacement W/O Cc/Mcc,"$52,679 ",$302 
Cardiac Valve  Oth Maj Cardiothoracic Proc W Card Cath W Cc,"$268,143 ",$201 
Cardiac Valve  Oth Maj Cardiothoracic Proc W Card Cath W Mcc,"$459,595 ",$68 
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W Cc,"$237,209 ",$611 
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W Mcc,"$371,231 ",$364 
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W/O Cc/Mcc,"$189,238 ",$249 
Carotid Artery Stent Procedure W Cc,"$95,821 ",$64 
Carotid Artery Stent Procedure W Mcc,"$158,636 ",$232 
Carotid Artery Stent Procedure W/O Cc/Mcc,"$65,082 ",$333 
Cellulitis W Mcc,"$55,917 ",$152 
Cellulitis W/O Mcc,"$23,845 ",$642 
Cervical Spinal Fusion W Cc,"$113,690 ",$726 
Cervical Spinal Fusion W Mcc,"$200,018 ",$168 
Cervical Spinal Fusion W/O Cc/Mcc,"$96,467 ",$673 
Cesarean Section W Cc/Mcc,"$40,000 ","$1,299 "
Cesarean Section W/O Cc/Mcc,"$29,619 ","$1,431 "
Chemo W Acute Leukemia As Sdx Or W High Dose Chemo Agent W Mcc,"$192,720 ","$1,185 "
Chemo W Acute Leukemia As Sdx W Cc Or High Dose Chemo Agent,"$57,960 ",$268 
Chemo W Acute Leukemia As Sdx W/O Cc/Mcc,"$54,521 ",$210 
Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Cc,"$47,055 ",$500 
Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Mcc,"$76,757 ",$386 
Chest Pain,"$25,248 ",$446 
Cholecystectomy Except By Laparoscope W/O C.D.E. W Cc,"$119,288 ",$797 
Cholecystectomy Except By Laparoscope W/O C.D.E. W Mcc,"$155,781 ",$346 
Cholecystectomy Except By Laparoscope W/O C.D.E. W/O Cc/Mcc,"$89,671 ","$1,019 "
Cholecystectomy W C.D.E. W Cc,"$113,896 ",$0 
Chronic Obstructive Pulmonary Disease W Cc,"$25,250 ",$367 
Chronic Obstructive Pulmonary Disease W Mcc,"$35,182 ",$121 
Chronic Obstructive Pulmonary Disease W/O Cc/Mcc,"$21,534 ",$571 
"Circulatory Disorders Except Ami, W Card Cath W Mcc","$123,011 ",$383 
"Circulatory Disorders Except Ami, W Card Cath W/O Mcc","$58,088 ",$776 
Cirrhosis  Alcoholic Hepatitis W Cc,"$28,235 ",$62 
Cirrhosis  Alcoholic Hepatitis W Mcc,"$99,735 ",$230 
Cirrhosis  Alcoholic Hepatitis W/O Cc/Mcc,"$15,342 ",$894 
Coagulation Disorders,"$120,549 ",$562 
Combined Anterior/Posterior Spinal Fusion W Cc,"$202,133 ",$446 
Combined Anterior/Posterior Spinal Fusion W Mcc,"$380,390 ",$545 
Combined Anterior/Posterior Spinal Fusion W/O Cc/Mcc,"$152,996 ",$705 
Complicated Peptic Ulcer W Cc,"$33,125 ",$154 
Complicated Peptic Ulcer W Mcc,"$80,935 ",$33 
Complicated Peptic Ulcer W/O Cc/Mcc,"$26,875 ",$744 
Complications Of Treatment W Cc,"$45,417 ",$451 
Complications Of Treatment W Mcc,"$75,537 ",$557 
Complications Of Treatment W/O Cc/Mcc,"$31,279 ",$273 
Concussion W Cc,"$33,961 ",$0 
Concussion W Mcc,"$34,681 ",$0 
Concussion W/O Cc/Mcc,"$6,384 ",$766 
Connective Tissue Disorders W Cc,"$59,262 ",$829 
Connective Tissue Disorders W Mcc,"$121,930 ",$447 
Connective Tissue Disorders W/O Cc/Mcc,"$31,332 ",$801 
Coronary Bypass W Cardiac Cath W Mcc,"$335,297 ",$327 
Coronary Bypass W Cardiac Cath W/O Mcc,"$257,022 ",$495 
Coronary Bypass W Ptca W Mcc,"$387,209 ",$403 
Coronary Bypass W Ptca W/O Mcc,"$314,082 ","$1,793 "
Coronary Bypass W/O Cardiac Cath W Mcc,"$312,893 ",$249 
Coronary Bypass W/O Cardiac Cath W/O Mcc,"$220,806 ",$184 
Cranial  Peripheral Nerve Disorders W Mcc,"$64,709 ",$356 
Cranial  Peripheral Nerve Disorders W/O Mcc,"$44,983 ",$562 
Cranial/Facial Procedures W Cc/Mcc,"$150,623 ","$1,167 "
Cranial/Facial Procedures W/O Cc/Mcc,"$95,822 ",$691 
Cranio W Major Dev Impl/Acute Complex Cns Pdx W/O Mcc,"$160,362 ",$744 
Craniotomy  Endovascular Intracranial Procedures W Cc,"$140,173 ",$438 
Craniotomy  Endovascular Intracranial Procedures W Mcc,"$191,249 ",$465 
Craniotomy  Endovascular Intracranial Procedures W/O Cc/Mcc,"$127,959 ",$662 
Craniotomy For Multiple Significant Trauma,"$394,898 ",$308 
Craniotomy W Major Device Implant Or Acute Cns Pdx W Mcc Or Chemotherapy Implant Or Epilepsy W Neurostimulator,"$220,026 ",$998 
"Dc, Conization, Laparoscopy  Tubal Interruption W Cc/Mcc","$61,501 ",$687 
