"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
List ID,CPT Code,Procedure Description,Unit Charge,
1,1996,"PR DAILY MGMT,EPIDUR/SUBARACH CONT DRUG ADM",$254.00,
2,10021,PR FINE NEEDLE ASP;W/O IMAGING GUIDANCE,$303.00,
3,10022,PR FINE NEEDLE ASP;W/IMAGING GUIDANCE,$414.00,
4,10030,PR IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,"$1,269.00",
5,10035,PR PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,$868.11,
6,10036,PR PERQ SFT TISS LOC DEVICE PLMT ADD LES W/GDNCE,$372.00,
7,10040,PR ACNE SURGERY OF SKIN ABSCESS,$282.48,
8,10060,PR DRAIN SKIN ABSCESS SIMPLE,$324.00,
9,10061,PR DRAIN SKIN ABSCESS COMPLIC,$652.00,
10,10120,PR REMOVE FOREIGN BODY SIMPLE,$488.00,
11,10121,PR REMOVE FOREIGN BODY COMPLIC,$825.00,
12,10140,PR DRAINAGE OF HEMATOMA/FLUID,$528.00,
13,10160,PR PUNCTURE DRAINAGE OF LESION,$457.71,
14,10180,"PR COMPLEX DRAINAGE, WOUND","$1,074.00",
15,11000,"PR DEBRIDEMENT, INFECTED SKIN, UP TO 10% BSA",$241.00,
16,11004,"PR DEBRIDE NECROTIC SKIN/ TISSUE, GENIT & PERINM","$4,116.00",
17,11005,"PR DEBRIDE NECROTIC SKIN/ TISSUE, ABD WALL","$5,490.00",
