Procedure ID,Description,Amount
49,IMPLANT GOLD EYELID 1.0G,693.00
208,MESH MARLEX PLUG XLG    ,535.50
271,PLATE 1/3 TUBULAR 10 HOL,164.05
389,FIBULA SEGMENT 4CM SHORT,1244.25
499,PIN TENSION BAND 50MM   ,551.25
500,PIN TENSION BAND 70MM   ,551.25
501,PIN TENSION BAND 90MM   ,551.25
519,SCREW 5X175MM SELF-DRILL,421.85
614,MESH KUGEL SMALL CIRCLE ,1461.60
618,PRO OSTEON 500 BLOCK 10C,4095.00
642,VALVE SPETZLER L-P MED I,1833.30
645,PRO OSTEON 500 BLOCK 4CC,2173.50
656,POWDER/ALLOGROW 30CC    ,1716.75
2494,EAR TUBE PAPARELLA TYPE ,39.72
2660,INTERCEED 3X4" ABSORB AD,597.01
5003,MESH KUGEL MEDIUM OVAL  ,1581.30
5008,PLATE LC-DCP 3.5 8HOLE  ,372.05
5201,PLATE T 1.5X40MM 3HD/8SH,574.18
5202,PLATE T TI 1.5X40 4HD/8S,550.75
5229,PLATE DCP TI 2X36MM LC 6,653.28
5409,PROTECTIVE CAP FOR 11.0M,3.44
6284,EAR PROSTH SHEA TORP HA ,749.75
11025,K-WIRE 1.6X150MM TROCAR ,22.85
11030,K-WIRE PLAIN DBL END 4"X,24.70
11105,SCREW CANNULATED HIP 70M,460.15
11171,PLATE T 4-HOLE 84MM     ,571.25
12200,TUBE VENT ARMSTONG BEVEL,62.69
12430,WASHER                  ,51.44
15060,SCREW CORTICAL 202.020  ,43.19
16578,ARCH BAR                ,94.50
18513,TUBE GOODE-T 1.1X12MM   ,178.54
19265,PLATE 3.5MM 5-HOLE      ,328.10
20707,ANCHOR G-2 QUICK ANCHOR ,989.10
20847,ANCHOR SUPER-QUICK 2.9MM,960.75
22382,RING ANNULOPLASTY #32   ,7207.20
23811,SCREW INTERFERENCE ARTHR,299.25
23815,SCREW INTERFERENCE      ,269.33
24506,SCREW ARTHREX AR-1381   ,299.25
31148,4.0MM ADJUSTABLE CLAMP  ,2185.41
31160,DURAGEN 2X2"            ,924.62
31204,STENT WO GUIDEWIRE 6X28 ,388.08
31207,STENT WO GUIDEWIRE 6X26 ,388.08
31369,EAR PROSTH PEG TOP TOTAL,695.52
31372,EAR TUBE SHEEHY ACTIVENT,169.94
31489,TIBIA SHAFT 1/2 SPLIT 20,1260.00
31513,RIGIDFIX PIN            ,929.25
31699,ALLOMATRIX 20CC         ,6605.55
31702,MESH COMPOSIX 6X8       ,2365.65
31704,MESH COMPOSIX E/X 8X10  ,3902.85
31705,MESH COMPOSIX E/X 10X14 ,5188.05
35841,GRAFT GORTEX TW 6MMX70CM,2104.20
36259,GRAFT HEMASHIELD BIF 14X,1939.39
36983,EAR PROSTH CAP TORP HAPE,1327.38
38556,EAR PROSTH CAP PORP HAPE,1327.38
38570,TUBE EAR SHEEHY W/O WIRE,31.37
