Entity,Service Description,Price
BHM,17 hydroxyprogesterone,$39.00 
BHM,1st ord cath abd pelv ex 1st,"$2,380.00 "
BHM,1st ord cath thoracic/brachioc,"$2,228.00 "
BHM,1st ord cath venous brachial/r,"$2,265.00 "
BHM,24 hour pH study,"$1,869.00 "
BHM,2D ECHO doppler complete,"$5,036.00 "
BHM,2D ECHO doppler complete w con,"$5,036.00 "
BHM,2D ECHO only,"$2,736.00 "
BHM,2D ECHO only fu ltd,"$1,043.00 "
BHM,2D ECHO only fu ltd w con,"$1,043.00 "
BHM,2D ECHO only w con,"$2,764.00 "
BHM,2nd ord cath venous,"$1,865.00 "
BHM,2nd ord initial abdomen/pelvis,"$1,969.00 "
BHM,2nd ord initial thoracic/brac,"$1,991.00 "
BHM,2nd-3rd ord addl abd-pelvis-e,"$1,500.00 "
BHM,2nd-3rd ord addl thoracic-bra,"$1,700.00 "
BHM,3D tx plan w dose-vol histogm,"$5,627.00 "
BHM,3rd ord initial abdomen/pelvis,"$1,613.00 "
BHM,3rd ord initial thoracic/brach,"$1,678.00 "
BHM,48 hr pH study bravo,"$2,473.00 "
BHM,5-HIAA screen-urine,$22.00 
BHM,5-HIAA-urine (quantitative),$22.00 
BHM,5-nucleotidase,$24.00 
BHM,A line insertion,"$1,505.00 "
BHM,A. baumannii PCR ID,$50.00 
BHM,AAA - carotid - ABI screen,$99.00 
BHM,AAA ultrasound screen exam,$550.00 
BHM,Abacavir sulfate 300mg tab,$18.00 
BHM,Abatacept 10mg inj,$461.00 
BHM,Abciximab 10mg inj,"$10,394.00 "
BHM,Abd angio CT w wo con,"$2,949.00 "
BHM,Abd angio CT w wo con UC,"$2,949.00 "
BHM,Abd aorta runoff CTA w wo c UC,"$3,321.00 "
BHM,Abd aorta runoff CTA w wo con,"$3,107.00 "
BHM,Abd aorta runoff CTA w wo con,"$3,321.00 "
BHM,Abd CT w con,"$4,154.00 "
BHM,Abd CT w con UC,"$4,154.00 "
BHM,Abd CT w wo con,"$4,908.00 "
BHM,Abd CT w wo con UC,"$4,908.00 "
BHM,Abd CT wo con,"$3,972.00 "
BHM,Abd CT wo con UC,"$3,972.00 "
BHM,Abd MRA w con,"$4,264.00 "
BHM,Abd MRA w wo con,"$5,113.00 "
BHM,Abd MRA wo con,"$3,408.00 "
BHM,Abd MRI w con,"$4,615.00 "
BHM,Abd MRI w wo con,"$4,919.00 "
BHM,Abd MRI wo con,"$4,471.00 "
BHM,Abd MRI wo con ltd,"$4,471.00 "
BHM,Abd pelv CTA scan wwo con,"$7,361.00 "
BHM,Abd pelv CTA scan wwo con UC,"$7,361.00 "
BHM,Abd pelvis CT scans w con,"$7,415.00 "
BHM,Abd pelvis CT scans w con UC,"$7,415.00 "
BHM,Abd pelvis CT scans wo con,"$6,883.00 "
BHM,Abd pelvis CT scans wo con UC,"$6,883.00 "
BHM,Abd pelvis CT scans wwo con,"$8,667.00 "
BHM,Abd pelvis CT scans wwo con UC,"$8,667.00 "
BHM,Abdomen 1 view XR,$706.00 
BHM,Abdomen 1 view XR UC,$706.00 
BHM,Abdomen 2 view XR,$785.00 
BHM,Abdomen 2 view XR UC,$785.00 
