Facility,CC,CC Description,1/1/19 Fee
OSHKOSH,10000002,ROOM CHARGE MED SURG,"1,110.00"
OSHKOSH,10000003,ROOM CHARGE WOMEN'S HEALTH,"1,110.00"
OSHKOSH,10000004,ROOM CHARGE PEDIATRICS,"1,110.00"
OSHKOSH,10000005,ROOM CHARGE NURSERY LEVEL 1,"1,370.00"
OSHKOSH,10000006,ROOM CHARGE NURSERY LEVEL 2,"1,670.00"
OSHKOSH,10000007,ROOM CHARGE NURSERY LEVEL 3,"2,230.00"
OSHKOSH,10000008,ROOM CHARGE ICU OR CCU,"3,140.00"
OSHKOSH,10000009,LACTATION CONSULT EXTENDED,178.00
OSHKOSH,10000010,LACTATION CONSULT LIMITED,120.00
OSHKOSH,10000013,"PHOTOTHERAPY, PER DAY",295.00
OSHKOSH,10000016,NURSING L&D PER HOUR,126.00
OSHKOSH,10000019,BREAST ASPIRATE CYST EA ADDL,285.00
OSHKOSH,10000033,ARTHROGRAM SHOULDER INJECT,700.00
OSHKOSH,10000034,ARTHROGRAM ELBOW INJECT,700.00
OSHKOSH,10000035,ARTHROGRAM WRIST INJECT,700.00
OSHKOSH,10000036,ARTHROGRAM HIP INJECT,700.00
OSHKOSH,10000037,ARTHROGRAM KNEE INJECT,700.00
OSHKOSH,10000038,ARTHROGRAM ANKLE INJECT,700.00
OSHKOSH,10000058,ENDO REPAIR TAA WO SUBCLAVIAN,"6,000.00"
OSHKOSH,10000080,SELECTIVE  CATH 1ST ORDER THORACIC,"2,240.00"
OSHKOSH,10000081,SELECTIVE CATH 2ND ORDER THORACIC,"2,240.00"
OSHKOSH,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,"2,240.00"
OSHKOSH,10000084,SELECTIVE  CATH 2&3 THORARIC ADDL,"1,120.00"
OSHKOSH,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,"1,240.00"
OSHKOSH,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,"1,240.00"
OSHKOSH,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,"1,240.00"
OSHKOSH,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,620.00
OSHKOSH,10000089,SCLEROTHERAPY SINGLE VEIN,244.00
OSHKOSH,10000090,SCLEROTHERAPY MULTIPLE VEINS,366.00
OSHKOSH,10000091,ABLATION VARICOSE VEIN LASER 1ST,"5,840.00"
OSHKOSH,10000092,CATH VENOUS BLOOD  SAMPLING,"1,120.00"
OSHKOSH,10000093,CATH UMBILICAL VEIN,524.00
OSHKOSH,10000094,INSERT CVL NON TUNNELED <5 YRS,"1,580.00"
OSHKOSH,10000095,INSERT CVL TUNNELED <5 YRS,"2,280.00"
OSHKOSH,10000096,INSERT CVL TUNNELED 5 YRS >/=,"2,280.00"
OSHKOSH,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"3,910.00"
OSHKOSH,10000102,PICC LINE INSERTION <5 YRS,"1,390.00"
OSHKOSH,10000103,PICC INSERTION,"1,650.00"
OSHKOSH,10000104,INSERT PICC W/PORT <5 YRS,"3,080.00"
OSHKOSH,10000105,INSERT PICC W/PORT 5 YRS >/=,"3,240.00"
OSHKOSH,10000106,REPAIR CVL CATH,900.00
OSHKOSH,10000107,REPAIR CVL CATH W PORT/PUMP,"1,690.00"
OSHKOSH,10000108,REPLACE CVL CATH ONLY,"3,860.00"
OSHKOSH,10000109,REPLACE CVL NON TUNNELED COMPLETE,"1,690.00"
OSHKOSH,10000110,REPLACE CVL TUNNELED COMPLETE,"3,380.00"
OSHKOSH,10000111,REPLACE CVL TUNNELED W/PORT COMPLETE,"4,360.00"
OSHKOSH,10000113,REPLACE PICC COMPLETE,"1,330.00"
OSHKOSH,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
OSHKOSH,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
OSHKOSH,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
OSHKOSH,10000118,REMOVE PERICATH OBSTRUCTIVE MATERIAL,"3,300.00"
OSHKOSH,10000119,REMOVE INTRACATH OBSTRUCTION MATERIAL,"1,650.00"
OSHKOSH,10000120,INJECT W FLUORO EVAL CENTRAL LINE,515.00
OSHKOSH,10000121,THROMBECTOMY VEIN(S),"7,110.00"
OSHKOSH,10000122,THROMBECTOMY VEIN(S) REPEAT,"7,110.00"
OSHKOSH,10000128,STENT CAROTID W/PROTECTION,"9,890.00"
OSHKOSH,10000129,PHLEBECTOMY 10-20 INCISIONS,"5,160.00"
OSHKOSH,10000130,PHLEBECTOMY >20 INCISIONS,"5,970.00"
OSHKOSH,10000131,PHLEBECTOMY <10 INCISIONS,"3,920.00"
OSHKOSH,10000134,BONE MARROW BIOPSY,840.00
OSHKOSH,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
OSHKOSH,10000142,FB REMOVAL PHARYNGEAL,215.00
OSHKOSH,10000143,PEG TUBE PLACEMENT,"2,730.00"
OSHKOSH,10000145,INTRO FEEDING TUBE,658.00
OSHKOSH,10000149,ANOSCOPY,240.00
OSHKOSH,10000150,LIVER BIOPSY,"1,550.00"
OSHKOSH,10000151,PERCUTANEOUS CHOLECYSTOSTOMY,"1,750.00"
OSHKOSH,10000157,BILIARY ENDOSCOPY DX WITH SPECI,"3,480.00"
OSHKOSH,10000159,BILIARY ENDOSCOPY W STENT,"3,990.00"
OSHKOSH,10000169,IMPLANT TISSUE MARKERS PELVIS,"5,140.00"
OSHKOSH,10000172,INSERT INTRAPERITONEAL CATH TUNNEL,"5,180.00"
OSHKOSH,10000173,INSERT DIALYSIS CATH PERMANENT,"4,750.00"
OSHKOSH,10000177,INSERT GASTROSTOMY TUBE W S&I,"1,500.00"
OSHKOSH,10000178,INSERT DUODENUM/J-TUBE W/S&I,"1,700.00"
OSHKOSH,10000180,CONVERT TO G-J TUBE W/S&I,"1,310.00"
OSHKOSH,10000181,CHANGE TUBE GASTRO/CECUM W/S&I,974.00
OSHKOSH,10000182,CHANGE TUBE SM BOWEL W/S&I,944.00
OSHKOSH,10000183,CHANGE G-J TUBE W/S&I,675.00
OSHKOSH,10000184,CLEAR OBSTRUCTED GI TUBE W/S&I,953.00
OSHKOSH,10000185,INJECTIONS GI TUBE EVAL W/S&I,935.00
OSHKOSH,10000186,ABLATION ABDOMEN/PERITONEUM,"13,650.00"
OSHKOSH,10000190,REMOVE URETERAL STENT-PERC S&I,"3,440.00"
OSHKOSH,10000191,CHANGE URETERAL STENT S&I,"3,380.00"
OSHKOSH,10000192,REMOVE URETERAL STENT S&I,990.00
OSHKOSH,10000194,REMOVE NEPHROSTOMY TUBE/FLUORO,887.00
OSHKOSH,10000195,ASPIRATE RENAL CYST/PELVIS,"1,610.00"
OSHKOSH,10000198,CRYOABLATION RENAL TUMOR(S),"7,910.00"
OSHKOSH,10000199,CHANGE URETEROSTOMY TUBE,"2,100.00"
OSHKOSH,10000201,BLADDER ASPIRATION,206.00
OSHKOSH,10000202,INSERT SUPRAPUBIC CATH,"2,860.00"
OSHKOSH,10000203,INJECT CYSTOGRAM,575.00
OSHKOSH,10000204,INJECT URETHROGRAM RETROGRADE,643.00
OSHKOSH,10000205,BLADDER IRRIGATE OR INSTALLATION,376.00
OSHKOSH,10000206,STRAIGHT CATH,178.00
OSHKOSH,10000207,FOLEY CATH INSERTION,308.00
OSHKOSH,10000208,BLADDER CATH COMPLEX,470.00
OSHKOSH,10000210,BLADDER SCAN-RESIDUAL URINE,176.00
OSHKOSH,10000212,CIRCUMCISION,200.00
OSHKOSH,10000213,I&D SCROTAL SPACE,"3,080.00"
OSHKOSH,10000214,"PROSTATE, NEEDLE BIOPSIES","1,770.00"
OSHKOSH,10000216,HYSTEROSALPINGOGRAM INJECT,967.00
OSHKOSH,10000220,TUBAL LIGATION POST PARTUM,"1,390.00"
OSHKOSH,10000221,TUBAL LIGATION WITH C-SECTION,515.00
OSHKOSH,10000223,"AMNIOCENTESIS, DIAGNOSTIC",391.00
OSHKOSH,10000224,"AMNIOCENTESIS, FLUID REDUCTION",517.00
OSHKOSH,10000226,FETAL CONTRACTION STRESS TEST,722.00
OSHKOSH,10000227,FETAL NON STRESS TEST,410.00
OSHKOSH,10000230,D&C,"2,080.00"
OSHKOSH,10000231,CERVICAL DILATOR INSERTION,570.00
OSHKOSH,10000233,VAGINAL DELIVERY ONLY,"1,430.00"
OSHKOSH,10000234,"VERSION, W/WO TOCOLYSIS","1,170.00"
OSHKOSH,10000235,DELIVERY PLACENTA,950.00
OSHKOSH,10000236,AMNIOINFUSION,375.00
OSHKOSH,10000237,INTRAUTERINE PRESSURE MONITORING,345.00
OSHKOSH,10000238,BX THYROID NEEDLE,487.00
OSHKOSH,10000239,BX ADRENAL GLAND NEEDLE,"5,580.00"
OSHKOSH,10000241,CERVICAL PUNCTURE W/INJECTION,"1,260.00"
OSHKOSH,10000243,ENDOVASC OCCLUSION HEAD/NECK W/S&I,"9,340.00"
OSHKOSH,10000244,PTA INTRACRANIAL,"4,140.00"
OSHKOSH,10000245,PTA INTRACRANIAL W STENT,"3,670.00"
OSHKOSH,10000246,DILATE INTRACRANIAL VASOSPASM 1ST,"2,870.00"
OSHKOSH,10000247,DILATE INTRACRANIAL VASOSPASM ADD ON,"2,870.00"
OSHKOSH,10000248,DILATE INTRACRANIAL VASOSPASM SECONDARY,"2,870.00"
OSHKOSH,10000251,LUMBAR PUNCTURE DIAGNOSTIC,219.00
OSHKOSH,10000252,EPIDURAL BLOOD OR CLOT PATCH,"1,450.00"
OSHKOSH,10000253,INJECT FOR MYELOGRAM or CT LUMBAR,628.00
OSHKOSH,10000254,DISKECTOMY/PERCUTANEOUS LUMBAR,"5,300.00"
OSHKOSH,10000258,EPIDURAL INJ 1ST LEVEL W/ IMAGING,"2,430.00"
OSHKOSH,10000259,INJECT NERVE OCCIPITAL,718.00
OSHKOSH,10000261,NERVE BLOCK CELIAC PLEXUS,"1,950.00"
OSHKOSH,10000266,FB CORNEA NO SLIT,330.00
OSHKOSH,10000267,FB CORNEA W/SLIT,330.00
OSHKOSH,10000269,FB REMOVAL EAR,130.00
OSHKOSH,10000270,REMOVE EAR WAX W/INSTRUMENT UNILAT,100.00
OSHKOSH,10000273,XR EYE FOREIGN BODY,202.00
OSHKOSH,10000274,XR MANDIBLE PARTIAL,454.00
OSHKOSH,10000275,XR MANDIBLE COMPLETE,678.00
