Facility,CC,CC Description,1/1/19 Fee
MANITOWOC,10000002,ROOM CHARGE MED SURG,"1,470.00"
MANITOWOC,10000003,ROOM CHARGE WOMEN'S HEALTH,"1,470.00"
MANITOWOC,10000004,ROOM CHARGE PEDIATRICS,"1,470.00"
MANITOWOC,10000005,ROOM CHARGE NURSERY LEVEL 1,"1,370.00"
MANITOWOC,10000008,ROOM CHARGE ICU OR CCU,"3,390.00"
MANITOWOC,10000009,LACTATION CONSULT EXTENDED,178.00
MANITOWOC,10000010,LACTATION CONSULT LIMITED,120.00
MANITOWOC,10000013,"PHOTOTHERAPY, PER DAY",295.00
MANITOWOC,10000016,NURSING L&D PER HOUR,381.00
MANITOWOC,10000033,ARTHROGRAM SHOULDER INJECT,700.00
MANITOWOC,10000034,ARTHROGRAM ELBOW INJECT,700.00
MANITOWOC,10000035,ARTHROGRAM WRIST INJECT,700.00
MANITOWOC,10000036,ARTHROGRAM HIP INJECT,700.00
MANITOWOC,10000037,ARTHROGRAM KNEE INJECT,700.00
MANITOWOC,10000093,CATH UMBILICAL VEIN,312.00
MANITOWOC,10000094,INSERT CVL NON TUNNELED <5 YRS,"1,580.00"
MANITOWOC,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"3,990.00"
MANITOWOC,10000103,PICC INSERTION,"1,650.00"
MANITOWOC,10000113,REPLACE PICC COMPLETE,"1,330.00"
MANITOWOC,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
MANITOWOC,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
MANITOWOC,10000120,INJECT W FLUORO EVAL CENTRAL LINE,515.00
MANITOWOC,10000134,BONE MARROW BIOPSY,840.00
MANITOWOC,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
MANITOWOC,10000139,BX SALIVARY GLAND NEEDLE,"1,080.00"
MANITOWOC,10000143,PEG TUBE PLACEMENT,"2,730.00"
MANITOWOC,10000145,INTRO FEEDING TUBE,658.00
MANITOWOC,10000150,LIVER BIOPSY,"1,550.00"
MANITOWOC,10000185,INJECTIONS GI TUBE EVAL W/S&I,935.00
MANITOWOC,10000203,INJECT CYSTOGRAM,575.00
MANITOWOC,10000205,BLADDER IRRIGATE OR INSTALLATION,376.00
MANITOWOC,10000206,STRAIGHT CATH,178.00
MANITOWOC,10000207,FOLEY CATH INSERTION,308.00
MANITOWOC,10000208,BLADDER CATH COMPLEX,470.00
MANITOWOC,10000210,BLADDER SCAN-RESIDUAL URINE,176.00
MANITOWOC,10000212,CIRCUMCISION,200.00
MANITOWOC,10000216,HYSTEROSALPINGOGRAM INJECT,967.00
MANITOWOC,10000220,TUBAL LIGATION POST PARTUM,"1,390.00"
MANITOWOC,10000221,TUBAL LIGATION WITH C-SECTION,515.00
MANITOWOC,10000223,"AMNIOCENTESIS, DIAGNOSTIC",391.00
MANITOWOC,10000227,FETAL NON STRESS TEST,410.00
MANITOWOC,10000230,D&C,"2,080.00"
MANITOWOC,10000231,CERVICAL DILATOR INSERTION,570.00
MANITOWOC,10000232,CERCLAGE OF CERVIX,"3,270.00"
MANITOWOC,10000234,"VERSION, W/WO TOCOLYSIS","1,170.00"
MANITOWOC,10000235,DELIVERY PLACENTA,950.00
MANITOWOC,10000236,AMNIOINFUSION,375.00
MANITOWOC,10000237,INTRAUTERINE PRESSURE MONITORING,345.00
MANITOWOC,10000238,BX THYROID NEEDLE,660.00
MANITOWOC,10000251,LUMBAR PUNCTURE DIAGNOSTIC,403.00
MANITOWOC,10000252,EPIDURAL BLOOD OR CLOT PATCH,"1,450.00"
MANITOWOC,10000253,INJECT FOR MYELOGRAM or CT LUMBAR,583.00
MANITOWOC,10000258,EPIDURAL INJ 1ST LEVEL W/ IMAGING,"2,360.00"
MANITOWOC,10000259,INJECT NERVE OCCIPITAL,718.00
MANITOWOC,10000266,FB CORNEA NO SLIT,330.00
MANITOWOC,10000267,FB CORNEA W/SLIT,330.00
MANITOWOC,10000269,FB REMOVAL EAR,130.00
MANITOWOC,10000270,REMOVE EAR WAX W/INSTRUMENT UNILAT,100.00
MANITOWOC,10000273,XR EYE FOREIGN BODY,202.00
MANITOWOC,10000275,XR MANDIBLE COMPLETE,678.00
MANITOWOC,10000276,XR FACIAL BONES < 3 VIEW,410.00
MANITOWOC,10000277,XR FACIAL BONES COMPLETE,612.00
MANITOWOC,10000278,XR NASAL BONES,575.00
MANITOWOC,10000280,XR ORBITS MINIMUM 4 VIEWS,494.00
MANITOWOC,10000281,XR SINUSES < 3 VIEW,440.00
MANITOWOC,10000282,XR SINUSES COMPLETE,657.00
MANITOWOC,10000283,XR SKULL < 4 VIEW,425.00
MANITOWOC,10000284,XR SKULL COMPLETE,635.00
MANITOWOC,10000290,XR NECK SOFT TISSUES,409.00
MANITOWOC,10000293,CT HEAD W/O DYE,"2,340.00"
MANITOWOC,10000294,CT HEAD W/DYE,"2,540.00"
MANITOWOC,10000295,CT HEAD W/WO DYE,"3,710.00"
MANITOWOC,10000296,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/O DYE,"2,340.00"
MANITOWOC,10000297,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/DYE,"2,540.00"
MANITOWOC,10000298,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/WO  DYE,"3,710.00"
MANITOWOC,10000299,CT MAXILLIOFACIAL W/O DYE,"2,340.00"
MANITOWOC,10000303,CT MAXILLIOFACIAL W/DYE,"2,540.00"
MANITOWOC,10000304,CT MAXILLIOFACL W/WO DYE,"3,710.00"
MANITOWOC,10000305,CT NECK W/O DYE,"2,340.00"
MANITOWOC,10000306,CT NECK W/DYE,"2,540.00"
MANITOWOC,10000307,CT NECK W/WO DYE,"3,710.00"
MANITOWOC,10000308,CT ANGIO HEAD,"1,940.00"
MANITOWOC,10000309,CT ANGIO NECK,"1,940.00"
MANITOWOC,10000310,MR ORBIT/FACE/NECK W/O DYE,"3,620.00"
MANITOWOC,10000312,MR ORBIT/FACE/NECK W/WO DYE,"5,630.00"
MANITOWOC,10000313,MRA HEAD W/O DYE,"3,620.00"
MANITOWOC,10000314,MRA HEAD W/DYE,"3,820.00"
MANITOWOC,10000315,MRA HEAD W/WO DYE,"5,630.00"
MANITOWOC,10000316,MRA NECK W/O DYE,"3,620.00"
MANITOWOC,10000317,MRA NECK W/DYE,"3,820.00"
MANITOWOC,10000318,MRA NECK W/WO DYE,"5,630.00"
MANITOWOC,10000319,MR BRAIN W/O DYE,"3,620.00"
MANITOWOC,10000320,MR BRAIN W/DYE,"3,820.00"
MANITOWOC,10000321,MR BRAIN W/WO DYE,"5,630.00"
MANITOWOC,10000324,XR CHEST 1 VIEW,265.00
MANITOWOC,10000325,XR CHEST 2 VIEWS,318.00
MANITOWOC,10000326,XR CHEST 3 VIEWS,398.00
MANITOWOC,10000331,XR RIBS BILATERAL 3 VIEW,587.00
MANITOWOC,10000332,XR RIBS W/CHEST BILATERAL 4 VIEW,684.00
MANITOWOC,10000333,XR STERNUM 2 VIEW,447.00
MANITOWOC,10000334,XR STERNOCLAVICULAR JOINT 3 VIEW,402.00
MANITOWOC,10000335,CT CHEST W/O DYE,"2,340.00"
MANITOWOC,10000336,CT CHEST W/DYE,"2,540.00"
MANITOWOC,10000337,CT CHEST W/WO DYE,"3,710.00"
MANITOWOC,10000338,CT ANGIO CHEST,"1,940.00"
MANITOWOC,10000341,MR CHEST W/WO DYE,"5,630.00"
MANITOWOC,10000343,XR SPINE ANY LEVEL 1 VIEW,340.00
MANITOWOC,10000344,XR CERVICAL SPINE 2-3 VIEWS,408.00
MANITOWOC,10000345,XR CERVICAL SPINE 4-5 VIEWS,595.00
MANITOWOC,10000346,XR CERVICAL SPINE 6 VIEWS >,680.00
MANITOWOC,10000348,XR THORACIC SPINE 2 VIEW,408.00
MANITOWOC,10000349,XR THORACIC SPINE 3 VIEW,469.00
MANITOWOC,10000350,XR THORACIC SPINE 4 VIEW,530.00
MANITOWOC,10000351,XR THORACOLUMBAR SPINE 2 VIEW,441.00
MANITOWOC,10000353,XR LUMBAR SPINE 2 OR 3 VIEW,446.00
MANITOWOC,10000354,XR LUMBAR SPINE 4 VIEW MIN,624.00
MANITOWOC,10000355,XR L SPINE BENDING 6 VIEW OR >,840.00
MANITOWOC,10000356,XR L SPINE BENDING VIEW 2 TO 3,600.00
MANITOWOC,10000357,CT C SPINE W/O DYE,"2,340.00"
MANITOWOC,10000358,CT C SPINE W/DYE,"2,540.00"
MANITOWOC,10000359,CT C SPINE W/WO DYE,"3,710.00"
MANITOWOC,10000360,CT T SPINE W/O DYE,"2,340.00"
MANITOWOC,10000361,CT T SPINE W/DYE,"2,540.00"
MANITOWOC,10000363,CT L SPINE W/O DYE,"2,340.00"
MANITOWOC,10000364,CT L SPINE W/DYE,"2,540.00"
MANITOWOC,10000365,CT L SPINE W/WO DYE,"3,710.00"
MANITOWOC,10000366,MR C SPINE W/O DYE,"3,620.00"
MANITOWOC,10000368,MR T SPINE WO DYE,"3,620.00"
MANITOWOC,10000370,MR L SPINE WO DYE,"3,620.00"
MANITOWOC,10000371,MR L SPINE W DYE,"3,820.00"
MANITOWOC,10000372,MR C SPINE W/WO DYE,"5,630.00"
MANITOWOC,10000373,MR T SPINE W/WO DYE,"5,630.00"
MANITOWOC,10000374,MR L SPINE W/WO DYE,"5,630.00"
MANITOWOC,10000376,XR PELVIS 1 OR 2 VIEW,397.00
MANITOWOC,10000377,XR PELVIS COMPLETE 3 VIEW MIN,536.00
MANITOWOC,10000379,CT PELVIS W/O DYE,"2,340.00"
MANITOWOC,10000380,CT PELVIS W/DYE,"2,540.00"
MANITOWOC,10000381,CT PELVIS W/WO DYE,"3,710.00"
MANITOWOC,10000382,MR PELVIS W/O DYE,"3,620.00"
MANITOWOC,10000384,MR PELVIS W/WO DYE,"5,630.00"
MANITOWOC,10000386,XR SACROILIAC JOINTS 3 VIEW MIN,485.00
MANITOWOC,10000387,XR SACRUM & COCCYX 2 VIEW MIN,463.00
MANITOWOC,10000388,MYELOGRAM CERVICAL S&I,"1,910.00"
MANITOWOC,10000389,MYELOGRAM THORACIC S&I,"1,910.00"
MANITOWOC,10000390,MYELOGRAM LUMBAR S&I,"1,910.00"
MANITOWOC,10000397,XR SCAPULA COMPLETE,439.00
MANITOWOC,10000400,XR SHOULDER ARTHROGRAM S&I,"1,470.00"
MANITOWOC,10000401,XR AC JOINTS BILATERAL,450.00
MANITOWOC,10000410,XR WRIST ARTHROGRAM S&I,982.00
MANITOWOC,10000413,XR FINGER(S) 2 VIEW MINIMUM,489.00
MANITOWOC,10000425,XR HIP ARTHROGRAM S&I,"1,470.00"
MANITOWOC,10000432,XR KNEES STANDING AP BILATERAL,384.00
MANITOWOC,10000436,XR ANKLE 2 VIEW,433.00
MANITOWOC,10000437,XR ANKLE COMPLETE,520.00
MANITOWOC,10000442,XR TOE(S) 2 VIEW MIN,433.00
MANITOWOC,10000453,XR ABDOMEN 1 VIEW,414.00
MANITOWOC,10000454,XR ABDOMEN 2 VIEWS,518.00
MANITOWOC,10000455,XR ABDOMEN 3 OR MORE VIEWS,621.00
MANITOWOC,10000456,"XR ABDOMEN, ACUTE SERIES",725.00
MANITOWOC,10000457,CT ABDOMEN W/O DYE,"2,340.00"
MANITOWOC,10000458,CT ABDOMEN W/DYE,"2,540.00"
MANITOWOC,10000459,CT ABDOMEN W/WO DYE,"3,710.00"
MANITOWOC,10000460,CT ANGIO ABDOMEN,"1,940.00"
MANITOWOC,10000461,MR ABDOMEN W/O DYE,"3,620.00"
MANITOWOC,10000463,MR ABDOMEN W/WO DYE,"5,630.00"
MANITOWOC,10000464,XR ESOPHAGRAM,479.00
MANITOWOC,10000465,XR SWALLOWING FUNCTION W/VIDEO,638.00
MANITOWOC,10000466,XR UPPER GI W/O KUB,852.00
MANITOWOC,10000467,XR UPPER GI W/KUB,"1,070.00"
MANITOWOC,10000468,XR UPPER GI W SMALL BOWEL,"1,290.00"
MANITOWOC,10000469,XR UPPER GI W/CONTRAST W/O KUB,940.00
MANITOWOC,10000470,XR UPPER GI W/CONTRAST W/KUB,"1,170.00"
MANITOWOC,10000472,XR SMALL BOWEL SERIES,800.00
MANITOWOC,10000476,XR COLON BARIUM ENEMA,716.00
MANITOWOC,10000477,XR COLON DOUBLE CONTRAST,930.00
MANITOWOC,10000479,XR CHOLANGIOGRAM INTRAOP S&I,983.00
MANITOWOC,10000484,ERCP BILE DUCT S&I,742.00
MANITOWOC,10000486,ERCP BILE & PANCREAS DUCT S&I,925.00
MANITOWOC,10000487,INSERT LONG FEEDING TUBE S&I,481.00
MANITOWOC,10000492,XR UROGRAPHY RETROGRADE,"1,010.00"
MANITOWOC,10000493,XR UROGRAPHY ANTEGRADE S&I,857.00
MANITOWOC,10000494,XR CYSTOGRAM 3 VIEW MIN S&I,775.00
MANITOWOC,10000495,XR URETHROGRAM RETROGRADE S&I,785.00
MANITOWOC,10000496,XR CYSTOGRAM VOIDING S&I,"1,050.00"
MANITOWOC,10000500,XR HYSTEROSALPINGOGRAM S&I,900.00
MANITOWOC,10000505,CT HEART W/O DYE CA+EVAL,14.00
MANITOWOC,10000512,HB CHB TA ABD AORTA/ILIOFEMORAL,"1,940.00"
MANITOWOC,10000575,GUIDED DRAINAGE S&I,"1,900.00"
MANITOWOC,10000581,FLUOROSCOPY UP TO 1 HR,309.00
MANITOWOC,10000582,FLUOROSCOPY OVER 1 HOUR,487.00
MANITOWOC,10000583,XR FOREIGN BODY CHILD SINGLE VIEW,185.00
MANITOWOC,10000584,SINOGRAM S&I,638.00
MANITOWOC,10000585,RAD EXAM SURGICAL SPEC,216.00
MANITOWOC,10000589,3D RENDERING WO POSTPROCESSING,403.00
MANITOWOC,10000590,3D RENDERING W/ POSTPROCESSING,484.00
MANITOWOC,10000591,CT LIMITED OR LOCALIZED EXAM,"1,460.00"
MANITOWOC,10000602,"US, SOFT TISSUE HEAD/NECK",485.00
MANITOWOC,10000603,US CHEST,383.00
MANITOWOC,10000605,US ABDOMEN COMPLETE,784.00
MANITOWOC,10000606,US ABDOMEN LTD,588.00
MANITOWOC,10000607,US RETROPERITONEUM COMPLETE,860.00
MANITOWOC,10000608,US RETROPERITONEUM LTD,645.00
MANITOWOC,10000609,US RENAL TRANSPLANT,"1,010.00"
MANITOWOC,10000611,US OB < 14 WK SINGLE FETUS,676.00
