Facility,CC,CC Description,1/1/19 Fee
LAKELAND,10000001,"ROOM CHARGE MED SURG, REHAB","2,030.00"
LAKELAND,10000002,ROOM CHARGE MED SURG,"2,030.00"
LAKELAND,10000003,ROOM CHARGE WOMEN'S HEALTH,"2,030.00"
LAKELAND,10000004,ROOM CHARGE PEDIATRICS,"2,030.00"
LAKELAND,10000005,ROOM CHARGE NURSERY LEVEL 1,"1,370.00"
LAKELAND,10000006,ROOM CHARGE NURSERY LEVEL 2,"1,670.00"
LAKELAND,10000007,ROOM CHARGE NURSERY LEVEL 3,"2,230.00"
LAKELAND,10000008,ROOM CHARGE ICU OR CCU,"3,480.00"
LAKELAND,10000009,LACTATION CONSULT EXTENDED,178.00
LAKELAND,10000010,LACTATION CONSULT LIMITED,120.00
LAKELAND,10000013,"PHOTOTHERAPY, PER DAY",295.00
LAKELAND,10000016,NURSING L&D PER HOUR,211.00
LAKELAND,10000019,BREAST ASPIRATE CYST EA ADDL,285.00
LAKELAND,10000033,ARTHROGRAM SHOULDER INJECT,700.00
LAKELAND,10000034,ARTHROGRAM ELBOW INJECT,700.00
LAKELAND,10000035,ARTHROGRAM WRIST INJECT,700.00
LAKELAND,10000036,ARTHROGRAM HIP INJECT,700.00
LAKELAND,10000037,ARTHROGRAM KNEE INJECT,700.00
LAKELAND,10000038,ARTHROGRAM ANKLE INJECT,700.00
LAKELAND,10000075,HANDLING FEE,20.00
LAKELAND,10000093,CATH UMBILICAL VEIN,465.00
LAKELAND,10000103,PICC INSERTION,"1,650.00"
LAKELAND,10000104,INSERT PICC W/PORT <5 YRS,"3,080.00"
LAKELAND,10000113,REPLACE PICC COMPLETE,"1,330.00"
LAKELAND,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
LAKELAND,10000134,BONE MARROW BIOPSY,840.00
LAKELAND,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
LAKELAND,10000142,FB REMOVAL PHARYNGEAL,215.00
LAKELAND,10000143,PEG TUBE PLACEMENT,"2,730.00"
LAKELAND,10000145,INTRO FEEDING TUBE,658.00
LAKELAND,10000149,ANOSCOPY,240.00
LAKELAND,10000150,LIVER BIOPSY,"1,550.00"
LAKELAND,10000183,CHANGE G-J TUBE W/S&I,675.00
LAKELAND,10000185,INJECTIONS GI TUBE EVAL W/S&I,935.00
LAKELAND,10000202,INSERT SUPRAPUBIC CATH,"2,860.00"
LAKELAND,10000203,INJECT CYSTOGRAM,575.00
LAKELAND,10000205,BLADDER IRRIGATE OR INSTALLATION,376.00
LAKELAND,10000206,STRAIGHT CATH,178.00
LAKELAND,10000207,FOLEY CATH INSERTION,308.00
LAKELAND,10000208,BLADDER CATH COMPLEX,470.00
LAKELAND,10000209,CYSTOSTOMY TUBE CHANGE,305.00
LAKELAND,10000210,BLADDER SCAN-RESIDUAL URINE,176.00
LAKELAND,10000212,CIRCUMCISION,200.00
LAKELAND,10000216,HYSTEROSALPINGOGRAM INJECT,967.00
LAKELAND,10000220,TUBAL LIGATION POST PARTUM,"1,390.00"
LAKELAND,10000221,TUBAL LIGATION WITH C-SECTION,515.00
LAKELAND,10000227,FETAL NON STRESS TEST,410.00
LAKELAND,10000230,D&C,"2,080.00"
LAKELAND,10000231,CERVICAL DILATOR INSERTION,570.00
LAKELAND,10000232,CERCLAGE OF CERVIX,"3,270.00"
