"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
SOUTH SHORE,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"30,934"
SOUTH SHORE,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"40,656"
SOUTH SHORE,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"32,100"
SOUTH SHORE,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"33,929"
SOUTH SHORE,101,SEIZURES W/O MCC,"33,069"
SOUTH SHORE,175,PULMONARY EMBOLISM W MCC,"47,190"
SOUTH SHORE,176,PULMONARY EMBOLISM W/O MCC,"25,787"
SOUTH SHORE,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"45,846"
SOUTH SHORE,180,RESPIRATORY NEOPLASMS W MCC,"51,419"
SOUTH SHORE,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"30,502"
SOUTH SHORE,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"26,977"
SOUTH SHORE,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"21,322"
SOUTH SHORE,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"17,215"
SOUTH SHORE,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"30,852"
SOUTH SHORE,194,SIMPLE PNEUMONIA & PLEURISY W CC,"23,906"
SOUTH SHORE,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"19,780"
SOUTH SHORE,202,BRONCHITIS & ASTHMA W CC/MCC,"21,025"
SOUTH SHORE,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"78,990"
SOUTH SHORE,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"123,731"
SOUTH SHORE,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"92,365"
SOUTH SHORE,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","47,767"
