"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
SHEBOYGAN,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"27,327"
SHEBOYGAN,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"59,305"
SHEBOYGAN,176,PULMONARY EMBOLISM W/O MCC,"21,412"
SHEBOYGAN,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"35,257"
SHEBOYGAN,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"25,167"
SHEBOYGAN,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"20,621"
SHEBOYGAN,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"26,645"
SHEBOYGAN,194,SIMPLE PNEUMONIA & PLEURISY W CC,"19,680"
SHEBOYGAN,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"13,132"
SHEBOYGAN,202,BRONCHITIS & ASTHMA W CC/MCC,"16,983"
SHEBOYGAN,203,BRONCHITIS & ASTHMA W/O CC/MCC,"5,928"
SHEBOYGAN,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"39,537"
SHEBOYGAN,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"64,616"
SHEBOYGAN,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","28,892"
SHEBOYGAN,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","24,619"
SHEBOYGAN,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","19,533"
SHEBOYGAN,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","41,701"
SHEBOYGAN,291,HEART FAILURE & SHOCK W MCC,"22,782"
SHEBOYGAN,292,HEART FAILURE & SHOCK W CC,"19,100"
SHEBOYGAN,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"31,098"
SHEBOYGAN,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"21,981"
SHEBOYGAN,312,SYNCOPE & COLLAPSE,"20,807"
SHEBOYGAN,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"79,916"
SHEBOYGAN,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"46,901"
SHEBOYGAN,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"35,307"
SHEBOYGAN,377,G.I. HEMORRHAGE W MCC,"39,357"
SHEBOYGAN,378,G.I. HEMORRHAGE W CC,"25,061"
SHEBOYGAN,389,G.I. OBSTRUCTION W CC,"20,701"
SHEBOYGAN,390,G.I. OBSTRUCTION W/O CC/MCC,"14,253"
SHEBOYGAN,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","19,561"
