"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
OSHKOSH,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"29,433"
OSHKOSH,176,PULMONARY EMBOLISM W/O MCC,"23,192"
OSHKOSH,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"27,501"
OSHKOSH,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"22,589"
OSHKOSH,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"24,016"
OSHKOSH,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"19,022"
OSHKOSH,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"28,666"
OSHKOSH,194,SIMPLE PNEUMONIA & PLEURISY W CC,"20,811"
OSHKOSH,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"56,733"
OSHKOSH,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"83,984"
OSHKOSH,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"47,919"
OSHKOSH,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","28,183"
OSHKOSH,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","35,832"
OSHKOSH,291,HEART FAILURE & SHOCK W MCC,"25,916"
OSHKOSH,292,HEART FAILURE & SHOCK W CC,"17,366"
OSHKOSH,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"34,299"
OSHKOSH,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"15,620"
OSHKOSH,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"15,029"
OSHKOSH,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"70,493"
OSHKOSH,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"39,752"
OSHKOSH,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"29,897"
OSHKOSH,377,G.I. HEMORRHAGE W MCC,"31,536"
OSHKOSH,378,G.I. HEMORRHAGE W CC,"24,510"
OSHKOSH,389,G.I. OBSTRUCTION W CC,"17,038"
OSHKOSH,390,G.I. OBSTRUCTION W/O CC/MCC,"15,526"
OSHKOSH,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","32,645"
OSHKOSH,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","20,858"
OSHKOSH,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"40,803"
OSHKOSH,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"21,747"
OSHKOSH,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"13,772"
OSHKOSH,454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"90,500"
OSHKOSH,455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"101,849"
OSHKOSH,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"42,742"
OSHKOSH,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"46,080"
OSHKOSH,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"49,569"
OSHKOSH,603,CELLULITIS W/O MCC,"17,133"
OSHKOSH,638,DIABETES W CC,"20,852"
OSHKOSH,639,DIABETES W/O CC/MCC,"14,056"
OSHKOSH,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","27,865"
OSHKOSH,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","19,703"
OSHKOSH,682,RENAL FAILURE W MCC,"43,530"
OSHKOSH,683,RENAL FAILURE W CC,"20,888"
OSHKOSH,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"19,032"
OSHKOSH,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"22,437"
OSHKOSH,765,CESAREAN SECTION W CC/MCC,"14,645"
OSHKOSH,766,CESAREAN SECTION W/O CC/MCC,"13,845"
OSHKOSH,767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"10,662"
OSHKOSH,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"8,061"
OSHKOSH,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"6,945"
OSHKOSH,791,PREMATURITY W MAJOR PROBLEMS,"12,795"
OSHKOSH,792,PREMATURITY W/O MAJOR PROBLEMS,"6,086"
OSHKOSH,793,FULL TERM NEONATE W MAJOR PROBLEMS,"7,118"
OSHKOSH,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"5,203"
OSHKOSH,795,NORMAL NEWBORN,"3,903"
OSHKOSH,812,RED BLOOD CELL DISORDERS W/O MCC,"19,016"
OSHKOSH,847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"36,244"
OSHKOSH,853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"95,188"
OSHKOSH,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"35,947"
OSHKOSH,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"26,941"
OSHKOSH,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"15,799"
OSHKOSH,917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"36,802"
OSHKOSH,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"15,711"
