"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
WEST ALLIS,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"31,089"
WEST ALLIS,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"41,276"
WEST ALLIS,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"37,531"
WEST ALLIS,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"31,146"
WEST ALLIS,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"31,792"
WEST ALLIS,074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"32,648"
WEST ALLIS,091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"47,916"
WEST ALLIS,092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"28,038"
WEST ALLIS,101,SEIZURES W/O MCC,"20,596"
WEST ALLIS,103,HEADACHES W/O MCC,"21,018"
WEST ALLIS,149,DYSEQUILIBRIUM,"29,165"
WEST ALLIS,153,OTITIS MEDIA & URI W/O MCC,"14,796"
WEST ALLIS,175,PULMONARY EMBOLISM W MCC,"43,176"
WEST ALLIS,176,PULMONARY EMBOLISM W/O MCC,"26,571"
WEST ALLIS,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"43,051"
WEST ALLIS,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"35,943"
WEST ALLIS,180,RESPIRATORY NEOPLASMS W MCC,"54,746"
WEST ALLIS,184,MAJOR CHEST TRAUMA W CC,"23,343"
WEST ALLIS,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"35,905"
WEST ALLIS,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"27,014"
WEST ALLIS,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"21,656"
WEST ALLIS,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"16,472"
WEST ALLIS,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"33,601"
WEST ALLIS,194,SIMPLE PNEUMONIA & PLEURISY W CC,"25,640"
WEST ALLIS,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"18,853"
WEST ALLIS,202,BRONCHITIS & ASTHMA W CC/MCC,"20,738"
WEST ALLIS,203,BRONCHITIS & ASTHMA W/O CC/MCC,"16,905"
WEST ALLIS,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"16,749"
WEST ALLIS,207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"164,325"
WEST ALLIS,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"66,532"
WEST ALLIS,252,OTHER VASCULAR PROCEDURES W MCC,"101,452"
WEST ALLIS,253,OTHER VASCULAR PROCEDURES W CC,"90,548"
WEST ALLIS,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","33,441"
WEST ALLIS,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","26,890"
WEST ALLIS,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","17,280"
WEST ALLIS,291,HEART FAILURE & SHOCK W MCC,"32,439"
WEST ALLIS,292,HEART FAILURE & SHOCK W CC,"28,148"
WEST ALLIS,293,HEART FAILURE & SHOCK W/O CC/MCC,"20,712"
WEST ALLIS,300,PERIPHERAL VASCULAR DISORDERS W CC,"26,175"
WEST ALLIS,305,HYPERTENSION W/O MCC,"22,285"
WEST ALLIS,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"30,810"
WEST ALLIS,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"26,991"
WEST ALLIS,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"21,312"
WEST ALLIS,312,SYNCOPE & COLLAPSE,"27,625"
WEST ALLIS,313,CHEST PAIN,"23,459"
WEST ALLIS,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"62,919"
WEST ALLIS,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"136,198"
WEST ALLIS,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"83,902"
WEST ALLIS,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"67,736"
WEST ALLIS,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"44,459"
WEST ALLIS,371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"51,262"
WEST ALLIS,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"26,783"
WEST ALLIS,377,G.I. HEMORRHAGE W MCC,"59,332"
WEST ALLIS,378,G.I. HEMORRHAGE W CC,"32,225"
WEST ALLIS,379,G.I. HEMORRHAGE W/O CC/MCC,"25,556"
WEST ALLIS,386,INFLAMMATORY BOWEL DISEASE W CC,"32,166"
WEST ALLIS,388,G.I. OBSTRUCTION W MCC,"46,311"
WEST ALLIS,389,G.I. OBSTRUCTION W CC,"29,378"
WEST ALLIS,390,G.I. OBSTRUCTION W/O CC/MCC,"18,870"
WEST ALLIS,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","37,415"
WEST ALLIS,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","24,479"
WEST ALLIS,393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"57,338"
WEST ALLIS,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"26,465"
WEST ALLIS,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"28,267"
WEST ALLIS,417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"82,314"
WEST ALLIS,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"57,200"
WEST ALLIS,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"45,369"
WEST ALLIS,432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"40,164"
WEST ALLIS,433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"29,193"
WEST ALLIS,436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"35,598"
WEST ALLIS,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"47,460"
WEST ALLIS,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"25,984"
WEST ALLIS,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"19,918"
WEST ALLIS,442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","29,635"
WEST ALLIS,445,DISORDERS OF THE BILIARY TRACT W CC,"35,812"
WEST ALLIS,454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"166,179"
WEST ALLIS,455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"128,937"
WEST ALLIS,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"105,192"
WEST ALLIS,467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"112,965"
WEST ALLIS,468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"87,006"
WEST ALLIS,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"82,222"
WEST ALLIS,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"73,223"
WEST ALLIS,473,CERVICAL SPINAL FUSION W/O CC/MCC,"69,908"
WEST ALLIS,480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"84,908"
WEST ALLIS,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"62,759"
WEST ALLIS,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"48,066"
WEST ALLIS,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"69,884"
WEST ALLIS,493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","55,898"
