"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
MANITOWOC,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"18,058"
MANITOWOC,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"15,010"
MANITOWOC,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"13,733"
MANITOWOC,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"17,639"
MANITOWOC,194,SIMPLE PNEUMONIA & PLEURISY W CC,"18,661"
MANITOWOC,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"12,616"
MANITOWOC,202,BRONCHITIS & ASTHMA W CC/MCC,"12,178"
MANITOWOC,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"29,124"
MANITOWOC,291,HEART FAILURE & SHOCK W MCC,"17,280"
MANITOWOC,305,HYPERTENSION W/O MCC,"18,714"
MANITOWOC,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"14,328"
MANITOWOC,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"12,303"
MANITOWOC,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"86,843"
MANITOWOC,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"44,546"
MANITOWOC,377,G.I. HEMORRHAGE W MCC,"30,920"
MANITOWOC,378,G.I. HEMORRHAGE W CC,"19,192"
MANITOWOC,389,G.I. OBSTRUCTION W CC,"16,850"
MANITOWOC,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","14,790"
MANITOWOC,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"20,017"
MANITOWOC,462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"84,561"
MANITOWOC,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"53,561"
MANITOWOC,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"46,580"
MANITOWOC,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"48,564"
MANITOWOC,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"47,737"
MANITOWOC,603,CELLULITIS W/O MCC,"14,492"
MANITOWOC,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","40,315"
MANITOWOC,638,DIABETES W CC,"12,061"
MANITOWOC,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","26,305"
MANITOWOC,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","16,893"
MANITOWOC,683,RENAL FAILURE W CC,"13,704"
MANITOWOC,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"19,992"
MANITOWOC,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"13,583"
MANITOWOC,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"27,270"
MANITOWOC,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"14,141"
MANITOWOC,765,CESAREAN SECTION W CC/MCC,"21,657"
MANITOWOC,766,CESAREAN SECTION W/O CC/MCC,"20,183"
MANITOWOC,767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"19,554"
MANITOWOC,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"12,041"
MANITOWOC,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"9,662"
MANITOWOC,789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","4,431"
MANITOWOC,793,FULL TERM NEONATE W MAJOR PROBLEMS,"6,079"
MANITOWOC,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"4,451"
MANITOWOC,795,NORMAL NEWBORN,"3,323"
MANITOWOC,812,RED BLOOD CELL DISORDERS W/O MCC,"14,815"
MANITOWOC,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"23,058"
MANITOWOC,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"19,173"
MANITOWOC,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"13,973"
