Facility,CC,CC Description,1/1/19 Fee
KENOSHA,10000002,ROOM CHARGE MED SURG,"1,570.00"
KENOSHA,10000003,ROOM CHARGE WOMEN'S HEALTH,"1,570.00"
KENOSHA,10000004,ROOM CHARGE PEDIATRICS,"1,570.00"
KENOSHA,10000005,ROOM CHARGE NURSERY LEVEL 1,"1,370.00"
KENOSHA,10000006,ROOM CHARGE NURSERY LEVEL 2,"1,670.00"
KENOSHA,10000007,ROOM CHARGE NURSERY LEVEL 3,"2,230.00"
KENOSHA,10000008,ROOM CHARGE ICU OR CCU,"2,290.00"
KENOSHA,10000009,LACTATION CONSULT EXTENDED,178.00
KENOSHA,10000010,LACTATION CONSULT LIMITED,120.00
KENOSHA,10000013,"PHOTOTHERAPY, PER DAY",295.00
KENOSHA,10000016,NURSING L&D PER HOUR,105.00
KENOSHA,10000019,BREAST ASPIRATE CYST EA ADDL,285.00
KENOSHA,10000033,ARTHROGRAM SHOULDER INJECT,700.00
KENOSHA,10000034,ARTHROGRAM ELBOW INJECT,700.00
KENOSHA,10000035,ARTHROGRAM WRIST INJECT,700.00
KENOSHA,10000036,ARTHROGRAM HIP INJECT,700.00
KENOSHA,10000037,ARTHROGRAM KNEE INJECT,700.00
KENOSHA,10000075,HANDLING FEE,20.00
KENOSHA,10000080,SELECTIVE  CATH 1ST ORDER THORACIC,"1,800.00"
KENOSHA,10000081,SELECTIVE CATH 2ND ORDER THORACIC,"1,800.00"
KENOSHA,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,"1,800.00"
KENOSHA,10000084,SELECTIVE  CATH 2&3 THORARIC ADDL,900.00
KENOSHA,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,"3,340.00"
KENOSHA,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,"3,340.00"
KENOSHA,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,"3,340.00"
KENOSHA,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,"1,670.00"
KENOSHA,10000089,SCLEROTHERAPY SINGLE VEIN,244.00
KENOSHA,10000090,SCLEROTHERAPY MULTIPLE VEINS,366.00
KENOSHA,10000091,ABLATION VARICOSE VEIN LASER 1ST,"6,120.00"
KENOSHA,10000092,CATH VENOUS BLOOD  SAMPLING,"1,120.00"
KENOSHA,10000093,CATH UMBILICAL VEIN,511.00
KENOSHA,10000096,INSERT CVL TUNNELED 5 YRS >/=,"2,170.00"
KENOSHA,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"3,490.00"
KENOSHA,10000102,PICC LINE INSERTION <5 YRS,"1,390.00"
KENOSHA,10000103,PICC INSERTION,"1,650.00"
KENOSHA,10000106,REPAIR CVL CATH,900.00
KENOSHA,10000109,REPLACE CVL NON TUNNELED COMPLETE,"1,690.00"
KENOSHA,10000110,REPLACE CVL TUNNELED COMPLETE,"3,380.00"
KENOSHA,10000111,REPLACE CVL TUNNELED W/PORT COMPLETE,"4,360.00"
KENOSHA,10000113,REPLACE PICC COMPLETE,"1,330.00"
KENOSHA,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
KENOSHA,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
KENOSHA,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
