"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
SINAI,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"52,702"
SINAI,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"48,927"
SINAI,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"32,715"
SINAI,074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"33,495"
SINAI,100,SEIZURES W MCC,"43,968"
SINAI,101,SEIZURES W/O MCC,"23,811"
SINAI,149,DYSEQUILIBRIUM,"25,159"
SINAI,153,OTITIS MEDIA & URI W/O MCC,"17,915"
SINAI,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"126,144"
SINAI,176,PULMONARY EMBOLISM W/O MCC,"29,325"
SINAI,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"28,366"
SINAI,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"28,091"
SINAI,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"24,615"
SINAI,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"18,425"
SINAI,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"37,100"
SINAI,194,SIMPLE PNEUMONIA & PLEURISY W CC,"23,548"
SINAI,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"21,664"
SINAI,202,BRONCHITIS & ASTHMA W CC/MCC,"23,812"
SINAI,203,BRONCHITIS & ASTHMA W/O CC/MCC,"14,147"
SINAI,204,RESPIRATORY SIGNS & SYMPTOMS,"19,828"
SINAI,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"69,985"
SINAI,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"90,561"
SINAI,252,OTHER VASCULAR PROCEDURES W MCC,"97,050"
SINAI,253,OTHER VASCULAR PROCEDURES W CC,"124,191"
SINAI,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","51,390"
SINAI,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","44,000"
SINAI,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","78,430"
SINAI,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","55,808"
SINAI,291,HEART FAILURE & SHOCK W MCC,"33,411"
SINAI,292,HEART FAILURE & SHOCK W CC,"26,928"
SINAI,293,HEART FAILURE & SHOCK W/O CC/MCC,"20,735"
SINAI,300,PERIPHERAL VASCULAR DISORDERS W CC,"27,850"
SINAI,304,HYPERTENSION W MCC,"33,008"
SINAI,305,HYPERTENSION W/O MCC,"25,143"
SINAI,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"25,792"
SINAI,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"22,585"
SINAI,312,SYNCOPE & COLLAPSE,"27,921"
SINAI,313,CHEST PAIN,"18,908"
SINAI,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"44,834"
SINAI,315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"30,389"
SINAI,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"81,174"
SINAI,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"22,064"
