Facility,CC,CC Description,1/1/19 Fee
HARTFORD,10000002,ROOM CHARGE MED SURG,"1,770.00"
HARTFORD,10000008,ROOM CHARGE ICU OR CCU,"2,510.00"
HARTFORD,10000033,ARTHROGRAM SHOULDER INJECT,700.00
HARTFORD,10000034,ARTHROGRAM ELBOW INJECT,700.00
HARTFORD,10000035,ARTHROGRAM WRIST INJECT,700.00
HARTFORD,10000036,ARTHROGRAM HIP INJECT,700.00
HARTFORD,10000037,ARTHROGRAM KNEE INJECT,700.00
HARTFORD,10000038,ARTHROGRAM ANKLE INJECT,700.00
HARTFORD,10000075,HANDLING FEE,20.00
HARTFORD,10000081,SELECTIVE CATH 2ND ORDER THORACIC,"2,100.00"
HARTFORD,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,"2,100.00"
HARTFORD,10000084,SELECTIVE  CATH 2&3 THORARIC ADDL,"1,050.00"
HARTFORD,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,"2,360.00"
HARTFORD,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,"2,360.00"
HARTFORD,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,"2,360.00"
HARTFORD,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,"1,180.00"
HARTFORD,10000089,SCLEROTHERAPY SINGLE VEIN,244.00
HARTFORD,10000090,SCLEROTHERAPY MULTIPLE VEINS,366.00
HARTFORD,10000091,ABLATION VARICOSE VEIN LASER 1ST,"6,560.00"
HARTFORD,10000093,CATH UMBILICAL VEIN,261.00
HARTFORD,10000094,INSERT CVL NON TUNNELED <5 YRS,"1,580.00"
HARTFORD,10000096,INSERT CVL TUNNELED 5 YRS >/=,"2,690.00"
HARTFORD,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"2,690.00"
HARTFORD,10000100,INSERT CVL DUAL TUNNELED WO PORT,"4,510.00"
HARTFORD,10000102,PICC LINE INSERTION <5 YRS,"1,390.00"
HARTFORD,10000103,PICC INSERTION,"1,650.00"
HARTFORD,10000106,REPAIR CVL CATH,900.00
HARTFORD,10000107,REPAIR CVL CATH W PORT/PUMP,"1,690.00"
HARTFORD,10000108,REPLACE CVL CATH ONLY,"3,860.00"
HARTFORD,10000109,REPLACE CVL NON TUNNELED COMPLETE,"1,690.00"
HARTFORD,10000110,REPLACE CVL TUNNELED COMPLETE,"3,380.00"
HARTFORD,10000113,REPLACE PICC COMPLETE,"1,330.00"
HARTFORD,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
HARTFORD,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
HARTFORD,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
HARTFORD,10000118,REMOVE PERICATH OBSTRUCTIVE MATERIAL,"3,300.00"
HARTFORD,10000120,INJECT W FLUORO EVAL CENTRAL LINE,515.00
HARTFORD,10000121,THROMBECTOMY VEIN(S),"5,220.00"
HARTFORD,10000129,PHLEBECTOMY 10-20 INCISIONS,"5,160.00"
HARTFORD,10000130,PHLEBECTOMY >20 INCISIONS,"5,970.00"
HARTFORD,10000131,PHLEBECTOMY <10 INCISIONS,"3,920.00"
HARTFORD,10000134,BONE MARROW BIOPSY,840.00
HARTFORD,10000136,INJECT LYMPHANGIOGRAPHY,260.00
HARTFORD,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
HARTFORD,10000139,BX SALIVARY GLAND NEEDLE,"1,080.00"
HARTFORD,10000142,FB REMOVAL PHARYNGEAL,215.00
HARTFORD,10000145,INTRO FEEDING TUBE,658.00
HARTFORD,10000149,ANOSCOPY,240.00
HARTFORD,10000150,LIVER BIOPSY,"1,550.00"
HARTFORD,10000151,PERCUTANEOUS CHOLECYSTOSTOMY,"5,820.00"
HARTFORD,10000158,BILIARY ENDOSCOPY WO STENT,"3,480.00"
HARTFORD,10000159,BILIARY ENDOSCOPY W STENT,"3,990.00"
HARTFORD,10000173,INSERT DIALYSIS CATH PERMANENT,"4,750.00"
