"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
KENOSHA,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"35,265"
KENOSHA,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"36,767"
KENOSHA,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"37,844"
KENOSHA,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"31,006"
KENOSHA,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"32,161"
KENOSHA,101,SEIZURES W/O MCC,"23,290"
KENOSHA,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"80,753"
KENOSHA,175,PULMONARY EMBOLISM W MCC,"38,673"
KENOSHA,176,PULMONARY EMBOLISM W/O MCC,"23,455"
KENOSHA,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"39,623"
KENOSHA,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"29,261"
KENOSHA,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"23,579"
KENOSHA,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"19,491"
KENOSHA,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"15,871"
KENOSHA,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"31,176"
KENOSHA,194,SIMPLE PNEUMONIA & PLEURISY W CC,"24,028"
KENOSHA,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"17,235"
KENOSHA,202,BRONCHITIS & ASTHMA W CC/MCC,"20,313"
KENOSHA,203,BRONCHITIS & ASTHMA W/O CC/MCC,"8,620"
KENOSHA,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"53,823"
KENOSHA,252,OTHER VASCULAR PROCEDURES W MCC,"66,843"
KENOSHA,253,OTHER VASCULAR PROCEDURES W CC,"80,669"
KENOSHA,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","43,438"
KENOSHA,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","26,646"
KENOSHA,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","22,615"
KENOSHA,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","44,948"
KENOSHA,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","32,501"
KENOSHA,291,HEART FAILURE & SHOCK W MCC,"29,639"
KENOSHA,292,HEART FAILURE & SHOCK W CC,"24,827"
KENOSHA,293,HEART FAILURE & SHOCK W/O CC/MCC,"18,204"
KENOSHA,300,PERIPHERAL VASCULAR DISORDERS W CC,"20,859"
KENOSHA,304,HYPERTENSION W MCC,"32,814"
KENOSHA,305,HYPERTENSION W/O MCC,"32,771"
KENOSHA,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"27,897"
KENOSHA,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"25,311"
KENOSHA,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"18,545"
KENOSHA,312,SYNCOPE & COLLAPSE,"29,863"
KENOSHA,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"34,218"
KENOSHA,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"150,442"
KENOSHA,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"63,639"
KENOSHA,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"55,633"
KENOSHA,340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"43,988"
KENOSHA,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"37,263"
KENOSHA,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"28,413"
KENOSHA,377,G.I. HEMORRHAGE W MCC,"47,666"
KENOSHA,378,G.I. HEMORRHAGE W CC,"29,386"
KENOSHA,379,G.I. HEMORRHAGE W/O CC/MCC,"30,826"
KENOSHA,389,G.I. OBSTRUCTION W CC,"27,710"
KENOSHA,390,G.I. OBSTRUCTION W/O CC/MCC,"23,961"
KENOSHA,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","33,352"
KENOSHA,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","23,426"
KENOSHA,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"33,945"
KENOSHA,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"26,799"
KENOSHA,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"58,280"
KENOSHA,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"42,567"
KENOSHA,432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"41,878"
KENOSHA,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"27,724"
KENOSHA,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"19,918"
KENOSHA,442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","26,729"
KENOSHA,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"72,579"
KENOSHA,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"92,186"
KENOSHA,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"62,780"
KENOSHA,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"73,295"
KENOSHA,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"54,633"
KENOSHA,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"65,029"
KENOSHA,536,FRACTURES OF HIP & PELVIS W/O MCC,"19,345"
KENOSHA,552,MEDICAL BACK PROBLEMS W/O MCC,"32,155"
KENOSHA,602,CELLULITIS W MCC,"35,940"
KENOSHA,603,CELLULITIS W/O MCC,"20,583"
KENOSHA,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","67,188"
KENOSHA,637,DIABETES W MCC,"32,764"
KENOSHA,638,DIABETES W CC,"23,733"
KENOSHA,639,DIABETES W/O CC/MCC,"18,838"
KENOSHA,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","33,675"
KENOSHA,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","22,737"
KENOSHA,661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"44,173"
KENOSHA,669,TRANSURETHRAL PROCEDURES W CC,"45,693"
KENOSHA,682,RENAL FAILURE W MCC,"35,232"
KENOSHA,683,RENAL FAILURE W CC,"24,036"
KENOSHA,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"28,318"
KENOSHA,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"23,243"
KENOSHA,694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"27,174"
KENOSHA,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"33,420"
KENOSHA,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"22,293"
KENOSHA,708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"43,215"
KENOSHA,743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"37,248"
KENOSHA,765,CESAREAN SECTION W CC/MCC,"23,946"
KENOSHA,766,CESAREAN SECTION W/O CC/MCC,"22,337"
KENOSHA,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"12,532"
KENOSHA,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"11,186"
KENOSHA,781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"8,266"
KENOSHA,789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","7,194"
KENOSHA,791,PREMATURITY W MAJOR PROBLEMS,"21,126"
KENOSHA,792,PREMATURITY W/O MAJOR PROBLEMS,"10,763"
KENOSHA,793,FULL TERM NEONATE W MAJOR PROBLEMS,"8,308"
KENOSHA,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"5,072"
KENOSHA,795,NORMAL NEWBORN,"3,681"
KENOSHA,811,RED BLOOD CELL DISORDERS W MCC,"35,346"
KENOSHA,812,RED BLOOD CELL DISORDERS W/O MCC,"28,434"
KENOSHA,847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"35,416"
KENOSHA,853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"97,814"
KENOSHA,854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"79,109"
KENOSHA,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"43,894"
KENOSHA,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"28,712"
KENOSHA,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"25,953"
KENOSHA,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"21,623"
KENOSHA,948,SIGNS & SYMPTOMS W/O MCC,"24,845"
KENOSHA,951,OTHER FACTORS INFLUENCING HEALTH STATUS,"5,189"
KENOSHA,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"100,380"
