Facility,CC,CC Description,1/1/19 Fee
AURORA BAYCARE,10000001,"ROOM CHARGE MED SURG, REHAB","1,970.00"
AURORA BAYCARE,10000002,ROOM CHARGE MED SURG,"1,970.00"
AURORA BAYCARE,10000003,ROOM CHARGE WOMEN'S HEALTH,"1,970.00"
AURORA BAYCARE,10000004,ROOM CHARGE PEDIATRICS,"1,970.00"
AURORA BAYCARE,10000008,ROOM CHARGE ICU OR CCU,"6,670.00"
AURORA BAYCARE,10000009,LACTATION CONSULT EXTENDED,178.00
AURORA BAYCARE,10000010,LACTATION CONSULT LIMITED,120.00
AURORA BAYCARE,10000013,"PHOTOTHERAPY, PER DAY",295.00
AURORA BAYCARE,10000019,BREAST ASPIRATE CYST EA ADDL,285.00
AURORA BAYCARE,10000033,ARTHROGRAM SHOULDER INJECT,700.00
AURORA BAYCARE,10000034,ARTHROGRAM ELBOW INJECT,700.00
AURORA BAYCARE,10000035,ARTHROGRAM WRIST INJECT,700.00
AURORA BAYCARE,10000036,ARTHROGRAM HIP INJECT,700.00
AURORA BAYCARE,10000037,ARTHROGRAM KNEE INJECT,700.00
AURORA BAYCARE,10000038,ARTHROGRAM ANKLE INJECT,700.00
AURORA BAYCARE,10000058,ENDO REPAIR TAA WO SUBCLAVIAN,"6,000.00"
AURORA BAYCARE,10000080,SELECTIVE  CATH 1ST ORDER THORACIC,"1,500.00"
AURORA BAYCARE,10000081,SELECTIVE CATH 2ND ORDER THORACIC,"1,500.00"
AURORA BAYCARE,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,"1,500.00"
AURORA BAYCARE,10000084,SELECTIVE  CATH 2&3 THORARIC ADDL,750.00
AURORA BAYCARE,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,"1,320.00"
AURORA BAYCARE,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,"1,320.00"
AURORA BAYCARE,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,"1,320.00"
AURORA BAYCARE,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,610.00
AURORA BAYCARE,10000089,SCLEROTHERAPY SINGLE VEIN,244.00
AURORA BAYCARE,10000090,SCLEROTHERAPY MULTIPLE VEINS,366.00
AURORA BAYCARE,10000091,ABLATION VARICOSE VEIN LASER 1ST,"6,140.00"
AURORA BAYCARE,10000092,CATH VENOUS BLOOD  SAMPLING,"1,120.00"
AURORA BAYCARE,10000093,CATH UMBILICAL VEIN,122.00
AURORA BAYCARE,10000094,INSERT CVL NON TUNNELED <5 YRS,"1,580.00"
AURORA BAYCARE,10000095,INSERT CVL TUNNELED <5 YRS,"5,360.00"
AURORA BAYCARE,10000096,INSERT CVL TUNNELED 5 YRS >/=,"5,360.00"
AURORA BAYCARE,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"6,330.00"
AURORA BAYCARE,10000100,INSERT CVL DUAL TUNNELED WO PORT,"4,510.00"
AURORA BAYCARE,10000102,PICC LINE INSERTION <5 YRS,"1,390.00"
AURORA BAYCARE,10000103,PICC INSERTION,"1,650.00"
AURORA BAYCARE,10000105,INSERT PICC W/PORT 5 YRS >/=,"3,240.00"
AURORA BAYCARE,10000106,REPAIR CVL CATH,900.00
AURORA BAYCARE,10000107,REPAIR CVL CATH W PORT/PUMP,"1,690.00"
AURORA BAYCARE,10000108,REPLACE CVL CATH ONLY,"3,860.00"
AURORA BAYCARE,10000109,REPLACE CVL NON TUNNELED COMPLETE,"1,690.00"
AURORA BAYCARE,10000110,REPLACE CVL TUNNELED COMPLETE,"3,380.00"
AURORA BAYCARE,10000111,REPLACE CVL TUNNELED W/PORT COMPLETE,"4,360.00"
AURORA BAYCARE,10000113,REPLACE PICC COMPLETE,"1,330.00"
AURORA BAYCARE,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
AURORA BAYCARE,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
AURORA BAYCARE,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
AURORA BAYCARE,10000118,REMOVE PERICATH OBSTRUCTIVE MATERIAL,"3,300.00"
AURORA BAYCARE,10000120,INJECT W FLUORO EVAL CENTRAL LINE,515.00
AURORA BAYCARE,10000121,THROMBECTOMY VEIN(S),"8,410.00"
AURORA BAYCARE,10000122,THROMBECTOMY VEIN(S) REPEAT,"8,410.00"
AURORA BAYCARE,10000128,STENT CAROTID W/PROTECTION,"9,890.00"
AURORA BAYCARE,10000134,BONE MARROW BIOPSY,840.00
AURORA BAYCARE,10000136,INJECT LYMPHANGIOGRAPHY,260.00
AURORA BAYCARE,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
AURORA BAYCARE,10000139,BX SALIVARY GLAND NEEDLE,"1,080.00"
AURORA BAYCARE,10000142,FB REMOVAL PHARYNGEAL,215.00
AURORA BAYCARE,10000143,PEG TUBE PLACEMENT,"2,730.00"
AURORA BAYCARE,10000145,INTRO FEEDING TUBE,658.00
AURORA BAYCARE,10000149,ANOSCOPY,240.00
AURORA BAYCARE,10000150,LIVER BIOPSY,"1,550.00"
AURORA BAYCARE,10000151,PERCUTANEOUS CHOLECYSTOSTOMY,"2,280.00"
AURORA BAYCARE,10000158,BILIARY ENDOSCOPY WO STENT,"3,480.00"
