Facility,CC,CC Description,1/1/19 Fee
BURLINGTON,10000002,ROOM CHARGE MED SURG,"2,030.00"
BURLINGTON,10000003,ROOM CHARGE WOMEN'S HEALTH,"2,030.00"
BURLINGTON,10000005,ROOM CHARGE NURSERY LEVEL 1,"1,370.00"
BURLINGTON,10000006,ROOM CHARGE NURSERY LEVEL 2,"1,670.00"
BURLINGTON,10000007,ROOM CHARGE NURSERY LEVEL 3,"2,230.00"
BURLINGTON,10000008,ROOM CHARGE ICU OR CCU,"3,480.00"
BURLINGTON,10000009,LACTATION CONSULT EXTENDED,178.00
BURLINGTON,10000010,LACTATION CONSULT LIMITED,120.00
BURLINGTON,10000013,"PHOTOTHERAPY, PER DAY",295.00
BURLINGTON,10000016,NURSING L&D PER HOUR,211.00
BURLINGTON,10000019,BREAST ASPIRATE CYST EA ADDL,285.00
BURLINGTON,10000033,ARTHROGRAM SHOULDER INJECT,700.00
BURLINGTON,10000034,ARTHROGRAM ELBOW INJECT,700.00
BURLINGTON,10000035,ARTHROGRAM WRIST INJECT,700.00
BURLINGTON,10000036,ARTHROGRAM HIP INJECT,700.00
BURLINGTON,10000037,ARTHROGRAM KNEE INJECT,700.00
BURLINGTON,10000038,ARTHROGRAM ANKLE INJECT,700.00
BURLINGTON,10000080,SELECTIVE  CATH 1ST ORDER THORACIC,"2,440.00"
BURLINGTON,10000081,SELECTIVE CATH 2ND ORDER THORACIC,"2,440.00"
BURLINGTON,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,"2,440.00"
BURLINGTON,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,"3,040.00"
BURLINGTON,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,"3,040.00"
BURLINGTON,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,"3,040.00"
BURLINGTON,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,"1,520.00"
BURLINGTON,10000089,SCLEROTHERAPY SINGLE VEIN,244.00
BURLINGTON,10000090,SCLEROTHERAPY MULTIPLE VEINS,366.00
BURLINGTON,10000091,ABLATION VARICOSE VEIN LASER 1ST,"5,940.00"
BURLINGTON,10000092,CATH VENOUS BLOOD  SAMPLING,"1,120.00"
BURLINGTON,10000096,INSERT CVL TUNNELED 5 YRS >/=,"1,680.00"
BURLINGTON,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,"1,680.00"
BURLINGTON,10000100,INSERT CVL DUAL TUNNELED WO PORT,"4,510.00"
BURLINGTON,10000103,PICC INSERTION,"1,650.00"
BURLINGTON,10000106,REPAIR CVL CATH,900.00
BURLINGTON,10000109,REPLACE CVL NON TUNNELED COMPLETE,"1,690.00"
BURLINGTON,10000110,REPLACE CVL TUNNELED COMPLETE,"3,380.00"
BURLINGTON,10000111,REPLACE CVL TUNNELED W/PORT COMPLETE,"4,360.00"
BURLINGTON,10000113,REPLACE PICC COMPLETE,"1,330.00"
BURLINGTON,10000115,REMOVE CVL TUNNELED W/O PORT,950.00
BURLINGTON,10000116,REMOVE CVL TUNNELED W/PORT,"1,580.00"
BURLINGTON,10000117,BLOOD SPEC IMPLANTED DEVICE,133.00
BURLINGTON,10000118,REMOVE PERICATH OBSTRUCTIVE MATERIAL,"3,300.00"
BURLINGTON,10000120,INJECT W FLUORO EVAL CENTRAL LINE,515.00
BURLINGTON,10000121,THROMBECTOMY VEIN(S),"7,310.00"
BURLINGTON,10000122,THROMBECTOMY VEIN(S) REPEAT,"7,310.00"
BURLINGTON,10000128,STENT CAROTID W/PROTECTION,"9,890.00"
BURLINGTON,10000129,PHLEBECTOMY 10-20 INCISIONS,"5,160.00"
BURLINGTON,10000130,PHLEBECTOMY >20 INCISIONS,"5,970.00"
BURLINGTON,10000131,PHLEBECTOMY <10 INCISIONS,"3,920.00"
BURLINGTON,10000134,BONE MARROW BIOPSY,840.00
BURLINGTON,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,355.00
BURLINGTON,10000142,FB REMOVAL PHARYNGEAL,215.00
BURLINGTON,10000143,PEG TUBE PLACEMENT,"2,730.00"
BURLINGTON,10000145,INTRO FEEDING TUBE,658.00
BURLINGTON,10000149,ANOSCOPY,240.00
BURLINGTON,10000150,LIVER BIOPSY,"1,550.00"
BURLINGTON,10000151,PERCUTANEOUS CHOLECYSTOSTOMY,"4,480.00"
BURLINGTON,10000159,BILIARY ENDOSCOPY W STENT,"3,990.00"
BURLINGTON,10000169,IMPLANT TISSUE MARKERS PELVIS,"5,140.00"
BURLINGTON,10000172,INSERT INTRAPERITONEAL CATH TUNNEL,"5,180.00"
BURLINGTON,10000173,INSERT DIALYSIS CATH PERMANENT,"4,750.00"
BURLINGTON,10000177,INSERT GASTROSTOMY TUBE W S&I,"1,500.00"
BURLINGTON,10000178,INSERT DUODENUM/J-TUBE W/S&I,"1,700.00"
BURLINGTON,10000180,CONVERT TO G-J TUBE W/S&I,"1,310.00"
BURLINGTON,10000181,CHANGE TUBE GASTRO/CECUM W/S&I,974.00
BURLINGTON,10000182,CHANGE TUBE SM BOWEL W/S&I,944.00
BURLINGTON,10000183,CHANGE G-J TUBE W/S&I,675.00
BURLINGTON,10000184,CLEAR OBSTRUCTED GI TUBE W/S&I,953.00
BURLINGTON,10000185,INJECTIONS GI TUBE EVAL W/S&I,935.00
BURLINGTON,10000186,ABLATION ABDOMEN/PERITONEUM,"13,650.00"
BURLINGTON,10000189,CHANGE URETERAL STENT-PERC S&I,"3,440.00"
BURLINGTON,10000190,REMOVE URETERAL STENT-PERC S&I,"3,440.00"
BURLINGTON,10000193,CHANGE TRANSNEPHRIC STENT S&I,"2,400.00"
BURLINGTON,10000194,REMOVE NEPHROSTOMY TUBE/FLUORO,887.00
BURLINGTON,10000195,ASPIRATE RENAL CYST/PELVIS,"1,610.00"
BURLINGTON,10000198,CRYOABLATION RENAL TUMOR(S),"15,190.00"
BURLINGTON,10000199,CHANGE URETEROSTOMY TUBE,"2,260.00"
BURLINGTON,10000202,INSERT SUPRAPUBIC CATH,"2,860.00"
BURLINGTON,10000203,INJECT CYSTOGRAM,575.00
BURLINGTON,10000205,BLADDER IRRIGATE OR INSTALLATION,376.00
BURLINGTON,10000206,STRAIGHT CATH,178.00
BURLINGTON,10000207,FOLEY CATH INSERTION,308.00
BURLINGTON,10000208,BLADDER CATH COMPLEX,470.00
BURLINGTON,10000209,CYSTOSTOMY TUBE CHANGE,305.00
BURLINGTON,10000210,BLADDER SCAN-RESIDUAL URINE,176.00
BURLINGTON,10000212,CIRCUMCISION,200.00
BURLINGTON,10000214,"PROSTATE, NEEDLE BIOPSIES","1,770.00"
BURLINGTON,10000216,HYSTEROSALPINGOGRAM INJECT,967.00
BURLINGTON,10000220,TUBAL LIGATION POST PARTUM,"1,390.00"
BURLINGTON,10000221,TUBAL LIGATION WITH C-SECTION,515.00
BURLINGTON,10000226,FETAL CONTRACTION STRESS TEST,722.00
BURLINGTON,10000227,FETAL NON STRESS TEST,410.00
BURLINGTON,10000231,CERVICAL DILATOR INSERTION,570.00
BURLINGTON,10000234,"VERSION, W/WO TOCOLYSIS","1,170.00"
BURLINGTON,10000235,DELIVERY PLACENTA,950.00
BURLINGTON,10000236,AMNIOINFUSION,375.00
BURLINGTON,10000237,INTRAUTERINE PRESSURE MONITORING,345.00
BURLINGTON,10000238,BX THYROID NEEDLE,"1,140.00"
BURLINGTON,10000251,LUMBAR PUNCTURE DIAGNOSTIC,692.00
BURLINGTON,10000252,EPIDURAL BLOOD OR CLOT PATCH,"1,450.00"
BURLINGTON,10000253,INJECT FOR MYELOGRAM or CT LUMBAR,"1,350.00"
BURLINGTON,10000254,DISKECTOMY/PERCUTANEOUS LUMBAR,"5,300.00"
BURLINGTON,10000258,EPIDURAL INJ 1ST LEVEL W/ IMAGING,"2,460.00"
BURLINGTON,10000259,INJECT NERVE OCCIPITAL,718.00
BURLINGTON,10000261,NERVE BLOCK CELIAC PLEXUS,"1,950.00"
BURLINGTON,10000266,FB CORNEA NO SLIT,330.00
BURLINGTON,10000267,FB CORNEA W/SLIT,330.00
BURLINGTON,10000269,FB REMOVAL EAR,130.00
BURLINGTON,10000270,REMOVE EAR WAX W/INSTRUMENT UNILAT,100.00
BURLINGTON,10000273,XR EYE FOREIGN BODY,202.00
BURLINGTON,10000274,XR MANDIBLE PARTIAL,454.00
BURLINGTON,10000275,XR MANDIBLE COMPLETE,678.00
BURLINGTON,10000276,XR FACIAL BONES < 3 VIEW,410.00
BURLINGTON,10000277,XR FACIAL BONES COMPLETE,612.00
BURLINGTON,10000278,XR NASAL BONES,575.00
BURLINGTON,10000280,XR ORBITS MINIMUM 4 VIEWS,494.00
BURLINGTON,10000281,XR SINUSES < 3 VIEW,440.00
BURLINGTON,10000282,XR SINUSES COMPLETE,657.00
BURLINGTON,10000283,XR SKULL < 4 VIEW,425.00
BURLINGTON,10000284,XR SKULL COMPLETE,635.00
BURLINGTON,10000290,XR NECK SOFT TISSUES,409.00
BURLINGTON,10000293,CT HEAD W/O DYE,"2,420.00"
BURLINGTON,10000294,CT HEAD W/DYE,"2,620.00"
BURLINGTON,10000295,CT HEAD W/WO DYE,"3,830.00"
BURLINGTON,10000296,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/O DYE,"2,420.00"
BURLINGTON,10000297,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/DYE,"2,620.00"
BURLINGTON,10000298,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/WO  DYE,"3,830.00"
BURLINGTON,10000299,CT MAXILLIOFACIAL W/O DYE,"2,420.00"
BURLINGTON,10000303,CT MAXILLIOFACIAL W/DYE,"2,620.00"
BURLINGTON,10000304,CT MAXILLIOFACL W/WO DYE,"3,830.00"
BURLINGTON,10000305,CT NECK W/O DYE,"2,420.00"
BURLINGTON,10000306,CT NECK W/DYE,"2,620.00"
BURLINGTON,10000307,CT NECK W/WO DYE,"3,830.00"
BURLINGTON,10000308,CT ANGIO HEAD,"2,940.00"
BURLINGTON,10000309,CT ANGIO NECK,"2,940.00"
BURLINGTON,10000310,MR ORBIT/FACE/NECK W/O DYE,"4,160.00"
BURLINGTON,10000312,MR ORBIT/FACE/NECK W/WO DYE,"6,440.00"
BURLINGTON,10000313,MRA HEAD W/O DYE,"4,160.00"
BURLINGTON,10000314,MRA HEAD W/DYE,"4,360.00"
BURLINGTON,10000315,MRA HEAD W/WO DYE,"6,440.00"
BURLINGTON,10000316,MRA NECK W/O DYE,"4,160.00"
BURLINGTON,10000317,MRA NECK W/DYE,"4,360.00"
BURLINGTON,10000318,MRA NECK W/WO DYE,"6,440.00"
BURLINGTON,10000319,MR BRAIN W/O DYE,"4,160.00"
BURLINGTON,10000320,MR BRAIN W/DYE,"4,360.00"
BURLINGTON,10000321,MR BRAIN W/WO DYE,"6,440.00"
BURLINGTON,10000324,XR CHEST 1 VIEW,254.00
BURLINGTON,10000325,XR CHEST 2 VIEWS,305.00
BURLINGTON,10000326,XR CHEST 3 VIEWS,381.00
BURLINGTON,10000331,XR RIBS BILATERAL 3 VIEW,515.00
BURLINGTON,10000332,XR RIBS W/CHEST BILATERAL 4 VIEW,600.00
BURLINGTON,10000333,XR STERNUM 2 VIEW,447.00
BURLINGTON,10000334,XR STERNOCLAVICULAR JOINT 3 VIEW,402.00
BURLINGTON,10000335,CT CHEST W/O DYE,"2,420.00"
BURLINGTON,10000336,CT CHEST W/DYE,"2,620.00"
BURLINGTON,10000337,CT CHEST W/WO DYE,"3,830.00"
BURLINGTON,10000338,CT ANGIO CHEST,"2,940.00"
BURLINGTON,10000339,MR CHEST W/O DYE,"4,160.00"
BURLINGTON,10000341,MR CHEST W/WO DYE,"6,440.00"
BURLINGTON,10000343,XR SPINE ANY LEVEL 1 VIEW,355.00
BURLINGTON,10000344,XR CERVICAL SPINE 2-3 VIEWS,426.00
BURLINGTON,10000345,XR CERVICAL SPINE 4-5 VIEWS,621.00
BURLINGTON,10000346,XR CERVICAL SPINE 6 VIEWS >,710.00
BURLINGTON,10000348,XR THORACIC SPINE 2 VIEW,426.00
BURLINGTON,10000349,XR THORACIC SPINE 3 VIEW,490.00
BURLINGTON,10000350,XR THORACIC SPINE 4 VIEW,554.00
BURLINGTON,10000351,XR THORACOLUMBAR SPINE 2 VIEW,462.00
BURLINGTON,10000353,XR LUMBAR SPINE 2 OR 3 VIEW,459.00
BURLINGTON,10000354,XR LUMBAR SPINE 4 VIEW MIN,643.00
BURLINGTON,10000355,XR L SPINE BENDING 6 VIEW OR >,840.00
BURLINGTON,10000357,CT C SPINE W/O DYE,"2,420.00"
BURLINGTON,10000358,CT C SPINE W/DYE,"2,620.00"
BURLINGTON,10000359,CT C SPINE W/WO DYE,"3,830.00"
BURLINGTON,10000360,CT T SPINE W/O DYE,"2,420.00"
BURLINGTON,10000361,CT T SPINE W/DYE,"2,620.00"
BURLINGTON,10000363,CT L SPINE W/O DYE,"2,420.00"
BURLINGTON,10000364,CT L SPINE W/DYE,"2,620.00"
BURLINGTON,10000366,MR C SPINE W/O DYE,"4,160.00"
BURLINGTON,10000367,MR C SPINE W/DYE,"4,360.00"
BURLINGTON,10000368,MR T SPINE WO DYE,"4,160.00"
BURLINGTON,10000369,MR T SPINE W/DYE,"4,360.00"
BURLINGTON,10000370,MR L SPINE WO DYE,"4,160.00"
BURLINGTON,10000371,MR L SPINE W DYE,"4,360.00"
BURLINGTON,10000372,MR C SPINE W/WO DYE,"6,440.00"
BURLINGTON,10000373,MR T SPINE W/WO DYE,"6,440.00"
BURLINGTON,10000374,MR L SPINE W/WO DYE,"6,440.00"
BURLINGTON,10000376,XR PELVIS 1 OR 2 VIEW,309.00
BURLINGTON,10000377,XR PELVIS COMPLETE 3 VIEW MIN,417.00
BURLINGTON,10000378,CT ANGIO PELVIS,"2,940.00"
BURLINGTON,10000379,CT PELVIS W/O DYE,"2,420.00"
BURLINGTON,10000380,CT PELVIS W/DYE,"2,620.00"
BURLINGTON,10000381,CT PELVIS W/WO DYE,"3,830.00"
BURLINGTON,10000382,MR PELVIS W/O DYE,"4,160.00"
BURLINGTON,10000384,MR PELVIS W/WO DYE,"6,440.00"
BURLINGTON,10000385,XR SACROILIAC JOINTS < 3 VIEWS,388.00
BURLINGTON,10000386,XR SACROILIAC JOINTS 3 VIEW MIN,485.00
BURLINGTON,10000387,XR SACRUM & COCCYX 2 VIEW MIN,443.00
BURLINGTON,10000388,MYELOGRAM CERVICAL S&I,"1,910.00"
BURLINGTON,10000389,MYELOGRAM THORACIC S&I,"1,910.00"
BURLINGTON,10000390,MYELOGRAM LUMBAR S&I,"1,910.00"
BURLINGTON,10000395,DISKOGRAM L/S EA LEVEL S&I,"2,950.00"
BURLINGTON,10000397,XR SCAPULA COMPLETE,439.00
BURLINGTON,10000400,XR SHOULDER ARTHROGRAM S&I,"1,470.00"
BURLINGTON,10000401,XR AC JOINTS BILATERAL,450.00
BURLINGTON,10000413,XR FINGER(S) 2 VIEW MINIMUM,312.00
BURLINGTON,10000425,XR HIP ARTHROGRAM S&I,"1,470.00"
BURLINGTON,10000432,XR KNEES STANDING AP BILATERAL,384.00
BURLINGTON,10000433,XR KNEE ARTHROGRAM S&I,"1,470.00"
BURLINGTON,10000436,XR ANKLE 2 VIEW,267.00
BURLINGTON,10000437,XR ANKLE COMPLETE,320.00
BURLINGTON,10000442,XR TOE(S) 2 VIEW MIN,267.00
BURLINGTON,10000453,XR ABDOMEN 1 VIEW,283.00
BURLINGTON,10000454,XR ABDOMEN 2 VIEWS,354.00
BURLINGTON,10000455,XR ABDOMEN 3 OR MORE VIEWS,425.00
BURLINGTON,10000456,"XR ABDOMEN, ACUTE SERIES",495.00
BURLINGTON,10000457,CT ABDOMEN W/O DYE,"2,420.00"
BURLINGTON,10000458,CT ABDOMEN W/DYE,"2,620.00"
BURLINGTON,10000459,CT ABDOMEN W/WO DYE,"3,830.00"
BURLINGTON,10000460,CT ANGIO ABDOMEN,"2,940.00"
BURLINGTON,10000461,MR ABDOMEN W/O DYE,"4,160.00"
BURLINGTON,10000463,MR ABDOMEN W/WO DYE,"6,440.00"
BURLINGTON,10000464,XR ESOPHAGRAM,672.00
BURLINGTON,10000465,XR SWALLOWING FUNCTION W/VIDEO,741.00
BURLINGTON,10000466,XR UPPER GI W/O KUB,852.00
BURLINGTON,10000467,XR UPPER GI W/KUB,"1,070.00"
BURLINGTON,10000468,XR UPPER GI W SMALL BOWEL,"1,290.00"
BURLINGTON,10000469,XR UPPER GI W/CONTRAST W/O KUB,940.00
BURLINGTON,10000470,XR UPPER GI W/CONTRAST W/KUB,"1,170.00"
BURLINGTON,10000471,XR UPPER GI W/CONTRAST & SM BOWEL,"1,410.00"
BURLINGTON,10000472,XR SMALL BOWEL SERIES,800.00
BURLINGTON,10000473,CT COLON DX W/O DYE,"2,420.00"
BURLINGTON,10000475,CT COLON SCREENING,890.00
BURLINGTON,10000476,XR COLON BARIUM ENEMA,716.00
BURLINGTON,10000477,XR COLON DOUBLE CONTRAST,930.00
BURLINGTON,10000478,ENEMA THERAPEUTIC AIR/CONTRAST,486.00
BURLINGTON,10000479,XR CHOLANGIOGRAM INTRAOP S&I,983.00
BURLINGTON,10000484,ERCP BILE DUCT S&I,742.00
BURLINGTON,10000485,ERCP PANCREATIC DUCT S&I,742.00
BURLINGTON,10000486,ERCP BILE & PANCREAS DUCT S&I,925.00
BURLINGTON,10000487,INSERT LONG FEEDING TUBE S&I,481.00
BURLINGTON,10000488,DILATION BILIARY DUCT W/WO STENT S&I,"1,690.00"
BURLINGTON,10000489,XR IVP WITH OR W/O TOMOGRAM,"1,010.00"
BURLINGTON,10000492,XR UROGRAPHY RETROGRADE,"1,010.00"
BURLINGTON,10000493,XR UROGRAPHY ANTEGRADE S&I,857.00
BURLINGTON,10000494,XR CYSTOGRAM 3 VIEW MIN S&I,775.00
BURLINGTON,10000495,XR URETHROGRAM RETROGRADE S&I,785.00
BURLINGTON,10000496,XR CYSTOGRAM VOIDING S&I,"1,050.00"
