"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
HARTFORD,176,PULMONARY EMBOLISM W/O MCC,"21,214"
HARTFORD,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"37,905"
HARTFORD,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"25,496"
HARTFORD,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"29,764"
HARTFORD,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"20,328"
HARTFORD,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"29,655"
HARTFORD,194,SIMPLE PNEUMONIA & PLEURISY W CC,"22,675"
HARTFORD,291,HEART FAILURE & SHOCK W MCC,"29,241"
HARTFORD,292,HEART FAILURE & SHOCK W CC,"22,641"
HARTFORD,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"21,901"
HARTFORD,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"16,456"
HARTFORD,312,SYNCOPE & COLLAPSE,"18,521"
HARTFORD,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"22,829"
HARTFORD,378,G.I. HEMORRHAGE W CC,"24,086"
HARTFORD,389,G.I. OBSTRUCTION W CC,"21,208"
HARTFORD,390,G.I. OBSTRUCTION W/O CC/MCC,"19,980"
HARTFORD,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","19,069"
HARTFORD,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"51,018"
HARTFORD,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"27,300"
HARTFORD,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"64,945"
HARTFORD,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"65,774"
HARTFORD,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"68,213"
HARTFORD,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"74,686"
HARTFORD,603,CELLULITIS W/O MCC,"21,677"
HARTFORD,638,DIABETES W CC,"22,318"
HARTFORD,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","17,626"
HARTFORD,683,RENAL FAILURE W CC,"33,308"
HARTFORD,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"22,589"
HARTFORD,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"37,524"
HARTFORD,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"29,307"
HARTFORD,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"18,216"
HARTFORD,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"19,593"
