"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
BURLINGTON,039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"28,558"
BURLINGTON,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"33,621"
BURLINGTON,176,PULMONARY EMBOLISM W/O MCC,"29,822"
BURLINGTON,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"23,343"
BURLINGTON,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"22,154"
BURLINGTON,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"19,190"
BURLINGTON,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"28,470"
BURLINGTON,194,SIMPLE PNEUMONIA & PLEURISY W CC,"20,425"
BURLINGTON,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"14,593"
BURLINGTON,252,OTHER VASCULAR PROCEDURES W MCC,"61,028"
BURLINGTON,253,OTHER VASCULAR PROCEDURES W CC,"60,879"
BURLINGTON,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"86,007"
BURLINGTON,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"64,676"
BURLINGTON,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","30,663"
BURLINGTON,291,HEART FAILURE & SHOCK W MCC,"29,029"
BURLINGTON,292,HEART FAILURE & SHOCK W CC,"21,126"
BURLINGTON,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"27,175"
BURLINGTON,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"24,196"
BURLINGTON,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"16,676"
BURLINGTON,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"42,978"
BURLINGTON,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"64,806"
BURLINGTON,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"49,452"
BURLINGTON,377,G.I. HEMORRHAGE W MCC,"39,505"
BURLINGTON,378,G.I. HEMORRHAGE W CC,"30,762"
BURLINGTON,389,G.I. OBSTRUCTION W CC,"23,605"
BURLINGTON,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","22,049"
BURLINGTON,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"32,258"
BURLINGTON,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"27,642"
BURLINGTON,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"17,156"
BURLINGTON,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"52,494"
BURLINGTON,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"57,232"
BURLINGTON,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"50,038"
BURLINGTON,603,CELLULITIS W/O MCC,"17,225"
BURLINGTON,638,DIABETES W CC,"19,294"
BURLINGTON,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","27,139"
BURLINGTON,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","23,835"
BURLINGTON,682,RENAL FAILURE W MCC,"25,474"
BURLINGTON,683,RENAL FAILURE W CC,"26,921"
BURLINGTON,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"22,153"
BURLINGTON,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"26,109"
BURLINGTON,812,RED BLOOD CELL DISORDERS W/O MCC,"26,649"
BURLINGTON,853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"87,818"
BURLINGTON,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"38,910"
BURLINGTON,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"28,727"
BURLINGTON,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"30,637"
BURLINGTON,917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"32,314"
BURLINGTON,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"18,262"
BURLINGTON,948,SIGNS & SYMPTOMS W/O MCC,"26,864"
BURLINGTON,951,OTHER FACTORS INFLUENCING HEALTH STATUS,"6,439"
