"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
GRAFTON,038,EXTRACRANIAL PROCEDURES W CC,"37,533"
GRAFTON,039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"33,489"
GRAFTON,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"43,337"
GRAFTON,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"46,948"
GRAFTON,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"29,262"
GRAFTON,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"24,479"
GRAFTON,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"25,285"
GRAFTON,092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"29,486"
GRAFTON,101,SEIZURES W/O MCC,"20,992"
GRAFTON,149,DYSEQUILIBRIUM,"26,452"
GRAFTON,163,MAJOR CHEST PROCEDURES W MCC,"90,408"
GRAFTON,164,MAJOR CHEST PROCEDURES W CC,"68,279"
GRAFTON,165,MAJOR CHEST PROCEDURES W/O CC/MCC,"55,055"
GRAFTON,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"79,392"
GRAFTON,167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"56,688"
GRAFTON,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"42,706"
GRAFTON,175,PULMONARY EMBOLISM W MCC,"24,526"
GRAFTON,176,PULMONARY EMBOLISM W/O MCC,"22,342"
GRAFTON,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"43,629"
GRAFTON,184,MAJOR CHEST TRAUMA W CC,"31,558"
GRAFTON,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"36,539"
GRAFTON,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"30,653"
GRAFTON,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"21,824"
GRAFTON,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"17,567"
GRAFTON,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"35,113"
GRAFTON,194,SIMPLE PNEUMONIA & PLEURISY W CC,"22,085"
GRAFTON,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"20,792"
GRAFTON,202,BRONCHITIS & ASTHMA W CC/MCC,"24,201"
GRAFTON,203,BRONCHITIS & ASTHMA W/O CC/MCC,"16,751"
GRAFTON,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"60,871"
GRAFTON,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"125,783"
GRAFTON,233,CORONARY BYPASS W CARDIAC CATH W MCC,"159,933"
GRAFTON,234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"134,357"
GRAFTON,236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"100,965"
GRAFTON,242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"101,449"
