"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
AURORA BAYCARE,003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","335,275"
AURORA BAYCARE,004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","255,211"
AURORA BAYCARE,023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"129,294"
AURORA BAYCARE,024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"96,697"
AURORA BAYCARE,025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"103,298"
AURORA BAYCARE,026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"77,789"
AURORA BAYCARE,027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"68,213"
AURORA BAYCARE,038,EXTRACRANIAL PROCEDURES W CC,"52,611"
AURORA BAYCARE,039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"37,345"
AURORA BAYCARE,041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"49,617"
AURORA BAYCARE,054,NERVOUS SYSTEM NEOPLASMS W MCC,"33,470"
AURORA BAYCARE,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","55,336"
AURORA BAYCARE,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"49,476"
AURORA BAYCARE,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"31,533"
AURORA BAYCARE,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"24,706"
AURORA BAYCARE,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"26,505"
AURORA BAYCARE,074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"20,875"
AURORA BAYCARE,083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","27,684"
AURORA BAYCARE,086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","32,458"
AURORA BAYCARE,087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","16,446"
AURORA BAYCARE,092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"24,685"
AURORA BAYCARE,100,SEIZURES W MCC,"54,874"
AURORA BAYCARE,101,SEIZURES W/O MCC,"22,972"
AURORA BAYCARE,103,HEADACHES W/O MCC,"17,269"
