DESCRIPTION,,PRICE
HB MED-SUR-GY/PVT,,"$2,696.00"
TELE PRIVATE MED SURG,,"$2,978.00"
HB  PVT GYN,,"$2,696.00"
TELE PRIVATE  GYN,,"$2,978.00"
PRIVATE OB,,"$2,838.00"
TELE PRIVATE OB,,"$3,115.00"
PRIVATE PSY,,"$2,501.00"
INPATIENT HOSPICE,,"$2,810.00"
SEMIPRIVATE MEDSURG,,"$1,910.00"
TELE SEMIPRIVATE,,"$2,248.00"
SEMIPRIVATE GYN,,"$1,910.00"
TELE SEMIPRIVATE GYN,,"$2,248.00"
SEMIPRIVATE OB,,"$2,080.00"
TELE SEMIPRIVATE OB,,"$2,108.00"
SemiPrivate Psych,,"$2,315.00"
TELE.ISOLATION,,"$3,075.00"
ISOLATION MED SURG,,"$2,964.00"
ISOLATION MED SURG,,"$2,964.00"
ISOLATION OB,,"$3,142.00"
TELE.ISOLATION OB,,"$3,157.00"
ISOLATION HIGH-RISK SCU,,"$3,485.00"
ISOLATION  GYN,,"$2,964.00"
GENERAL NURSERY,,$748.00
NURSERY/LEVEL I,,"$1,026.00"
NURSERY LEVEL I,,"$1,026.00"
NURSERY LEVEL II,,"$3,049.00"
NURSERY LEVEL III,,"$5,078.00"
NURSERY/LEVEL IV,,"$5,922.00"
INTENSIVE CARE ICU OB,,"$5,732.00"
INTENSIVE CARE ICU SURGICAL,,"$5,732.00"
INTENSIVE CARE ICU MEDICAL,,"$5,732.00"
INTERMEDIATE CARE,,"$3,513.00"
Intermediate Care Burn,,"$8,145.00"
INTERMEDIATE CARE,,"$3,513.00"
Intensive Care ICU Burn,,"$8,884.00"
INTENSIVE CARE ICU MEDICAL,,"$5,732.00"
INTERMEDIATE CORONARY CARE UNIT,,"$4,190.00"
INTERMEDIATE CARE,,"$3,513.00"
PERITONEAL DIALYSIS OP,,"$1,724.00"
IV HYDRA INITIAL (31 MIN TO 1 HR),,$801.00
IV HYDRA ADD'L (31 MIN TO 1 HR),,$269.00
IV HYDRA ADD'L (31 MIN TO 1 HR),,$269.00
"IV INFUS THER,PROPHYLAX,DX INITIAL (16 MIN TO 1 HR",,"$1,398.00"
"IV INFUS THER,PROPHYLAX,DX ADD'L (31 MIN TO 1 HR)",,$269.00
"IV INFUS THER,PROPHYLAX,DX ADD'L NEW MED (31 MIN T",,$406.00
"IV INFUS THER,PROPHYLAX,DX ADD'L CONCUR (31 MIN TO",,$445.00
INJECT-IM/SQ ONLY,,$203.00
"IV PUSH - THER,PROPHYLAX,DX 1ST MED",,$445.00
"IV PUSH - THER,PROPHYLAX,DX ADD'L MED",,$406.00
"IV PUSH - THER,PROPHYLAX,DX EA PUSH SAME MED",,$271.00
PICC/PORTACATH LINE FLUSH,,$219.00
"IV INFUS THER,PROPHYLAX,DX ADD'L NEW MED (31 MIN T",,$406.00
IV HYDRA INITIAL (31 MIN TO 1 HR),,$801.00
"IV INFUS THER,PROPHYLAX,DX INITIAL (16 MIN TO 1 HR",,"$1,398.00"
IV HYDRA ADD'L (31 MIN TO 1 HR),,$269.00
PICC/PORTACATH LINE FLUSH,,$219.00
"IV PUSH - THER,PROPHYLAX,DX EA PUSH SAME MED",,$271.00
"IV PUSH - THER,PROPHYLAX,DX ADD'L MED",,$406.00
"IV PUSH - THER,PROPHYLAX,DX 1ST MED",,$445.00
INJECT-IM/SQ DUR INFUS,,$203.00
"IV INFUS THER,PROPHYLAX,DX ADD'L CONCUR (31 MIN TO",,$445.00
"IV INFUS THER,PROPHYLAX,DX ADD'L NEW MED (31 MIN T",,$406.00
"IV INFUS THER,PROPHYLAX,DX ADD'L (31 MIN TO 1 HR)",,$269.00
IV HYDRA ADD'L (31 MIN TO 1 HR),,$269.00
IV HYDRA INITIAL (31 MIN TO 1 HR),,$801.00
"IV PUSH - THER,PROPHYLAX,DX 1ST MED",,$445.00
"IV PUSH - THER,PROPHYLAX,DX ADD'L MED",,$406.00
"IV INFUS THER,PROPHYLAX,DX ADD'L CONCUR (31 MIN TO",,$445.00
"IV PUSH - THER,PROPHYLAX,DX 1ST MED",,$445.00
"IV PUSH - THER,PROPHYLAX,DX ADD'L MED",,$406.00
SET CATHETER .035IN 24CM 70CM SIDEHOLE REMOVABLE S,,"$1,875.00"
GENERATOR PULSE SQ-RS & TRAK ELECTRODE,,$0.01
DFBR CRD EVERA MRI SURESCAN DF-1 PIN PLG XT DR,,"$41,500.00"
DFBR CRD VISIA AF MRI DF4 VR,,"$36,500.00"
VISIA VR ICD (SINGLE CHAMBER ICD)  DF 1 HEADER,,"$36,500.00"
REFILL/MAINT IMPLANT PUMP,,$497.00
"PHLEBOTOMY,VEN-1OPC",,$34.00
comp metabolic panel,,$472.00
"T CELL RECEPTOR (TCR) BETA GENE  REARRANG, PCR (SO",,$597.00
UNLISTED CHEMISTRY PROCEDURE (SO)GENE,,$132.00
T -CELL ANTIGEN  RECEPTOR BETA  (SO) CLON,,$597.00
T -CELL ANTIGEN  RECEPTOR GAMMA (SO) CLON,,$824.00
UNLISTED CHEMISTRY PROCEDURE (SO) CLON,,$132.00
HLA- B57:01 DETERMINATION-PCR (QUEST),,$370.00
HLA -B HIGH RESOLUTION- PCR (QUEST),,$463.00
"EBOLA -CDC,RT-PCR,EVD",,$114.00
"BENZODIAZPNE,UR-EIA",,$321.00
COCAIN METAB.UR-EIA,,$321.00
"PHENCYCLIDNE,UR-EIA",,$321.00
"OPIATES,UR-EIA",,$425.00
"THC, UR-EIA",,$321.00
"BARBITURATE,UR-EIA",,$297.00
AMIKACIN-RANDOM,,$265.00
AMITRIPTYLINE-RANDOM,,$93.00
CLOZAPINE (SO),,$299.00
CARBAMAZPINE-RANDOM,,$279.00
CYCLOSPORINE,,$238.00
DESIPRAMINE-RANDOM,,$124.00
"DIGOXIN, TOTAL",,$281.00
"VALPROIC ACID, TOTAL",,$319.00
DOXEPIN-RANDOM,,$123.00
ETHOSUXIMIDE-RANDOM,,$86.00
GENTAMICIN-RANDOM,,$201.00
HALOPERIDOL,,$120.00
IMIPRAMINE-RANDOM,,$135.00
LIDOCAINE-RANDOM,,$160.00
LITHIUM-RANDOM,,$225.00
NORTRIPTYLINE-RANDOM,,$117.00
PHENOBARB-RANDOM,,$236.00
DILANTIN-RANDOM,,$287.00
"PHENYTOIN,FREE",,$205.00
PRIMIDONE/MYSO-RAND.,,$188.00
PROCAINAMIDE-RANDOM,,$191.00
QUINIDINE-RANDOM,,$160.00
SALICYLATE-QUANT,,$333.00
THEOPHYLLINE-RANDOM,,$173.00
TOBRAMYCIN-RANDOM,,$263.00
TOPIRAMATE/TOPAMAZ,,$94.00
VANCOMYCIN-RANDOM,,$292.00
METHOTREXATE-RANDOM,,$218.00
"GABAPENTIN, WHL BLD/SER/PLASMA",,$433.00
AMIODARONE/CORDARONE,,$218.00
LAMOTRIGINE (SO),,$433.00
OLANZAPINE/ZYPREXA,,$218.00
ACETYLCHOLINESTERASE-AMNIO,,$37.00
"CARNITINE, ESTER",,$132.00
FECAL OCCULT BLOOD TEST,,$58.00
"CALCIUM, IONIZED",,$332.00
"GLUCOSE-2HR PP,WB",,$251.00
"GLUCOSE-FBS,WB",,$251.00
"GLUCOSE-FBS,WB MICRO",,$251.00
"GLUCOSE-RANDOM,WB",,$251.00
"GLU-RANDOM,WB MICRO",,$251.00
NEWBORN SCREEN,,$204.00
T-TRANSGLUTAMIN IGG,,$156.00
ANTI GM1 AB TITER,,$411.00
ANTI ASIALO-GM-AB,,$411.00
ANTI GQ1B AB TITER,,$411.00
ANTI GD 1B AB TITER,,$411.00
MITOCHONDRIAL AB,,$411.00
"LACTATE, PLASMA",,$258.00
"PHENYLALANINE (PKU), BLOOD",,$48.00
PROSTATIC ACID PHOSPHATASE,,$95.00
"PHOSPHORUS, SERUM",,$128.00
"PSA, TOTAL SCREENING",,$237.00
PREG ASSOC PLASMA PROTEIN,,$94.00
D-HCG FREE & INTACT,,$374.00
"FETAL SCREEN,RHIG",,$150.00
"OSMOTIC FRAGILITY,ERYTHROCYTES",,$252.00
DONOR HGB S-ARC,,$166.00
EPICOCCUM PURPURASCN,,$168.00
NEUTROPHIL CYTO AB - ARC,,$350.00
PLATELET AB SCREEN - ARC,,$420.00
ANTIPHOSPHOLIPID IGG,,$581.00
ANTIPHOSPHOLIPID IGM,,$581.00
ANTIHISTONE AB,,$272.00
MURINE TYPHUS IGG,,$47.00
PIGEON SERUM,,$38.00
T. CANDIDUS,,$38.00
T.VULGARIS,,$38.00
S. VIRIDIS,,$38.00
"CD19,TOTAL B %",,$210.00
"NATURAL KILLER (NK)CELLS,TOTAL",,$210.00
"CD56+16,NK%",,$210.00
CANDIDA SKIN TEST,,$212.00
ADENOVIRUS AB,,$65.00
BLASTOMYCES AB,,$80.00
COCCIDIODES AB,,$141.00
CMV TESTED UNIT,,$202.00
INFLUENZA A AB,,$133.00
INFLUENZA B AB,,$133.00
PARAINFLUENZA-1 AB,,$133.00
PARAINFLUENZA-2 AB,,$133.00
PARAINFLUENZA-3 AB,,$133.00
MUMPS IGM,,$131.00
MUMPS IGG,,$131.00
MICROPOLYSPORA FAENI,,$40.00
RSV AB,,$186.00
"HLA TYPING (A,B,C)-ARC",,"$1,864.00"
ANTYPING (DR)-ARC,,"$2,463.00"
ANTIBODY SCREEN - ARC,,$311.00
"AB SCREEN, PRENATAL",,$311.00
ANTIBODY SCREEN,,$311.00
ELUATE ANTIBODY I.D.,,$479.00
RBC ELUTION -ARC,,$479.00
AB(S) IDENT-ELUTION 009910195,,$479.00
ANTIBODY I.D. GEL,,$539.00
"ELUTION ABID, ARC",,$539.00
ELUTION AB IDENT.,,$539.00
INSIGNIFICANT AB ID,,$539.00
SIGNIFICANT AB ID,,$539.00
"DIRECT COOMBS, CORD - ARC",,$141.00
"AHG, INDIRECT TITER",,$147.00
"BLOOD TYPING, SEROLOGIC, ABO-ARC",,$143.00
"BLOOD TYPING, SEROLOGIC, RH (D)-ARC",,$143.00
"*AG SC, COMP BLD/UNIT,REAG L1",,"$2,572.00"
BLOOD TYPE ANTIGEN DONOR EA,,$704.00
"COMPATIBILITY SCREEN, SERUM -",,"$2,572.00"
"PATIENT AG TYPE 14, AHG - ARC",,$300.00
"PAT AG TYPE1, AHG, SEROLOGIC",,$300.00
Patiient Duffy A Antigen Typing,,$300.00
Patient Duffy B Antigen Typing,,$300.00
Patient S Antigen Typing,,$300.00
Patient  Sml S  AntigenTyping,,$300.00
Patient LEA Antigen Typing,,$300.00
Patient LEB Antigen Typing,,$300.00
Patient M Antigen Typing,,$300.00
Patient N Antigen Typing,,$300.00
"PAT AG TYPE10,AHG, SEROLOGIC",,$300.00
Patient  Sml K Antigen Typing,,$300.00
"PAT AG TYPE1, SAL, SEROLOGIC",,$300.00
Patient  Sml C Antigen Typing,,$300.00
Patient E Antigen Typing,,$300.00
Patient  Sml E Antigen Typing,,$300.00
Patient JKA Antigen Typing,,$300.00
Patient JKB Antigen Typing,,$300.00
Patient Kell Antigen Typing,,$300.00
Patient  C Antigen Typing,,$300.00
"PAT AG TYPE9, SAL, SEROLOGIC",,$300.00
"DONOR AG TYPE,AHG, SEROLOGIC",,$300.00
"DONOR AG TYPE,SAL, SEROLOGIC",,$300.00
"RH PHENOTYPE - ARC, SEROLOGIC",,$679.00
"CHARGE:XMATCH,SALINE",,$263.00
COMPATIBILITY EA- MT,,$263.00
"ANTIBODY SCREEN, TUBE",,$420.00
"CROSSMATCH, INCUBATION",,$420.00
"PLATELET X-MATCH, ARC",,$420.00
"PLATELET CROSSMATCH, ARC",,$420.00
"CROSSMATCH,INCUBATION",,$420.00
"ANTIBODY SCREEN, PEG",,$441.00
"CROSSMATCH, AHG - ARC",,$441.00
"CHARGE:XMATCH,COOMBS",,$441.00
"CROSSMATCH, ELECTRONIC",,$387.00
"FFP, THAWING",,$269.00
"AGGLUTINS/HEMOLYSINS, AUTO - A",,$139.00
"AGGLUTINS/HEMOLYSINS, INCUBATE",,$139.00
"VOLUME REDUC, BLOOD & PROD",,$130.00
"RBC PRETREATMENT, CHEM - ARC",,$689.00
"RBC PRETREATMENT, ENZ - ARC",,$326.00
"RBC PRETREATMENT, ARC",,$827.00
"RBC PRETREATMENT, DRUG -ARC",,$689.00
"RBC PRETREATMENT, DILUTION - A",,$264.00
"RBC PRETREATMENT, INHIBITION,",,$751.00
"ADSORPTION, ARC",,$544.00
CHARGE:ALIQUOTING,,$380.00
"PLATELET TYPING, ARC",,"$2,697.00"
"ANTIGEN TYPE, HIGH INCIDENCE-",,"$2,697.00"
CONCENTRATION,,$120.00
"STOOL CULT, AEROBIC-CAMPY",,$144.00
"STOOL, CULT, AEROBIC-YERSINNIA",,$144.00
"HOMOGENIZATION, TISSUE",,$92.00
WET PREP,,$106.00
SKIN PREP: 10% KOH,,$147.00
HERPES VIRAL CULTURE,,$370.00
"CYTOMEGALOVIRUS, DNA",,$976.00
HIV /RNA PCR QUANT,,$790.00
"HIV-1 RNA ULTRA, QNT",,$790.00
"EBV DNA-PCR, QUAL",,$753.00
CSF EXAM-HEMATOLOGY,,$214.00
FLUID EXAM-HEME,,$214.00
SYNOVIAL FLUID CRYSTAL ID,,$150.00
"PERTUSSIS,STATE LAB",,$579.00
"FISH,AML, AML1/ETO,TRANSLOCATION8,21,PROBE",,$432.00
"FISH,AML, AML1/ETO,TRANSLOCATION8,21,100-300 CELLS",,$432.00
"FISH,MLL,11G23,GENE REARRANG,PROBE",,$394.00
"FISH,MLL,11G23,GENE REARRANG,100-300 CELLS",,$394.00
"SC ANEMIA,DNA PROBE,FETUS",,$236.00
"SC ANEMIA,DNA PROBE,PATH PROC LEV 2",,$529.00
"FISH,DUP 22Q11.2, PROBE",,$328.00
"FISH,DUP 22Q11.2, 100-300 CELLS",,$362.00
THYROGLOBULIN PANEL,,$68.00
"THYROGLOBULIN PANEL, ANTIBODY",,$69.00
"BRCAVANTAGE,BRCA1, BRCA2",,"$5,291.00"
"BRCAVANTAGE,GENE VARIANTS",,"$2,620.00"
"VASC ENDOTHELIAL GF,ELISA",,$511.00
POCT LACTATE VENOUS (METER),,$181.00
POCT TROPONIN VENOUS (METER),,$229.00
HLA I/II AB SCR PLT TRANS (SO),,$593.00
METHADONE - URINE,,$322.00
"FFP,THAWING,EA UNIT",,$269.00
D-HCG FREE & INTACT,,$214.00
"CHARGE: XMATCH, SALINE",,$263.00
VENIPUNCTURE,,$34.00
COMPATIBILITY EA- MT,,$263.00
QUANTIFERON-TB GOLD,,$264.00
SEROTONIN RELEASE ASSAY (SRA) UNFRACTIONATED,,$290.00
SEROTONIN RELEASE ASSAY (SRA) LMWH,,$290.00
MATERNI T21? PLUS,,"$1,153.00"
IMMUNOASSAY NONANTIBODY,,$68.00
NUCLEAR ANTIGEN ANTIBODY,,$71.00
ALLERGEN SPECIFIC IGE,,$32.00
MUMPS ANTIBODY,,$32.00
CMV ANTIBODY,,$24.00
INFLUENZA VIRUS ANTIBODY,,$25.00
CHORIONIC GONADOTROPIN TEST,,$144.00
QUANTITATIVE ASSAY DRUG,,$404.00
QUANTITATIVE ASSAY DRUG,,$201.00
PLATELET ANTIBODIES,,$347.00
ALLERGEN SPECIFIC IGE,,$378.00
NUCLEAR ANTIGEN ANTIBODY,,$144.00
BLOOD GLUCOSE CHECK,,$43.00
ALLEGEN - MOSQUITO Q,,$96.00
"OLIGOCLONAL BANDS,CSF(SO)",,$41.00
"PROTEIN,TOTAL AND ELECTROPHORESIS,CSF(SO)",,$101.00
"PROTEIN,TOTAL AND ELECTROPHORESIS,QNT,CSF(SO)",,$87.00
"VISCOSITY, SERUM(SO)",,$77.00
IA-2 ISLET CELL AB (SO),,$193.00
LYMPH SUB 1 B CELLS TOT (SO),,$206.00
LYMPH SUB 1 NK CELLS TOT (SO),,$196.00
LYMPH SUB 1 T CELLS TOT (SO),,$210.00
LYMPH SUB 1 T CELL RATIO (SO),,$311.00
CYTOGENETICS DNA PROBE,,$94.00
ADENOVIRUS ANTIBODY,,$88.00
PROTEIN WESTERN BLOT TEST,,$513.00
IMMUNOASSAY TUMOR OTHER,,$219.00
TISSUE EXAM BY PATHOLOGIST,,$205.00
DECALCIFY TISSUE,,$104.00
SPECIAL STAINS GROUP 2,,$145.00
BONE MARROW INTERPRETATION,,$700.00
ASSAY OF CITRATE,,$192.00
AMINO ACIDS SINGLE QUANT,,$68.00
TB TEST CELL IMMUN MEASURE,,$500.00
IMMUNOASSAY NONANTIBODY,,"$2,073.00"
ASSAY OF GLUCAGON,,$82.00
ASSAY OF SERUM ALBUMIN,,$10.00
ASSAY OF SEX HORMONE GLOBUL,,$35.00
ASSAY OF TOTAL TESTOSTERONE,,$50.00
IMMUNOASSAY QUANT NOS NONAB,,$996.00
GENOTYPE DNA HIV REVERSE T,,$159.00
PHENOTYPE DNA HIV W/CULTURE,,$855.00
PHENOTYPE DNA HIV W/CLT ADD,,$172.00
