Service Area,Description,Revenue Code, Charge Patient Pay 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist, PTT-LA MIXING STUDIES (BEAKER),LABORATORY - HEMATOLOGY [0305], 20 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist, URINE TEST (PREGNANCY),LABORATORY - CHEMISTRY [0301], 33 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"#10 BURN NET, BOX",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270], 115 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,(30 MIN) DIAB ED,OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING [0942], 116 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,(ACHE) ACETYCHOLINESTERAS AMNI,LABORATORY - CHEMISTRY [0301], 11 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.010in x 200cm X-pedion Hydrophilic Guidewire,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 369 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.014 175EX SUPPORT WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 153 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.014 SOFT J TIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 833 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.014 TRANSEND SOFT TIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 814 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.014X300 HI TORQUE WINN 40,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 251 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,".016in x 180cm, 25cm tip, Fathom Steerable Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 416 
