Service Area,Description,Revenue Code,Charge Patient Pay
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,(30 MIN) DIAB ED,OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING [0942],50
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,>48HR PATCH HOOKUP,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],159
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,1 VIEW NECK SOFT TISSUE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],87
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"1,25 VITAMIN D (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],59
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,10-11-12 Cre Balloon,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],409
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,110 ML STERILE SALINE IRRIGATION,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],5
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"12 Fr x 35 cm, Reg Durometer, Flexima Biliary Drainage Cath, RO Marker",MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],264
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,12 LEAD ELECTROCARDIOGRAM,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],47
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,12-13.5-15 Cre Balloon,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],490
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,14.0FR ULTRATHANE MULTIPURPOSE DRAINAGE CATHETER W/CAM-LOC LOCKING LOO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],131
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"15 LAYER SPLINT ROLL 4"" PER IN",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,15-16.5-18 BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],414
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,15FR FLEX GUIDE ET TUBE INTRODUCER NS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],37
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,17 KETONSTEROIDS TOTAL (SENDOUT (BEAKER),LABORATORY - CHEMISTRY [0301],21
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"17-HYDROXYPREGNENOLONE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],73
