Service Area,Description,Revenue Code,Patient Pay Charge
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,>48HR PATCH HOOKUP,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],159
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,1 VIEW NECK SOFT TISSUE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],87
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"1,25 VITAMIN D (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],106
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,1000ml PleurX Starter Kit,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],477
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,12 LEAD ELECTROCARDIOGRAM,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],66
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"17-HYDROXYPREGNENOLONE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,17-HYPROXYPREGNENOLONE LC/MS,LABORATORY - CHEMISTRY [0301],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,17-OH PROGESTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,18Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"21-HYDROXYLASE ANTIBODIES, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],58
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,24-48 HR HOLTER HOOK-UP,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],193
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,24-48 HR HOLTER SCANNING,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],350
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,24Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,2D ECHOCARD LIMITED ADULT,CARDIOLOGY - ECHOCARDIOLOGY [0483],236
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,3D POST PROCESSING IND STATION IN SUITE,OTHER IMAGING SERVICES - ULTRASOUND [0402],125
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,5 HIAA (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],24
