Description,Typical Charges,Average Insured Patient Responsibility
Abdominal paracentesis; with imaging guidance,"$7,179 ",$101 
"Arteriovenous anastomosis, open; by upper arm basilic vein transposition","$28,467 ",$147 
"Arteriovenous anastomosis, open; direct, any site (separate procedure)","$24,677 ",$136 
"Arthrocentesis, aspiration and/or injection, major joint or bursa; with ultrasound guidance, with permanent recording and reporting","$2,803 ",$145 
"Arthrocentesis, aspiration and/or injection, major joint or bursa; without ultrasound guidance","$8,499 ",$99 
"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing","$50,796 ",$46 
"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$18,390 ",$817 
"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$18,955 ",$616 
"Biopsy, breast, with placement of breast localization device(s), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance","$8,114 ",$243 
"Biopsy, breast, with placement of breast localization device(s), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance","$7,562 ",$394 
"Biopsy, prostate; needle or punch, single or multiple, any approach","$20,517 ",$377 
"Bronchoscopy, flexible/rigid, including fluoroscopic guidance, when performed; diagnostic, with cell washing, when performed (separate procedure)","$13,304 ",$158 
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial alveolar lavage","$13,852 ",$181 
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial or endobronchial biopsy(s), single or multiple sites","$21,215 ",$46 
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound guided transtracheal and/or transbronchial sampling, one or two mediastinal and/or hilar lymph node stations or structures","$27,102 ",$497 
"Cardioversion, elective, electrical conversion of arrhythmia; external","$10,987 ",$284 
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation;","$10,638 ",$235 
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) including intraprocedural injection(s) for bypass graft angiography","$11,524 ",$63 
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$19,194 ",$524 
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) with bypass graft angiography","$20,595 ",$561 
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$23,231 ",$145 
"Circumcision, using clamp or other device with regional dorsal penile or ring block","$17,292 ","$1,888 "
"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps","$13,458 ",$12 
"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique","$13,432 ",$69 
Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); nonautogenous graft,"$32,736 ",$81 
Cystourethroscopy (separate procedure),"$14,484 ",$133 
"Cystourethroscopy, with biopsy(s)","$18,543 ",$199 
"Cystourethroscopy, with calibration and/or dilation of urethral stricture or stenosis, with or without meatotomy, with or without injection procedure for cystography, male or female","$16,120 ",$199 
"Cystourethroscopy, with fulguration and/or resection of; SMALL bladder tumor(s)","$20,964 ",$78 
"Cystourethroscopy, with fulguration or treatment of MINOR lesion(s) with or without biopsy","$19,875 ",$139 
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent","$26,903 ",$575 
"Endovenous ablation therapy of incompetent vein, extremity, inclusive of all imaging guidance and monitoring, percutaneous, radiofrequency; first vein treated","$22,757 ",$308 
Esophageal motility study with interpretation and report,"$2,622 ",$112 
"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$10,075 ",$310 
"Esophagogastroduodenoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesion(s)","$18,984 ",$149 
