Description,Average Self Pay Patient Responsibility
Abdominal paracentesis; with imaging guidance,"$2,079 "
"Adenoidectomy, primary; younger than age 12","$7,517 "
Anorectal manometry,$803 
"Arteriovenous anastomosis, open; by upper arm basilic vein transposition","$20,958 "
"Arteriovenous anastomosis, open; direct, any site (separate procedure)","$16,448 "
"Arthrocentesis, aspiration and/or injection, major joint or bursa; with ultrasound guidance, with permanent recording and reporting","$1,714 "
"Arthrocentesis, aspiration and/or injection, major joint or bursa; without ultrasound guidance","$3,295 "
"Arthroplasty, acetabular and proximal femoral prosthetic replacement, with or without autograft or allograft","$27,127 "
"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing","$26,100 "
"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment","$23,763 "
Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction,"$24,102 "
"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$10,624 "
"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$9,534 "
"Arthroscopy, shoulder, surgical; with rotator cuff repair","$19,539 "
"Biopsy, muscle; deep","$12,503 "
Breath hydrogen or methane test,$525 
"Bronchoscopy, flexible/rigid, including fluoroscopic guidance, when performed; diagnostic, with cell washing, when performed (separate procedure)","$2,187 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial alveolar lavage","$4,809 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound guided transtracheal and/or transbronchial sampling, one or two mediastinal and/or hilar lymph node stations or structures","$7,527 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with tracheal/bronchial dilation or closed reduction of fracture","$7,248 "
"Cardioversion, elective, electrical conversion of arrhythmia; external","$3,515 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation;","$5,243 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) including intraprocedural injection(s) for bypass graft angiography","$5,208 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) including intraprocedural injection(s) for bypass graft angiography and right heart catheterization","$7,535 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$6,370 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) with bypass graft angiography","$7,017 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$7,349 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right heart catheterization","$6,602 "
"Cerclage of cervix, during pregnancy; vaginal","$10,633 "
"Chemotherapy administration, into CNS, requiring and including spinal puncture","$1,062 "
"Closure of gastrostomy, surgical","$10,548 "
"Cochlear device implantation, with or without mastoidectomy","$50,786 "
"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$3,796 "
"Colonoscopy, flexible; with biopsy, single or multiple","$7,151 "
"Colonoscopy, flexible; with endoscopic mucosal resection","$12,824 "
"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique","$6,254 "
"Conization of cervix, with or without fulguration, with or without dilation and curettage, with or without repair; loop electrode excision","$11,291 "
