Description,Average Self Pay Patient Responsibility
Abdominal paracentesis; with imaging guidance,"$2,585 "
"Arteriovenous anastomosis, open; by upper arm basilic vein transposition","$10,248 "
"Arteriovenous anastomosis, open; direct, any site (separate procedure)","$8,884 "
"Arthrocentesis, aspiration and/or injection, major joint or bursa; with ultrasound guidance, with permanent recording and reporting","$1,009 "
"Arthrocentesis, aspiration and/or injection, major joint or bursa; without ultrasound guidance","$3,060 "
"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing","$18,287 "
"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$6,620 "
"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including meniscal shaving) including debridement/shaving of articular cartilage, same or separate compartment(s), when performed","$6,824 "
"Biopsy, breast, with placement of breast localization device(s), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance","$2,921 "
"Biopsy, breast, with placement of breast localization device(s), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance","$2,722 "
"Biopsy, prostate; needle or punch, single or multiple, any approach","$7,386 "
"Bronchoscopy, flexible/rigid, including fluoroscopic guidance, when performed; diagnostic, with cell washing, when performed (separate procedure)","$4,789 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial alveolar lavage","$4,987 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial or endobronchial biopsy(s), single or multiple sites","$7,637 "
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound guided transtracheal and/or transbronchial sampling, one or two mediastinal and/or hilar lymph node stations or structures","$9,757 "
"Cardioversion, elective, electrical conversion of arrhythmia; external","$3,955 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation;","$3,830 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) including intraprocedural injection(s) for bypass graft angiography","$4,149 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$6,910 "
