Description,Typical Charges,Average Insured Patient Responsibility
Acute  Subacute Endocarditis W Cc,"$53,069 ",$299 
Acute  Subacute Endocarditis W Mcc,"$49,589 ",$0 
Acute  Subacute Endocarditis W/O Cc/Mcc,"$40,181 ","$1,996 "
Acute Adjustment Reaction  Psychosocial Dysfunction,"$27,676 ",$398 
Acute Leukemia W/O Major O.R. Procedure W Cc,"$36,291 ",$532 
Acute Leukemia W/O Major O.R. Procedure W Mcc,"$96,655 ",$344 
Acute Leukemia W/O Major O.R. Procedure W/O Cc/Mcc,"$36,046 ",$213 
Acute Major Eye Infections W Cc/Mcc,"$16,682 ","$1,453 "
Acute Major Eye Infections W/O Cc/Mcc,"$21,139 ",$0 
"Acute Myocardial Infarction, Discharged Alive W Cc","$33,915 ",$439 
"Acute Myocardial Infarction, Discharged Alive W Mcc","$45,603 ",$371 
"Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc","$31,659 ",$679 
"Acute Myocardial Infarction, Expired W Cc","$23,348 ",$125 
"Acute Myocardial Infarction, Expired W Mcc","$52,800 ",$214 
Adrenal  Pituitary Procedures W Cc/Mcc,"$124,334 ","$1,695 "
Adrenal  Pituitary Procedures W/O Cc/Mcc,"$72,896 ",$477 
Aftercare W Cc/Mcc,"$34,672 ",$0 
"Aftercare, Musculoskeletal System  Connective Tissue W Cc","$29,371 ",$197 
"Aftercare, Musculoskeletal System  Connective Tissue W Mcc","$48,626 ",$149 
"Aftercare, Musculoskeletal System  Connective Tissue W/O Cc/Mcc","$28,839 ",$21 
Aicd Generator Procedures,"$112,056 ",$779 
Aicd Lead Procedures,"$53,768 ",$579 
Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc,"$41,456 ",$663 
Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc,"$22,474 ",$788 
"Alcohol/Drug Abuse Or Dependence, Left Ama","$17,233 ",$501 
Allergic Reactions W Mcc,"$36,860 ",$564 
Allergic Reactions W/O Mcc,"$15,966 ",$541 
"Amputat Of Lower Limb For Endocrine,Nutrit, Metabol Dis W Cc","$56,512 ",$474 
"Amputat Of Lower Limb For Endocrine,Nutrit, Metabol Dis W Mcc","$90,037 ",$537 
"Amputat Of Lower Limb For Endocrine,Nutrit, Metabol Dis W/O Cc/Mcc","$32,621 ",$0 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W Cc,"$81,772 ",$268 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W Mcc,"$107,451 ",$145 
Amputation For Circ Sys Disorders Exc Upper Limb  Toe W/O Cc/Mcc,"$43,175 ",$526 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W Cc,"$68,664 ",$167 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W Mcc,"$80,554 ",$82 
Amputation For Musculoskeletal Sys  Conn Tissue Dis W/O Cc/Mcc,"$34,041 ","$2,067 "
Anal  Stomal Procedures W Cc,"$42,294 ",$861 
Anal  Stomal Procedures W Mcc,"$75,647 ","$1,283 "
Anal  Stomal Procedures W/O Cc/Mcc,"$35,455 ","$1,234 "
Angina Pectoris,"$30,315 ",$586 
Aortic And Heart Assist Procedures Except Pulsation Balloon W Mcc,"$205,153 ",$321 
Aortic And Heart Assist Procedures Except Pulsation Balloon W/O Mcc,"$105,488 ",$555 
Appendectomy W Complicated Principal Diag W Cc,"$51,506 ","$1,641 "
Appendectomy W Complicated Principal Diag W Mcc,"$68,801 ",$834 
Appendectomy W Complicated Principal Diag W/O Cc/Mcc,"$41,827 ","$1,512 "
Appendectomy W/O Complicated Principal Diag W Cc,"$43,619 ","$1,043 "
Appendectomy W/O Complicated Principal Diag W Mcc,"$68,472 ","$1,993 "
Appendectomy W/O Complicated Principal Diag W/O Cc/Mcc,"$35,423 ","$1,478 "
Atherosclerosis W Mcc,"$36,258 ",$297 
Atherosclerosis W/O Mcc,"$22,706 ",$277 
Back  Neck Proc Exc Spinal Fusion W Cc,"$74,308 ",$683 
Back  Neck Proc Exc Spinal Fusion W Mcc Or Disc Device/Neurostim,"$125,484 ",$542 
Back  Neck Proc Exc Spinal Fusion W/O Cc/Mcc,"$54,616 ",$550 
Bacterial  Tuberculous Infections Of Nervous System W Cc,"$58,043 ",$424 
Bacterial  Tuberculous Infections Of Nervous System W Mcc,"$99,702 ",$118 
Bacterial  Tuberculous Infections Of Nervous System W/O Cc/Mcc,"$76,396 ","$1,887 "
Benign Prostatic Hypertrophy W Mcc,"$30,742 ",$0 
Benign Prostatic Hypertrophy W/O Mcc,"$16,779 ",$339 
Bilateral Or Multiple Major Joint Procs Of Lower Extremity W Mcc,"$317,053 ",$0 
Bilateral Or Multiple Major Joint Procs Of Lower Extremity W/O Mcc,"$92,217 ",$612 
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Cc,"$112,386 ",$813 
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Mcc,"$148,812 ","$1,208 "
Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W/O Cc/Mcc,"$78,403 ",$38 
Biopsies Of Musculoskeletal System  Connective Tissue W Cc,"$65,484 ",$211 
Biopsies Of Musculoskeletal System  Connective Tissue W Mcc,"$74,836 ",$50 
Biopsies Of Musculoskeletal System  Connective Tissue W/O Cc/Mcc,"$52,819 ",$50 
Bone Diseases  Arthropathies W Mcc,"$33,221 ",$449 
Bone Diseases  Arthropathies W/O Mcc,"$21,773 ",$506 
"Breast Biopsy, Local Excision  Other Breast Procedures W Cc/Mcc","$137,906 ","$1,027 "
"Breast Biopsy, Local Excision  Other Breast Procedures W/O Cc/Mcc","$98,552 ","$1,199 "
Bronchitis  Asthma W Cc/Mcc,"$21,294 ",$666 
Bronchitis  Asthma W/O Cc/Mcc,"$12,605 ",$886 
"Cardiac Arrest, Unexplained W Cc","$20,123 ",$0 
"Cardiac Arrest, Unexplained W Mcc","$47,975 ",$102 
"Cardiac Arrest, Unexplained W/O Cc/Mcc","$7,700 ",$277 
Cardiac Arrhythmia  Conduction Disorders W Cc,"$23,951 ",$420 
Cardiac Arrhythmia  Conduction Disorders W Mcc,"$33,841 ",$380 
Cardiac Arrhythmia  Conduction Disorders W/O Cc/Mcc,"$19,701 ",$672 
Cardiac Congenital  Valvular Disorders W Mcc,"$38,046 ",$27 
Cardiac Congenital  Valvular Disorders W/O Mcc,"$27,368 ",$480 
Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W Mcc,"$208,818 ",$328 
Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W/O Mcc,"$119,838 ","$1,053 "
Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W Mcc,"$129,266 ",$644 
Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W/O Mcc,"$122,461 ",$166 
Cardiac Defibrillator Implant W/O Cardiac Cath W Mcc,"$102,519 ",$189 
Cardiac Defibrillator Implant W/O Cardiac Cath W/O Mcc,"$80,838 ",$743 
Cardiac Pacemaker Device Replacement W Mcc,"$53,856 ",$0 
Cardiac Pacemaker Device Replacement W/O Mcc,"$40,911 ",$176 
Cardiac Pacemaker Revision Except Device Replacement W Cc,"$44,249 ",$199 
Cardiac Pacemaker Revision Except Device Replacement W Mcc,"$59,208 ",$70 
Cardiac Pacemaker Revision Except Device Replacement W/O Cc/Mcc,"$34,107 ",$363 
Cardiac Valve  Oth Maj Cardiothoracic Proc W Card Cath W Cc,"$166,119 ",$656 
Cardiac Valve  Oth Maj Cardiothoracic Proc W Card Cath W Mcc,"$275,646 ",$647 
Cardiac Valve  Oth Maj Cardiothoracic Proc W Card Cath W/O Cc/Mcc,"$186,346 ","$1,000 "
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W Cc,"$146,649 ",$226 
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W Mcc,"$192,564 ",$170 
Cardiac Valve  Oth Maj Cardiothoracic Proc W/O Card Cath W/O Cc/Mcc,"$114,682 ",$609 
Carotid Artery Stent Procedure W Cc,"$101,987 ",$401 
Carotid Artery Stent Procedure W Mcc,"$155,733 ",$88 
Carotid Artery Stent Procedure W/O Cc/Mcc,"$63,005 ",$337 
Cellulitis W Mcc,"$32,734 ",$211 
Cellulitis W/O Mcc,"$19,522 ",$743 
Cervical Spinal Fusion W Cc,"$86,721 ",$475 
Cervical Spinal Fusion W Mcc,"$114,156 ",$448 
Cervical Spinal Fusion W/O Cc/Mcc,"$77,841 ",$415 
Cesarean Section W Cc/Mcc,"$26,124 ","$1,374 "
Cesarean Section W/O Cc/Mcc,"$20,695 ","$1,448 "
Chemo W Acute Leukemia As Sdx Or W High Dose Chemo Agent W Mcc,"$110,359 ",$107 
Chemo W Acute Leukemia As Sdx W Cc Or High Dose Chemo Agent,"$36,495 ",$0 
Chemo W Acute Leukemia As Sdx W/O Cc/Mcc,"$22,888 ",$2 
Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Cc,"$44,361 ",$0 
Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Mcc,"$80,307 ",$83 
Chest Pain,"$26,793 ",$353 
Cholecystectomy Except By Laparoscope W/O C.D.E. W Cc,"$71,097 ","$1,221 "
Cholecystectomy Except By Laparoscope W/O C.D.E. W Mcc,"$142,798 ",$427 
Cholecystectomy Except By Laparoscope W/O C.D.E. W/O Cc/Mcc,"$49,405 ",$596 
Cholecystectomy W C.D.E. W Cc,"$111,335 ",$0 
