DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1492111.49,169505.5
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,967923.1,No Medicare Payment Available
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,950044.88,102139.32
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,453020.97,54889.57
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,161432.64,28483.85
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,159798.61,20573.79
013 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W/O CC/MCC,84727.58,14362.62
014 - ALLOGENEIC BONE MARROW TRANSPLANT,597261.27,74227.75
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,283001.18,35397.41
017 - AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,243025.19,26189.85
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,422209.4,60355.94
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,392218.12,53681.96
022 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,307279.57,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,310530.71,32478.99
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,211403.51,21721.72
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,209218.29,26539.71
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,132653.86,17505.91
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,149281.33,14248.05
028 - SPINAL PROCEDURES W MCC,261999.98,37104.74
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,104318.31,18925.99
030 - SPINAL PROCEDURES W/O CC/MCC,67328.21,12887.42
031 - VENTRICULAR SHUNT PROCEDURES W MCC,165987.09,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,75625.67,12859.12
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,57891.15,No Medicare Payment Available
037 - EXTRACRANIAL PROCEDURES W MCC,229432.06,18682.33
038 - EXTRACRANIAL PROCEDURES W CC,151573.84,9718.89
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,104650.82,7323.25
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,263082.66,18168.05
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,119067.59,11285.52
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,49855.05,7763.86
052 - SPINAL DISORDERS & INJURIES W CC/MCC,88160.49,No Medicare Payment Available
054 - NERVOUS SYSTEM NEOPLASMS W MCC,68113.93,8093.87
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,41299.32,5965.25
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,96938.68,16079.48
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,65515.22,6747.68
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,96324.02,10134.92
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,59805.65,6949.13
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,63952.98,5330.65
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,142717.95,16507.64
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,104380.19,11583.62
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,87168.73,No Medicare Payment Available
