DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,659828.91,98345.73
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,485748.22,51290.99
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,219192.24,30232.01
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,66497.38,No Medicare Payment Available
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,124779.88,22673.02
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,89030.69,16474.46
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,78829.85,13060.2
028 - SPINAL PROCEDURES W MCC,116930.64,28326.38
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,108482.28,17842.56
030 - SPINAL PROCEDURES W/O CC/MCC,100721.34,11502.13
031 - VENTRICULAR SHUNT PROCEDURES W MCC,232860.15,76787.23
032 - VENTRICULAR SHUNT PROCEDURES W CC,70825.34,10787.72
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,58502.24,9452.5
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,197795.86,9887.96
037 - EXTRACRANIAL PROCEDURES W MCC,76001.2,17521.06
038 - EXTRACRANIAL PROCEDURES W CC,43643.04,8758.7
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,34143.46,6346.23
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,127582.61,20405.99
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,105527.09,11320.21
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,84177.18,10305.81
052 - SPINAL DISORDERS & INJURIES W CC/MCC,147169.93,26138.16
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,50556.16,15231.34
054 - NERVOUS SYSTEM NEOPLASMS W MCC,58988.18,8575.85
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,38567.84,5464.49
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,77782.35,17407.53
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,55693.74,12869.96
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,107272.49,No Medicare Payment Available
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,62410.59,6117.51
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,34247.76,6108.91
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,140867.08,15503.28
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,110512.34,10716.24
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,93780.58,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,80387.45,9469.06
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,55555.6,5820.14
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,41320.43,4265.51
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,41274.37,5158.94
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,44726.71,4033.97
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,48176,7749.53
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,55381.55,6097.25
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,38983.48,4418.83
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,80553.42,6737.93
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,40251.28,5276.68
075 - VIRAL MENINGITIS W CC/MCC,71872.27,9264.21
076 - VIRAL MENINGITIS W/O CC/MCC,32297.35,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,65247.56,8819.23
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,52653.11,5687.01
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,12135.1,382.44
080 - NONTRAUMATIC STUPOR & COMA W MCC,27481.93,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,31983.8,No Medicare Payment Available
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,70828.45,11996.06
083 - TRAUMATIC STUPOR & COMA; COMA >1 HR W CC,20457.11,No Medicare Payment Available
084 - TRAUMATIC STUPOR & COMA; COMA >1 HR W/O CC/MCC,26354.1,No Medicare Payment Available
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,52702.27,8632.92
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,39696.66,5881.88
087 - TRAUMATIC STUPOR & COMA; COMA <1 HR W/O CC/MCC,26079.04,4738.27
089 - CONCUSSION W CC,14515.94,5764.23
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,103187.97,13331.63
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,59438.61,11948.63
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,35065.14,3569.5
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,119670.23,18873.75
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,60950.91,No Medicare Payment Available
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,58964.81,No Medicare Payment Available
