DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,528379.62,81015.66
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,489310.51,48905.07
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,70959.76,20665.91
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,120438.65,31704.45
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,127875.36,No Medicare Payment Available
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,70556.4,14168.32
028 - SPINAL PROCEDURES W MCC,190099.07,No Medicare Payment Available
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,100888.58,19269.48
030 - SPINAL PROCEDURES W/O CC/MCC,24898.28,12887.21
037 - EXTRACRANIAL PROCEDURES W MCC,131587.28,No Medicare Payment Available
038 - EXTRACRANIAL PROCEDURES W CC,90097.34,9739.58
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,51824.65,7233.84
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,241156.53,22257.07
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,53824.33,13993.01
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,43620.93,No Medicare Payment Available
052 - SPINAL DISORDERS & INJURIES W CC/MCC,133484.6,28220.63
054 - NERVOUS SYSTEM NEOPLASMS W MCC,61615.36,8345.37
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,31791.16,6531.23
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,114230.28,24232.1
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,71792.61,15053.55
