DRG_Definition,Average Charges
001-HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,"$1,015,171.72 "
002-HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,"$526,220.19 "
"003-ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$1,200,868.97 "
"004-TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$535,940.11 "
005-LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,"$712,566.45 "
006-LIVER TRANSPLANT W/O MCC,"$379,089.29 "
007-LUNG TRANSPLANT,"$787,930.30 "
008-SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,"$895,139.95 "
"011-TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC","$230,533.76 "
"012-TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC","$166,404.66 "
"013-TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC","$116,160.17 "
014-ALLOGENEIC BONE MARROW TRANSPLANT,"$522,030.04 "
016-AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,"$270,254.26 "
017-AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,"$139,321.25 "
020-INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"$371,017.56 "
021-INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,"$177,270.51 "
022-INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,"$173,595.84 "
023-CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"$231,834.65 "
024-CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"$118,282.70 "
025-CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$248,608.24 "
026-CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"$144,532.94 "
027-CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$132,292.04 "
028-SPINAL PROCEDURES W MCC,"$368,000.37 "
029-SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$131,641.29 "
030-SPINAL PROCEDURES W/O CC/MCC,"$83,061.81 "
031-VENTRICULAR SHUNT PROCEDURES W MCC,"$128,672.51 "
032-VENTRICULAR SHUNT PROCEDURES W CC,"$99,172.32 "
033-VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"$70,999.37 "
034-CAROTID ARTERY STENT PROCEDURE W MCC,"$195,397.20 "
035-CAROTID ARTERY STENT PROCEDURE W CC,"$66,235.02 "
036-CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"$61,725.92 "
037-EXTRACRANIAL PROCEDURES W MCC,"$124,179.74 "
038-EXTRACRANIAL PROCEDURES W CC,"$88,739.20 "
039-EXTRACRANIAL PROCEDURES W/O CC/MCC,"$75,032.54 "
040-PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"$205,787.24 "
041-PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"$106,114.57 "
042-PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"$90,355.06 "
053-SPINAL DISORDERS & INJURIES W/O CC/MCC,"$54,726.71 "
054-NERVOUS SYSTEM NEOPLASMS W MCC,"$82,351.10 "
055-NERVOUS SYSTEM NEOPLASMS W/O MCC,"$51,849.07 "
056-DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$90,246.66 "
057-DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$63,312.00 "
058-MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"$34,122.08 "
059-MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$36,757.12 "
060-MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$55,362.54 "
"061-ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$71,743.32 "
"062-ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","$73,024.24 "
"063-ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","$43,051.17 "
064-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$95,454.19 "
065-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$47,773.21 "
066-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$47,585.68 "
067-NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,"$30,565.18 "
068-NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$43,479.67 "
069-TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$24,883.88 "
070-NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$134,628.23 "
071-NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$39,523.39 "
072-NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$24,305.59 "
073-CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$43,668.27 "
074-CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$39,984.56 "
075-VIRAL MENINGITIS W CC/MCC,"$32,941.53 "
076-VIRAL MENINGITIS W/O CC/MCC,"$22,373.80 "
078-HYPERTENSIVE ENCEPHALOPATHY W CC,"$37,223.21 "
080-NONTRAUMATIC STUPOR & COMA W MCC,"$81,085.11 "
081-NONTRAUMATIC STUPOR & COMA W/O MCC,"$33,743.65 "
"082-TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$130,516.78 "
"083-TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$87,566.13 "
"084-TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$61,940.85 "
"085-TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$229,571.39 "
"086-TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","$75,689.95 "
"087-TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$60,179.94 "
088-CONCUSSION W MCC,"$135,929.71 "
089-CONCUSSION W CC,"$57,865.64 "
090-CONCUSSION W/O CC/MCC,"$47,641.17 "
091-OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$112,729.42 "
092-OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$39,744.60 "
093-OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$30,567.41 "
094-BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"$171,009.59 "
095-BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"$84,699.15 "
096-BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"$97,213.42 "
097-NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"$202,242.75 "
