Procedure ID,Description,Amount
52,RETRVR SUT LG 9X10X5.2  ,787.00
82,MECLIZINE TAB 12.5MG    ,40.00
88,MECLIZINE TAB 25 MG     ,40.00
140,CLONIDINE 0.1 MG TAB    ,40.00
142,CATAPRES TAB 0.2 MG     ,40.00
149,DELTALIN CAP 50000U    ,13.00
160,COMBIPRES TAB 0.1 MG    ,40.00
173,DANTRIUM CAP 25 MG      ,40.00
175,DANTRIUM CAP 50 MG      ,43.00
185,QUININE TAB 300 MG      ,40.00
187,DIABENESE TAB 250 MG    ,40.00
196,TRINSICON CAP           ,40.00
217,DYRENIUM CAP 50 MG      ,40.00
228,EPHEDRINE CAP 25 MG     ,40.00
245,PHNLPHTHL YL UNFL 90    ,21.00
250,SECONAL CAP 100 MG      ,43.00
263,GEOCILLIN TAB 382 MG    ,78.00
274,MINOCIN CAP 50 MG       ,48.00
280,MOTRIN TAB 400 MG       ,13.00
286,SIMETHICONE 80MG TAB    ,40.00
304,PRONESTYL CAP 375 MG    ,40.00
310,SEPTRA TAB              ,43.00
315,DARVON CAP 65 MG        ,40.00
364,CODEINE SULF TAB30MG    ,43.00
369,COLCHICINE TAB 0.6MG    ,40.00
375,QUINIDINE TAB 200 MG    ,39.00
379,NIVEA CRM 2 OZ          ,78.00
381,NA BICARB TAB 5 GR      ,40.00
388,PHENOBARB TAB 30 MG     ,43.00
389,PHENOBARB TAB 100 MG    ,43.00
407,DES TAB 1 MG            ,40.00
409,ALLOPURINL TAB 300MG    ,40.00
431,METHADONE TAB 5 MG      ,43.00
436,METHADONE TAB 10 MG     ,43.00
441,CLINDAMYCIN 300 MG INJ  ,97.00
445,METHIMAZOLE TAB 5 MG    ,40.00
447,CLINDAMYCIN 600 MG INJ  ,188.00
448,METHIMAZOLE TAB 10 MG   ,40.00
453,EMETE-CON 50MG VIAL     ,159.00
481,THYROGLOBULIN           ,1696.00
502,MINOCIN 100 MG VIAL     ,200.00
508,MITOMYCIN 5 MG INJ      ,1467.00
514,NIPRIDE 50 MG VIAL      ,2611.00
536,AMOXAPINE TAB 50 MG     ,40.00
556,DOXYCYCLINE 100 MG VL   ,66.00
569,LOSARTAN K TAB 50MG     ,43.00
592,LIDEX GEL 0.05% 15GM    ,288.00
604,METAPREL INHALR 15ML    ,266.00
672,METHOHXTL 500MG 50ML    ,242.00
717,EPHEDRINE SULF 50MG     ,147.00
723,SILVR NITRT 1% AMP      ,81.00
724,BLISTEX ONT 0.14 OZ     ,63.00
750,CLOTRIMAZOLE CRM 1%% 15G,264.00
768,TRIDESILON CRM 15 GM    ,185.00
774,VALISONE LOT .1 20ML    ,293.00
798,CORTISPORN OTIC 10ML    ,293.00
810,MASSENGILL PKT 12'S     ,40.00
817,ELCTRD SUC/COAG 6 12FR V,229.00
858,NUPERCAINL SUP 2.5MG    ,21.00
896,DIPENTUM CAP 250 MG     ,43.00
908,SULAMYD DPS 10% 15ML    ,212.00
984,ATROPINE ONT 1/8 OZ     ,140.00
996,BACITRAC OPTH OINT 1/8OZ,82.00
999,ILOTYCIN ONT 1/8 OZ     ,81.00
1009,CORDRAN CRM .025 30G    ,300.00
1019,CORDRAN CRM .05 15GM    ,275.00
1024,CORDRAN CRM .05 60GM    ,642.00
1082,NADOLOL TAB 40 MG       ,40.00
1083,NADOLOL TAB 20 MG       ,40.00
1086,NA CHL TAB 1 GM         ,40.00
1090,NA BICARB TAB 10 GR     ,40.00
1091,NA SALICYLT TAB 5 GR    ,40.00
1092,NA SALICYLT TAB 10GR    ,40.00
1097,CALCIUM CARB TAB 10G    ,13.00
1098,CAL GLUC TAB 1 GM       ,40.00
1102,CAL GLUC TAB 450 MG     ,40.00
